SC_cat	followup_name	primary_name	primary_dose_M	followup_dose_M	relative_dose_difference	status	primary_wells	followup_wells
P3150	WAY-657095	WAY-657095	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
P3180	WAY-658979	WAY-658979	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
PRO	Prostratin	NA	NA	NA	NA	UNMATCHED_CATALOGUE	0	0
S1021	Dasatinib	NA	NA	NA	NA	UNMATCHED_CATALOGUE	0	0
S1041	STF-62247	STF-62247	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S1047	Vorinostat	Vorinostat	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S1053	Entinostat	Entinostat	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S1145	SNS-032	SNS-032	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S1230	Flavopiridol	Flavopiridol	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S1792	Simvastatin	Simvastatin	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S2128	Bazedoxifene HCl	Bazedoxifene HCl	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S2167	Bazedoxifene Acetate	Bazedoxifene Acetate	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S2348	Rotenone	Rotenone	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S2689	WAY-600	WAY-600	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S2797	Lonafarnib	Lonafarnib	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S2895	Tyrphostin 9	Tyrphostin 9	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S2934	Ensartinib dihydrochloride	Ensartinib dihydrochloride	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S4053	Sertraline HCl	Sertraline HCl	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S4157	Chloroquine Phosphate	Chloroquine Phosphate	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S5071	Duloxetine	Duloxetine	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S5232	Alectinib hydrochloride	Alectinib hydrochloride	2.5e-06	2.51e-06	0.003999999999999961	MATCHED	4	4
S5856	Trifluoperazine	Trifluoperazine	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S7292	RG2833	RG2833	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S7576	UNC2025	UNC2025	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S7620	GSK1324726A	GSK1324726A	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S7683	PIK-III	PIK-III	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S8144	Halofuginone	Halofuginone	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S8276	FCCP	FCCP	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S8320	SKL2001	SKL2001	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S8456	VPS34 inhibitor 1	VPS34 inhibitor 1	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S8738	Bimiralisib	Bimiralisib	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S8769	Tinostamustine	Tinostamustine	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
S9467	Thiothixene	Thiothixene	5e-06	5.13e-06	0.02599999999999992	MATCHED	4	4
