human_id	human	mouse_id	mouse	phenotype_plusAO	percentile_plusAO	n_mice	n_guides	excluded_family
ENSG00000183044	ABAT	ENSMUSG00000057880	Abat	0.783794550972	0.857229969776	38	4	False
ENSG00000165029	ABCA1	ENSMUSG00000015243	Abca1	-0.968961479949	0.286521024445	43	4	False
ENSG00000064687	ABCA7	ENSMUSG00000035722	Abca7	-0.479255132248	0.422901532425	43	4	False
ENSG00000069431	ABCC9	ENSMUSG00000030249	Abcc9	-6.99416218538	0.0166763879315	36	4	False
ENSG00000117528	ABCD3	ENSMUSG00000028127	Abcd3	0.391332047179	0.748899729572	38	4	False
ENSG00000100997	ABHD12	ENSMUSG00000032046	Abhd12	0.244463361225	0.699692454531	36	4	False
ENSG00000140526	ABHD2	ENSMUSG00000039202	Abhd2	-0.89257769601	0.3046556021	37	4	False
ENSG00000075239	ACAT1	ENSMUSG00000032047	Acat1	-1.38408057146	0.210536083568	19	4	False
ENSG00000107897	ACBD5	ENSMUSG00000026781	Acbd5	-1.14579574035	0.249456492921	31	4	False
ENSG00000087085	ACHE	ENSMUSG00000023328	Ache	0.452744484049	0.7690492603	18	4	False
ENSG00000100412	ACO2	ENSMUSG00000022477	Aco2	-1.14959726087	0.248395991304	29	4	False
ENSG00000161533	ACOX1	ENSMUSG00000020777	Acox1	-0.339992877001	0.469669653746	14	4	False
ENSG00000143727	ACP1	ENSMUSG00000044573	Acp1	-3.09818837542	0.0802004348057	36	4	False
ENSG00000068366	ACSL4	ENSMUSG00000031278	Acsl4	-1.83638185551	0.159048730049	37	4	False
ENSG00000184009	ACTG1	ENSMUSG00000062825	Actg1	0.792347548424	0.859403998091	41	4	False
ENSG00000130402	ACTN4	ENSMUSG00000054808	Actn4	-0.439595934711	0.435654064372	39	4	False
ENSG00000115170	ACVR1	ENSMUSG00000026836	Acvr1	-2.73384915771	0.0968503101967	39	4	False
ENSG00000121989	ACVR2A	ENSMUSG00000052155	Acvr2a	0.196067276368	0.681610901957	10	4	False
ENSG00000114739	ACVR2B	ENSMUSG00000061393	Acvr2b	1.10941520596	0.915504533644	52	4	False
ENSG00000139567	ACVRL1	ENSMUSG00000000530	Acvrl1	0.0480571173568	0.625033140676	39	4	False
ENSG00000008277	ADAM22	ENSMUSG00000040537	Adam22	-0.526175013641	0.406092581791	25	4	False
ENSG00000140470	ADAMTS17	ENSMUSG00000058145	Adamts17	-2.33989943401	0.118007317461	37	4	False
ENSG00000160710	ADAR	ENSMUSG00000027951	Adar	-0.96194654753	0.287899676547	39	4	False
ENSG00000197381	ADARB1	ENSMUSG00000020262	Adarb1	-2.29257279161	0.121188822313	38	4	False
ENSG00000164742	ADCY1	ENSMUSG00000020431	Adcy1	0.051212057366	0.626146667374	12	4	False
ENSG00000138031	ADCY3	ENSMUSG00000020654	Adcy3	-0.0672553891557	0.57614401612	42	4	False
ENSG00000173175	ADCY5	ENSMUSG00000022840	Adcy5	-0.515251785944	0.409486186966	35	4	False
ENSG00000087274	ADD1	ENSMUSG00000029106	Add1	-2.90344900423	0.0877830213691	17	4	False
ENSG00000075340	ADD2	ENSMUSG00000030000	Add2	-1.51637704458	0.193992258338	51	4	False
ENSG00000148700	ADD3	ENSMUSG00000025026	Add3	-1.32164021565	0.220398748608	34	4	False
ENSG00000006831	ADIPOR2	ENSMUSG00000030168	Adipor2	-0.132054111353	0.549207275041	18	4	False
ENSG00000156110	ADK	ENSMUSG00000039197	Adk	0.455247759038	0.77026883716	35	4	False
ENSG00000101126	ADNP	ENSMUSG00000051149	Adnp	-3.47589138683	0.0669441645899	25	4	False
ENSG00000128271	ADORA2A	ENSMUSG00000020178	Adora2a	-0.444208434972	0.433559573678	58	4	False
ENSG00000120907	ADRA1A	ENSMUSG00000045875	Adra1a	0.629662638905	0.820907789384	27	4	False
ENSG00000150594	ADRA2A	ENSMUSG00000033717	Adra2a	-0.754445049958	0.338114428125	37	4	False
ENSG00000274286	ADRA2B	ENSMUSG00000058620	Adra2b	0.0625123864076	0.630282623681	40	4	False
ENSG00000043591	ADRB1	ENSMUSG00000035283	Adrb1	-0.315634672428	0.477305265391	53	4	False
ENSG00000169252	ADRB2	ENSMUSG00000045730	Adrb2	0.809054409096	0.862903653428	45	4	False
ENSG00000188778	ADRB3	ENSMUSG00000031489	Adrb3	0.00595735381799	0.606739487778	51	4	False
ENSG00000106624	AEBP1	ENSMUSG00000020473	Aebp1	-0.584052866901	0.386738427276	38	4	False
ENSG00000155966	AFF2	ENSMUSG00000031189	Aff2	-1.13057525217	0.252691022854	30	4	False
ENSG00000144218	AFF3	ENSMUSG00000037138	Aff3	-0.469306436114	0.426772363328	49	4	False
ENSG00000141385	AFG3L2	ENSMUSG00000024527	Afg3l2	-5.64724092614	0.0270693037807	35	4	False
ENSG00000204305	AGER	ENSMUSG00000015452	Ager	-0.692663138513	0.35444615303	42	4	False
ENSG00000006530	AGK	ENSMUSG00000029916	Agk	-0.648518553529	0.36733124768	25	4	False
ENSG00000092847	AGO1	ENSMUSG00000041530	Ago1	-4.84416759859	0.0374622196299	20	4	False
ENSG00000123908	AGO2	ENSMUSG00000036698	Ago2	-1.04003025348	0.271461901479	32	4	False
ENSG00000018510	AGPS	ENSMUSG00000042410	Agps	-0.927815909924	0.296383689485	21	4	False
ENSG00000188157	AGRN	ENSMUSG00000041936	Agrn	-0.0708103108153	0.574818389098	46	4	False
ENSG00000159723	AGRP	ENSMUSG00000005705	Agrp	0.505078523841	0.786812662389	46	4	False
ENSG00000180772	AGTR2	ENSMUSG00000068122	Agtr2	0.855833618976	0.872395142903	17	4	False
