mouse	baseline_expression	control_mice
Ache	1.34094107151	73
Acvr2a	0.447741001844	73
Adamts17	0.183580383658	73
Adarb1	0.831804633141	73
Agtr2	0.0587700493634	73
Amfr	0.608075916767	73
Ank	1.05282151699	73
Ankrd12	0.975379228592	73
Ap4s1	0.543362677097	73
Arl3	0.530167937279	73
Atad1	0.483994930983	73
Atxn2	1.09296965599	73
Bbip1	0.61763304472	73
Becn1	0.885653436184	73
Bicc1	0.110601186752	73
Brd4	1.21346843243	73
Brsk2	1.23603153229	73
Cd3d	0.000627906643786	73
Cdc40	0.443266987801	73
Chl1	0.802766501904	73
Cox5a	0.607483208179	73
Cry1	0.183000221848	73
Ctcf	0.410824865103	73
Ddx3x	0.628508090973	73
Dnajb4	0.627372682095	73
Dscam	0.845610499382	73
Ednrb	0.00905859004706	73
Erf	0.373810112476	73
Fnip1	0.592210173607	73
Foxj3	0.5372787714	73
Gabbr1	1.52463877201	73
Gabra1	1.35055911541	73
Gabra4	0.879995167255	73
Gabra5	0.459518641233	73
Gata2	0.00884274765849	73
Gatad1	0.255575060844	73
Gria4	1.44786274433	73
Hdgf	0.331937104464	73
Hivep2	1.0298691988	73
Hnrnpdl	0.600796818733	73
Htr3b	0.000317637983244	73
Ift88	0.349720656872	73
Igf1r	0.407953321934	73
Il17rd	0.00703360792249	73
Il23r	0.00670204870403	73
Isca2	0.358069628477	73
Kcna1	0.949399113655	73
Kcnc1	1.41771733761	73
Kctd16	1.29631638527	73
Klhl7	0.945749044418	73
Lmbr1	0.187346324325	73
Lztr1	0.641530811787	73
Manf	0.69910377264	73
Mboat7	0.994251310825	73
Mertk	0.00780918169767	73
Met	0.0327624417841	73
Mphosph9	0.556428611279	73
Naa20	0.8959004879	73
Ndufa4	0.753130674362	73
Ndufb9	0.622181534767	73
Ndufs1	0.489194333553	73
Ndufs4	0.590090215206	73
Nfat5	0.916000783443	73
Nfia	0.217365607619	73
Nfx1	0.598892867565	73
Nlgn1	0.453350186348	73
Notch1	0.00420042546466	73
Nr2c2	0.403599232435	73
Nup93	1.03747785091	73
Opn1sw	0.00108799687587	73
Oprd1	0.186073675752	73
P2ry12	0.00329624116421	73
Pank2	0.510748922825	73
Pax6	0.0354707539082	73
Pcca	0.961878299713	73
Pcdh19	0.386186480522	73
Pcsk2	1.26091074944	73
Pds5a	0.624768972397	73
Pex1	0.3572691679	73
Phactr1	0.658271551132	73
Phf21a	0.485902547836	73
Pi4ka	1.30677318573	73
Pik3cb	0.328750789165	73
Pik3r1	0.573602676392	73
Pknox2	0.480619043112	73
Pnkd	0.825135648251	73
Pogz	0.569288790226	73
Pomp	0.380163818598	73
Pparg	0.0592555291951	73
Prkar1a	1.13981747627	73
Prkdc	0.213468924165	73
Psmb4	0.109384723008	73
Psmc5	0.855586230755	73
Ptcd3	0.845142602921	73
Pum1	0.579231619835	73
Rala	0.375447064638	73
Rasa2	0.241585165262	73
Rdx	0.506064236164	73
Rhot1	0.626078546047	73
Rlf	0.522125780582	73
Satb2	0.284161269665	73
Sclt1	0.462330073118	73
Sipa1l3	0.370146840811	73
Smarcad1	0.592571496964	73
Srrm2	1.96600949764	73
Stx1b	0.907209098339	73
Supt16	0.32967376709	73
Synj1	1.39094030857	73
Tfrc	0.442006409168	73
Tgfbr3	0.115686036646	73
Tlr4	0.000835521495901	73
Tlr8	3.8784553908e-05	73
Tpr	0.935360968113	73
Trhr	0.0448313318193	73
Tsga10	0.359551846981	73
Ttc21b	0.388430655003	73
Uqcrb	0.232286423445	73
Uqcrc2	0.811038911343	73
Wnk1	1.1095405817	73
Wnk3	0.107331767678	73
Wrn	0.363972514868	73
Xiap	0.264378935099	73
Zc3h14	0.976875603199	73
Zfp341	0.117608629167	73
