human_id	human	mouse_id	mouse	phenotype_plusAO	percentile_plusAO	n_mice	n_guides	excluded_family	dependency_delta	coverage_log2_ratio	distance	focal
ENSG00000178741	COX5A	ENSMUSG00000000088	Cox5a	-2.20465309622	0.12712763137	39	4	False	0.000371175566043	-0.0721497857558	0.0052193687147	Naa20
ENSG00000105722	ERF	ENSMUSG00000040857	Erf	-2.32916433327	0.118749668593	41	4	False	-0.00800678721035	0	0.00641086414318	Naa20
ENSG00000148400	NOTCH1	ENSMUSG00000026923	Notch1	-2.16855898937	0.130415186383	39	4	False	0.00365873057956	-0.0721497857558	0.00654422253	Naa20
ENSG00000162599	NFIA	ENSMUSG00000028565	Nfia	-2.33858762978	0.118113367623	41	4	False	-0.00864308818071	0	0.00747029732995	Naa20
ENSG00000099949	LZTR1	ENSMUSG00000022761	Lztr1	-2.21969477905	0.125961079591	44	4	False	-0.000795376212949	0.101879614019	0.0104427180847	Naa20
ENSG00000119042	SATB2	ENSMUSG00000038331	Satb2	-2.32497808464	0.118961768917	43	4	False	-0.0077946868869	0.068712750084	0.0107971563906	Naa20
ENSG00000127838	PNKD	ENSMUSG00000026179	Pnkd	-2.16156863209	0.131210562596	44	4	False	0.00445410679251	0.101879614019	0.0123633624846	Naa20
ENSG00000197381	ADARB1	ENSMUSG00000020262	Adarb1	-2.29257279161	0.121188822313	38	4	False	-0.00556763349064	-0.109624491174	0.0151173833339	Naa20
ENSG00000128617	OPN1SW	ENSMUSG00000058831	Opn1sw	-2.35771556582	0.11668169044	39	4	False	-0.010074765364	-0.0721497857558	0.0153556812986	Naa20
ENSG00000138175	ARL3	ENSMUSG00000025035	Arl3	-2.41192324847	0.113765310992	40	4	False	-0.0129911448115	-0.0356239097307	0.0181460472958	Naa20
ENSG00000122870	BICC1	ENSMUSG00000014329	Bicc1	-2.12407204721	0.134604167771	38	4	False	0.00784771196776	-0.109624491174	0.0181761873782	Naa20
ENSG00000131061	ZNF341	ENSMUSG00000059842	Zfp341	-2.25112554051	0.124582427488	45	4	False	-0.00217402831539	0.134301091712	0.0185094231465	Naa20
ENSG00000152795	HNRNPDL	ENSMUSG00000029328	Hnrnpdl	-2.25539483618	0.124211251922	45	4	False	-0.00254520388144	0.134301091712	0.0186845895147	Naa20
ENSG00000135951	TSGA10	ENSMUSG00000060771	Tsga10	-2.35095231677	0.117105891086	38	4	False	-0.00965056471711	-0.109624491174	0.0213308690012	Naa20
ENSG00000126581	BECN1	ENSMUSG00000035086	Becn1	-2.20692248363	0.126862505965	37	4	False	0.000106050161726	-0.148098638989	0.0219343315341	Naa20
ENSG00000174672	BRSK2	ENSMUSG00000053046	Brsk2	-2.04279611482	0.141444403203	42	4	False	0.0146879473991	0.0347654181607	0.0227822141798	Naa20
ENSG00000253729	PRKDC	ENSMUSG00000022672	Prkdc	-2.26080306265	0.123840076356	37	4	False	-0.00291637944748	-0.148098638989	0.0227837337786	Naa20
ENSG00000135365	PHF21A	ENSMUSG00000058318	Phf21a	-2.2635758168	0.123521925871	37	4	False	-0.00323452993266	-0.148098638989	0.022979425259	Naa20
ENSG00000125505	MBOAT7	ENSMUSG00000035596	Mboat7	-2.36980653656	0.116045389469	38	4	False	-0.0107110663344	-0.109624491174	0.0234902232672	Naa20
ENSG00000165898	ISCA2	ENSMUSG00000021241	Isca2	-2.02155725867	0.142398854658	41	4	False	0.0156423988547	0	0.0244684641928	Naa20
ENSG00000099365	STX1B	ENSMUSG00000030806	Stx1b	-2.01448300694	0.143035155629	41	4	False	0.016278699825	0	0.0264996067993	Naa20
ENSG00000204681	GABBR1	ENSMUSG00000024462	Gabbr1	-2.46706139691	0.10994750517	40	4	False	-0.0168089506336	-0.0356239097307	0.029523145085	Naa20
ENSG00000140470	ADAMTS17	ENSMUSG00000058145	Adamts17	-2.33989943401	0.118007317461	37	4	False	-0.00874913834244	-0.148098638989	0.0295879490439	Naa20
ENSG00000006451	RALA	ENSMUSG00000008859	Rala	-2.05616838271	0.140383901585	38	4	False	0.0136274457819	-0.109624491174	0.030588256919	Naa20
