gene,log2FC,perturb,perturb_norm
XKR4,-2.58496250072116,2.58496250072116,0.416294695927606
GM1992,0,0,0
GM37381,0,0,0
RP1,-2.4594316186373,2.4594316186373,0.396078603674026
SOX17,-0.168122758808327,0.168122758808327,0.0270752913193508
GM37323,0,0,0
MRPL15,0.319880266238504,0.319880266238504,0.0515150444657705
LYPLA1,0.571541984958835,0.571541984958835,0.0920438485169207
GM37988,0,0,0
TCEA1,-0.493040011280117,0.493040011280117,0.0794015160834012
RGS20,0.684498174272071,0.684498174272071,0.110234852243349
GM16041,0.736965594166206,0.736965594166206,0.118684455904849
ATP6V1H,0.0116818050476352,0.0116818050476352,0.0018812936275997
OPRK1,-0.222392421336448,0.222392421336448,0.0358151367344913
NPBWR1,0,0,0
RB1CC1,-0.837728571101123,0.837728571101123,0.134911806526833
4732440D04RIK,-0.584962500721156,0.584962500721156,0.0942051524147176
ALKAL1,0,0,0
ST18,0.750021746991653,0.750021746991653,0.12078708105664
PCMTD1,-0.115477217419936,0.115477217419936,0.0185970021224629
GM26901,-0.415037499278844,0.415037499278844,0.0668396193417269
GM30414,-1,1,0.161044771756444
SNTG1,-0.777607578663552,0.777607578663552,0.125229635021953
RRS1,-0.290901199266738,0.290901199266738,0.0468481172395877
ADHFE1,0.0339473319233375,0.0339473319233375,0.00546704032133415
3110035E14RIK,0.833990048561071,0.833990048561071,0.134309737017664
GM29520,0,0,0
MYBL1,0.584962500721156,0.584962500721156,0.0942051524147176
VCPIP1,-0.962525294581337,0.962525294581337,0.155009666375656
1700034P13RIK,-0.584962500721156,0.584962500721156,0.0942051524147176
SGK3,-0.2081081953302,0.2081081953302,0.0335147368175977
MCMDC2,-2,2,0.322089543512889
SNHG6,0.230297619421794,0.230297619421794,0.0370882275558354
TCF24,1,1,0.161044771756444
PPP1R42,-1.41503749927884,1.41503749927884,0.227884391098171
GM15818,0,0,0
COPS5,-0.178970141045319,0.178970141045319,0.0288222055158621
CSPP1,-1.07476776840197,1.07476776840197,0.173085729953479
ARFGEF1,-0.658963082164933,0.658963082164933,0.106122559163175
CPA6,-2,2,0.322089543512889
PREX2,-0.391020618160308,0.391020618160308,0.0629718262036906
A830018L16RIK,-0.395928676331139,0.395928676331139,0.0637622433115795
GM17644,0,0,0
GM29663,0,0,0
SULF1,-1.51457317282976,1.51457317282976,0.243914090926802
SLCO5A1,1.58496250072116,1.58496250072116,0.255249924171162
GM29283,0,0,0
PRDM14,0,0,0
NCOA2,-0.222392421336448,0.222392421336448,0.0358151367344913
GM29570,0,0,0
TRAM1,-0.334117503895276,0.334117503895276,0.0538078771546477
LACTB2,0.405992359675837,0.405992359675837,0.0653829468988554
XKR9,-1,1,0.161044771756444
EYA1,0.736965594166206,0.736965594166206,0.118684455904849
GM9947,0,0,0
MSC,0,0,0
TRPA1,1,1,0.161044771756444
KCNB2,-0.222392421336448,0.222392421336448,0.0358151367344913
TERF1,-0.707218250772154,0.707218250772154,0.113893801777593
SBSPON,-0.347923303420307,0.347923303420307,0.0560312289880715
4930444P10RIK,-2,2,0.322089543512889
RPL7,0.213291831619356,0.213291831619356,0.0343495343406532
RDH10,-0.514573172829758,0.514573172829758,0.0828693191703579
GM28095,0,0,0
STAU2,-0.793549122532574,0.793549122532574,0.127796937315785
GM7568,0,0,0
UBE2W,0,0,0
ELOC,-0.128829980344953,0.128829980344953,0.0207473947800401
D030040B21RIK,0.584962500721156,0.584962500721156,0.0942051524147176
TMEM70,0.0136749368970765,0.0136749368970765,0.00220227709137346
LY96,0,0,0
GM28376,0,0,0
JPH1,-0.754887502163469,0.754887502163469,0.121570685487708
GM28783,0,0,0
GDAP1,-0.371968777386958,0.371968777386958,0.0599036268548063
GM28784,0,0,0
PI15,-1,1,0.161044771756444
GM28154,0,0,0
GM16070,-0.736965594166206,0.736965594166206,0.118684455904849
CRISPLD1,-0.736965594166206,0.736965594166206,0.118684455904849
GM28153,0,0,0
CRISP4,0,0,0
DEFB18,0,0,0
DEFB41,0,0,0
GM15825,0,0,0
TFAP2D,-1,1,0.161044771756444
TFAP2B,2,2,0.322089543512889
GM28340,0,0,0
PKHD1,0,0,0
4930486I03RIK,0,0,0
GM28653,0,0,0
IL17A,0,0,0
IL17F,0,0,0
MCM3,-0.432959407276106,0.432959407276106,0.069725848924586
GM28065,0,0,0
6720483E21RIK,-1,1,0.161044771756444
PAQR8,-0.156119201917282,0.156119201917282,0.0251421812395669
EFHC1,-1.87446911791614,1.87446911791614,0.301873451259309
TRAM2,0.341036917835067,0.341036917835067,0.0549222125932697
GM28287,0,0,0
TMEM14A,0.340075441597622,0.340075441597622,0.0547673718720611
GSTA3,1.73696559416621,1.73696559416621,0.279729227661294
GM28836,0,0,0
KHDC1A,0,0,0
KHDC1C,0,0,0
KHDC1B,0,0,0
KCNQ5,-0.53051471669878,0.53051471669878,0.0854366214641898
GM26580,0,0,0
RIMS1,-0.15200309344505,0.15200309344505,0.0244793034901316
4933415F23RIK,0,0,0
GM27028,0,0,0
GM29107,1,1,0.161044771756444
OGFRL1,-0.210419779670372,0.210419779670372,0.0338870053900564
GM28822,0,0,0
B3GAT2,-0.115477217419936,0.115477217419936,0.0185970021224629
SMAP1,0.53051471669878,0.53051471669878,0.0854366214641898
SDHAF4,-0.444784842672896,0.444784842672896,0.0716302734689825
FAM135A,-0.678071905112638,0.678071905112638,0.109199935193322
COL9A1,-1.58496250072116,1.58496250072116,0.255249924171162
COL19A1,-0.736965594166206,0.736965594166206,0.118684455904849
LMBRD1,0.0354986812213863,0.0354986812213863,0.00571687701495294
GM28237,-1,1,0.161044771756444
GM29414,0,0,0
ADGRB3,-0.88318633501725,0.88318633501725,0.142232541741264
4931408C20RIK,0,0,0
GM5524,0,0,0
GM597,1,1,0.161044771756444
GM9898,0,0,0
PHF3,-0.0303736490435189,0.0303736490435189,0.00489151737762384
PTP4A1,0.70807304304352,0.70807304304352,0.114031461603835
GM29669,0,0,0
GM28644,0,0,0
4931428L18RIK,0,0,0
GM29128,0,0,0
LGSN,0,0,0
PIH1D3,0,0,0
KHDRBS2,-1.24100809950379,1.24100809950379,0.199857866132488
GM5415,0,0,0
GM37724,0,0,0
GM37591,0,0,0
PRIM2,0.893084796083488,0.893084796083488,0.143826637144416
RAB23,-0.491853096329675,0.491853096329675,0.0792103696361129
BAG2,-0.624490864907794,0.624490864907794,0.10057098880306
ZFP451,-1.22881869049588,1.22881869049588,0.197894825540962
BEND6,-0.289506617194985,0.289506617194985,0.0466235270881467
DST,-0.583308981868643,0.583308981868643,0.0939388618485195
GM37958,0,0,0
GM37233,-0.263034405833794,0.263034405833794,0.0423603158515953
CCDC115,-0.161280907033061,0.161280907033061,0.0259734468618116
GM28306,0,0,0
IMP4,0.0921182019884314,0.0921182019884314,0.014835154813841
PTPN18,0.117651588654273,0.117651588654273,0.0189471732416105
4930568A12RIK,1,1,0.161044771756444
PRSS39,0,0,0
CFC1,0,0,0
PRSS40,0,0,0
1700101I19RIK,0,0,0
AMER3,-0.736965594166206,0.736965594166206,0.118684455904849
ARHGEF4,-0.721283971933937,0.721283971933937,0.116159012631682
GM38336,1,1,0.161044771756444
FAM168B,0.272079545436801,0.272079545436801,0.0438169882944667
PLEKHB2,0.328054197684204,0.328054197684204,0.0528314133897961
GM37068,0,0,0
GM28415,0,0,0
1110002O04RIK,0,0,0
GM37146,0,0,0
GM33222,0,0,0
4930535G08RIK,0,0,0
HS6ST1,0.289506617194985,0.289506617194985,0.0466235270881467
GM37335,0,0,0
GM33280,0,0,0
UGGT1,-1.0962153152593,1.0962153152593,0.176539745241853
NEURL3,-0.447458976971221,0.447458976971221,0.0720609288167025
ARID5A,-0.192645077942396,0.192645077942396,0.0310244826072356
4930403P22RIK,0.321928094887362,0.321928094887362,0.0518448365631223
KANSL3,-0.440572591385982,0.440572591385982,0.0709519124219006
FER1L5,0,0,0
LMAN2L,-0.375509135092206,0.375509135092206,0.0604737829533842
CNNM4,1,1,0.161044771756444
CNNM3,-0.160464672193246,0.160464672193246,0.025841996508334
GM38033,0,0,0
ANKRD23,0,0,0
GM42417,0,0,0
ANKRD39,0.0601209924375709,0.0601209924375709,0.00968217150487953
SEMA4C,0.156119201917282,0.156119201917282,0.0251421812395669
FAM178B,0.263034405833794,0.263034405833794,0.0423603158515953
COX5B,0.158280652973872,0.158280652973872,0.0254902716316383
ACTR1B,0.364053570560039,0.364053570560039,0.0586289241779601
4933424G06RIK,-1,1,0.161044771756444
GM33533,1,1,0.161044771756444
ZAP70,-0.807354922057604,0.807354922057604,0.130020289149209
TMEM131,-0.226770861847022,0.226770861847022,0.0365202616871659
VWA3B,-1.8073549220576,1.8073549220576,0.291065060905653
GM37020,-1,1,0.161044771756444
CNGA3,0,0,0
INPP4A,-0.709220603683302,0.709220603683302,0.114216270245145
4930439A04RIK,0,0,0
COA5,0.216811389073148,0.216811389073148,0.0349163406674828
UNC50,0.0586542177208105,0.0586542177208105,0.00944595510540072
MGAT4A,0.0972972013549148,0.0972972013549148,0.0156692055847431
2010300C02RIK,-0.12199052437861,0.12199052437861,0.0196459361550023
4930556I23RIK,0,0,0
TSGA10,-1.39231742277876,1.39231742277876,0.224225441563926
GM26805,0,0,0
LIPT1,0.169925001442312,0.169925001442312,0.0273655330729907
MITD1,0.115477217419936,0.115477217419936,0.0185970021224629
MRPL30,0.346922474354232,0.346922474354232,0.0558700506995582
LYG2,-2.32192809488736,2.32192809488736,0.373934380076011
GM15457,0,0,0
LYG1,0,0,0
TXNDC9,0.0123837244558323,0.0123837244558323,0.00199433407848422
EIF5B,-0.487938046326292,0.487938046326292,0.078579871301903
REV1,-0.526068811667588,0.526068811667588,0.0847206317031906
GM5099,0,0,0
AFF3,-0.584962500721156,0.584962500721156,0.0942051524147176
GM16150,-1,1,0.161044771756444
GM16151,0,0,0
GM16152,-0.415037499278844,0.415037499278844,0.0668396193417269
LONRF2,-0.643856189774725,0.643856189774725,0.103689673126245
CHST10,0.222392421336448,0.222392421336448,0.0358151367344913
GM37707,0,0,0
NMS,0,0,0
PDCL3,0.143124942098597,0.143124942098597,0.0230495236329229
GM37821,0,0,0
NPAS2,-0.15200309344505,0.15200309344505,0.0244793034901316
RPL31,0.256550992243076,0.256550992243076,0.0413161959896754
TBC1D8,-0.514573172829758,0.514573172829758,0.0828693191703579
CNOT11,-0.144389909335175,0.144389909335175,0.0232532399928169
RNF149,0.276840205358824,0.276840205358824,0.044583667685019
CREG2,-0.560714954474479,0.560714954474479,0.0903002118637676
D930019O06RIK,1,1,0.161044771756444
RFX8,-0.584962500721156,0.584962500721156,0.0942051524147176
GM3646,1.58496250072116,1.58496250072116,0.255249924171162
1700066B17RIK,-1,1,0.161044771756444
MAP4K4,-0.277533975528909,0.277533975528909,0.0446953957437118
IL1R2,0,0,0
GM16894,-0.263034405833794,0.263034405833794,0.0423603158515953
IL1R1,-0.289506617194985,0.289506617194985,0.0466235270881467
IL1RL2,0,0,0
IL1RL1,-1,1,0.161044771756444
IL18R1,0,0,0
IL18RAP,-1,1,0.161044771756444
GM35801,0,0,0
SLC9A4,0,0,0
SLC9A2,-0.321928094887362,0.321928094887362,0.0518448365631223
GM37623,0,0,0
GM37915,0,0,0
MFSD9,1.22239242133645,1.22239242133645,0.196859908490936
TMEM182,-1,1,0.161044771756444
4930448I06RIK,0,0,0
GM28634,0,0,0
GM29260,1,1,0.161044771756444
GM9915,0,0,0
GM29664,0,0,0
GM28175,1,1,0.161044771756444
GM28140,0,0,0
PANTR1,0.33505022210591,0.33505022210591,0.0539580865459923
POU3F3,0.0188590272513158,0.0188590272513158,0.00303714773923671
DALIR,0,0,0
MRPS9,0.521537120579523,0.521537120579523,0.0839908265462425
GPR45,-2.4594316186373,2.4594316186373,0.396078603674026
TGFBRAP1,-0.389946518316013,0.389946518316013,0.0627988480394225
GM28782,0.584962500721156,0.584962500721156,0.0942051524147176
8430432A02RIK,-0.321928094887362,0.321928094887362,0.0518448365631223
AI597479,-0.556393348524385,0.556393348524385,0.0896042398199134
FHL2,0.115477217419936,0.115477217419936,0.0185970021224629
GM29040,0,0,0
NCK2,0.777607578663552,0.777607578663552,0.125229635021953
1500015O10RIK,-1.78135971352466,1.78135971352466,0.286878668480704
GM29155,0,0,0
