gene,DA_log2FC,DA_pct_EXP,DA_pct_CTL,MG_log2FC,MG_pct_EXP,MG_pct_CTL
ACTR1B,-0.490341708087285,0.217,0.315,1.01857683883927,0.2,0.108
APH1A,0.129034781854733,0.362,0.315,0.206255395992346,0.178,0.231
APH1B,0.0813001021018485,0,0,0.53051471669878,0,0
APP,-0.180116206635598,0.913,0.795,-0.787948429779032,0.267,0.369
CLIP1,-0.359230304613708,0.42,0.425,-0.369498921652524,0.244,0.338
DCTN2,-0.171068366289511,0.449,0.288,0.297128022313271,0.467,0.477
DCTN3,-0.446301686954337,0.391,0.425,-0.272755278799681,0.311,0.385
DYNC1H1,-0.235619144373482,0.348,0.288,1.0202850993732,0.178,0.123
EIF4A1,0.822059527440175,0.725,0.521,0.136690018575779,0.8,0.831
EIF4A2,-0.546320820333041,0.739,0.685,-0.162685141571034,0.533,0.615
EIF4B,0.439996645221789,0.377,0.219,0.379978668202026,0.222,0.154
EIF4E,-0.337512069427305,0.275,0.26,0.683580958154195,0.178,0.154
NCSTN,-0.982420287767688,0.13,0.123,0.569085430693041,0.2,0.138
PABPC1,0.131648143933689,0.464,0.534,-0.452566150453118,0.578,0.738
PSENEN,0.36331431469007,0.58,0.411,-0.0632915164765324,0.667,0.769
SNX2,-0.436134452124488,0.246,0.274,-0.26815376076575,0.244,0.4
SNX3,-0.0932300512294337,0.826,0.74,0.411899079084713,0.4,0.338
VPS26A,-0.0212241304789631,0.188,0.205,-0.366539973326924,0.156,0.169
VPS26B,0.631252182069194,0.058,0.014,0.29026014174474,0.044,0.062
VPS29,0.0147925204925572,0.464,0.384,-0.40333575842334,0.467,0.431
