gene,mptp10d_logFC.x,mptp10d_fdr,mptp10d_perturb,mptp10d_norm,pq_log2FC,pq_perturb,pq_norm,mptp2d_logFC,mptp2d_fdr,mptp2d_perturb,mptp2d_norm,reactivity,shared_loose,same_direction_10d,same_direction_2d,mptp10d_sig_fdr05,mptp2d_sig_fdr05,inferred_celltype,DA_log2FC,DA_pct_EXP,DA_pct_CTL,MG_log2FC,MG_pct_EXP,MG_pct_CTL,mptp10d_logFC.y,mptp10d_FDR,mptp10d_t,call
ACTR1B,-0.2819260365,0.705353640807183,0.0427380383556141,0.0256426199617324,0.364053570560039,0.364053570560039,0.0586289241779601,-0.0630490381666666,0.931380046273807,0.00194651740368351,0.00128846087162277,0.0368579633952498,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,-0.490341708087285,0.217,0.315,1.01857683883927,0.2,0.108,-0.2819260365,0.705353640807183,-2.04848667027601,Not conserved
PSENEN,-0.492329744,0.66448513242832,0.0873957824468337,0.0524370542603083,0.0393742383341445,0.0393742383341445,0.00634101522560614,-0.461865734666667,0.599000296414014,0.102798824934807,0.0680457644211706,0.0367644009885096,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,0.36331431469007,0.58,0.411,-0.0632915164765324,0.667,0.769,-0.492329744,0.66448513242832,-2.44391752439101,Not conserved
APH1B,0.0795095771666667,0.936279238948831,0.00227354507618964,0.00136411622929954,-0.394278939112046,0.394278939112046,0.0634965617576726,0.110553026333333,0.862150788621277,0.00712146889320709,0.00471392347032135,0.0224891477089464,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,0.0813001021018485,0,0,0.53051471669878,0,0,0.0795095771666667,0.936279238948831,0.593514481150516,Not conserved
CLIP1,-0.0148429853333333,0.991655044923235,5.40191802168509e-05,3.24112360479035e-05,-0.396352936013917,0.396352936013917,0.0638305681153579,0.102438450666667,0.881627692805601,0.00560489694910897,0.00371005696388924,0.0217237845750133,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown,-0.359230304613708,0.42,0.425,-0.369498921652524,0.244,0.338,-0.0148429853333333,0.991655044923235,-0.107052400892466,Conserved (10d)
DCTN3,-0.218128208,0.872328352500268,0.0129393678754453,0.00776355923858263,0.274556275729013,0.274556275729013,0.0442158527590784,-0.215748471666667,0.823609156299976,0.0181830295970833,0.0120359172225469,0.0201573390355512,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,-0.446301686954337,0.391,0.425,-0.272755278799681,0.311,0.385,-0.218128208,0.872328352500268,-1.02289823654652,Not conserved
VPS26B,-0.0478374166666667,0.966888576233398,0.000699553855118076,0.000419728974238227,-0.337034987277571,0.337034987277571,0.0542777226000525,0.052115918,0.94551118773216,0.00126815372736072,0.000839430691095738,0.0187314468070151,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown,0.631252182069194,0.058,0.014,0.29026014174474,0.044,0.062,-0.0478374166666667,0.966888576233398,-0.348563526688501,Conserved (10d)
NCSTN,0.0934893266666667,0.94263789182853,0.002398478642315,0.00143907577545115,-0.316027493447678,0.316027493447678,0.0508945755510426,0.253589032333333,0.735027367830872,0.0339039635759963,0.0224420961926098,0.0182539456991522,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,-0.982420287767688,0.13,0.123,0.569085430693041,0.2,0.138,0.0934893266666667,0.94263789182853,0.549589673278195,Not conserved
DCTN2,-0.234944980666667,0.840911161275838,0.017679582344762,0.0106076654007709,0.167259759522482,0.167259759522482,0.026936309796336,-0.017159464,0.988299906263336,8.77062387523136e-05,5.80554975037261e-05,0.016159404495263,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown,-0.171068366289511,0.449,0.288,0.297128022313271,0.467,0.477,-0.234944980666667,0.840911161275838,-1.21218403213288,Not conserved
VPS26A,0.215360957,0.770524962046364,0.0243817218864488,0.014628917285837,0.0985638344835896,0.0985638344835896,0.0158731902278497,-0.022614797,0.97712488656519,0.000227277023967512,0.000150441775055029,0.0150519700861213,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown,-0.0212241304789631,0.188,0.205,-0.366539973326924,0.156,0.169,0.215360957,0.770524962046364,1.63436698669158,Conserved (10d)
EIF4A1,-0.125506085333333,0.891714065840139,0.00624698793146741,0.00374816306577686,0.20591421046937,0.20591421046937,0.0331614070264482,0.0199848803333333,0.98079049699214,0.000168347650526973,0.000111434575645728,0.0137486660124051,FALSE,FALSE,TRUE,FALSE,FALSE,Unknown,0.822059527440175,0.725,0.521,0.136690018575779,0.8,0.831,-0.125506085333333,0.891714065840139,-0.898184636173605,Not conserved
