gene,global_rank,reactivity,shared_loose,inferred_celltype,pq_log2FC,pq_norm,mptp10d_logFC,mptp10d_fdr,mptp10d_norm,same_direction_10d,mptp2d_logFC,mptp2d_fdr,mptp2d_norm,same_direction_2d
SNX3,11983,0.0115231752618749,FALSE,Unknown,0.175013878115112,0.0281850700552584,-0.104674659666667,0.897824601108969,0.00293977491376817,FALSE,-0.138062796333333,0.800133747911907,0.00884978631231544,FALSE
VPS26B,9780,0.0187314468070151,FALSE,Unknown,-0.337034987277571,0.0542777226000525,-0.0478374166666667,0.966888576233398,0.000419728974238227,TRUE,0.052115918,0.94551118773216,0.000839430691095738,FALSE
PSENEN,5734,0.0367644009885096,FALSE,Unknown,0.0393742383341445,0.00634101522560614,-0.492329744,0.66448513242832,0.0524370542603083,FALSE,-0.461865734666667,0.599000296414014,0.0680457644211706,FALSE
APH1A,11384,0.0133488470014793,FALSE,Unknown,0.17536708651056,0.0282419524206858,0.159493285333333,0.872328352500268,0.00567664117946376,TRUE,0.154849049333333,0.829070009504105,0.00834435580209135,TRUE
SNX2,11725,0.012308719652598,FALSE,Unknown,-0.0811367627254055,0.0130666514341697,-0.232035002666667,0.821093251105339,0.0119182699469398,TRUE,-0.229805948333333,0.766522251661764,0.0175656029167005,TRUE
APH1B,8766,0.0224891477089464,FALSE,Unknown,-0.394278939112046,0.0634965617576726,0.0795095771666667,0.936279238948831,0.00136411622929954,FALSE,0.110553026333333,0.862150788621277,0.00471392347032135,FALSE
EIF4E,13856,0.0061116337271397,FALSE,Unknown,-0.0780025120012732,0.0125618967416744,-0.108894983666667,0.906393497123299,0.00278877096207639,TRUE,-0.175770045,0.769558087400492,0.0132355509429506,TRUE
EIF4B,11843,0.0119552401009525,FALSE,Unknown,0.169925001442312,0.0273655330729907,0.128110252333333,0.886635385172256,0.00401660432747833,TRUE,-0.0124006233333334,0.988299906263336,4.19549412696496e-05,FALSE
EIF4A2,13174,0.0079428350777197,FALSE,Unknown,-0.138605238229507,0.0223216489549185,0.0535192433333334,0.962324463382148,0.00053556732279909,FALSE,0.053977648,0.944191125163592,0.000891096719942592,FALSE
NCSTN,9922,0.0182539456991522,FALSE,Unknown,-0.316027493447678,0.0508945755510426,0.0934893266666667,0.94263789182853,0.00143907577545115,FALSE,0.253589032333333,0.735027367830872,0.0224420961926098,FALSE
PABPC1,11575,0.0127819871872269,FALSE,Unknown,-0.232021122534225,0.0373657887211983,0.0350273528333335,0.987197643774978,0.00011760457881748,FALSE,0.1182050345,0.924574884677272,0.00266481391302937,FALSE
DCTN2,10554,0.016159404495263,FALSE,Unknown,0.167259759522482,0.026936309796336,-0.234944980666667,0.840911161275838,0.0106076654007709,FALSE,-0.017159464,0.988299906263336,5.80554975037261e-05,FALSE
EIF4A1,11258,0.0137486660124051,FALSE,Unknown,0.20591421046937,0.0331614070264482,-0.125506085333333,0.891714065840139,0.00374816306577686,FALSE,0.0199848803333333,0.98079049699214,0.000111434575645728,TRUE
VPS26A,10886,0.0150519700861213,FALSE,Unknown,0.0985638344835896,0.0158731902278497,0.215360957,0.770524962046364,0.014628917285837,TRUE,-0.022614797,0.97712488656519,0.000150441775055029,FALSE
VPS29,12361,0.0103294624550065,FALSE,Unknown,0.173802471730399,0.0279899793905279,-0.0756988516666667,0.939470432928412,0.00123162039731371,FALSE,0.0686239393333333,0.920601447699062,0.00163202128784092,TRUE
APP,11493,0.0130081616972609,FALSE,Unknown,0.225637763400399,0.0363377821064519,-0.0615612671666667,0.940157629743949,0.000989872395556476,FALSE,-0.119155586,0.809925774621079,0.00722118342867515,FALSE
CLIP1,8956,0.0217237845750133,FALSE,Unknown,-0.396352936013917,0.0638305681153579,-0.0148429853333333,0.991655044923235,3.24112360479035e-05,TRUE,0.102438450666667,0.881627692805601,0.00371005696388924,FALSE
DYNC1H1,11451,0.0131478727498159,FALSE,Unknown,0.235378062930929,0.0379064064211854,0.0526605066666667,0.971732331222284,0.000393476616080144,TRUE,-0.0471935278333334,0.96451947941742,0.000490106608258032,FALSE
ACTR1B,5726,0.0368579633952498,FALSE,Unknown,0.364053570560039,0.0586289241779601,-0.2819260365,0.705353640807183,0.0256426199617324,FALSE,-0.0630490381666666,0.931380046273807,0.00128846087162277,FALSE
DCTN3,9373,0.0201573390355512,FALSE,Unknown,0.274556275729013,0.0442158527590784,-0.218128208,0.872328352500268,0.00776355923858263,FALSE,-0.215748471666667,0.823609156299976,0.0120359172225469,FALSE
