gene,mptp10d_logFC,mptp10d_fdr,mptp10d_perturb,mptp10d_norm,pq_log2FC,pq_perturb,pq_norm,mptp2d_logFC,mptp2d_fdr,mptp2d_perturb,mptp2d_norm,reactivity,shared_loose,same_direction_10d,same_direction_2d,mptp10d_sig_fdr05,mptp2d_sig_fdr05,inferred_celltype
TTR,4.92700121833333,0.643428417936403,0.943519559568425,0.566107253334322,1.41503749927884,1.41503749927884,0.227884391098171,2.344506345,0.775237598400944,0.259220748492533,0.171586338636835,0.451111480174031,TRUE,TRUE,TRUE,FALSE,FALSE,Unknown
E4F1,-1.345153653,0.212142552756668,0.905789087430345,0.543469149298144,0.270089163367744,0.270089163367744,0.0434964476684474,-0.208853249666667,0.799423482281744,0.0203053601507567,0.0134407543400351,0.373478430744047,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
PMCH,-0.645349347333333,0.713103156174783,0.094768029517232,0.0568603674791123,-4.80735492205761,4.80735492205761,0.774199376174987,-0.310597413,0.834454928017197,0.0244120609594607,0.0161591083290028,0.30075563043571,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
AK7,1.47073480666667,0.62045024998387,0.304873083403111,0.182922401661686,-3,3,0.483134315269333,1.06934602,0.630116196575384,0.214488737196972,0.141976818244672,0.284994452288286,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
S100A9,-0.51170843,0.812452925522064,0.0461570179575671,0.027693991480311,-4.80735492205761,4.80735492205761,0.774199376174987,-1.02581916,0.544406915171871,0.270894596903298,0.179313624814282,0.281505822276501,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
AVP,-0.278600613333333,0.767667513351156,0.0319908274265649,0.0191943444612249,-4.80735492205761,4.80735492205761,0.774199376174987,-0.00811378033333332,0.99382799643849,2.18161151907582e-05,1.44407594060526e-05,0.275896055243904,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
CD79A,-0.831731290666667,0.75524042244008,0.101400331925195,0.0608397174157201,4.16992500144231,4.16992500144231,0.671544620098768,-0.949262593333333,0.661882887947041,0.170125747326356,0.112611564700579,0.268479384327957,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
CCDC113,1.40493360666667,0.608782126533576,0.302816729574463,0.181688599133645,-2.59825932333461,2.59825932333461,0.418436079690477,1.00488550333333,0.569678728346483,0.245563867115375,0.162546420781175,0.262182742522968,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
ACBD7,-0.612828096666667,0.670064273089265,0.106560717287754,0.0639359241177421,-4,4,0.644179087025778,-0.411592961,0.705898182470794,0.0622567018820569,0.0412096623881029,0.261218599506474,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
CLEC3B,-0.202543261666667,0.787274835051036,0.0210389039020957,0.0126232423759963,-4.58496250072116,4.58496250072116,0.738384239440495,-0.166198256333333,0.778444192401402,0.0180778026744527,0.0119662642241416,0.259381981377926,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
LY6D,-0.165087776333333,0.854986751374684,0.0112326738175455,0.00673955091185758,4.58496250072116,4.58496250072116,0.738384239440495,-0.104212283,0.884699041227707,0.00554455651089171,0.00367011573647469,0.255498745011594,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
OXT,-0.124158235666667,0.894870043761817,0.00598939700184141,0.00359360973174202,-4.52356195605701,4.52356195605701,0.728496002739337,-0.00599208233333334,0.994183603132537,1.51803645624125e-05,1.00483480689211e-05,0.250060423354324,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
CALML4,1.32409388833333,0.662094537163094,0.237118727430203,0.142270109959487,-2.83650126771712,2.83650126771712,0.456803699246369,0.0706832376666667,0.981924937492572,0.000559932128792871,0.000370636615944317,0.249211530317027,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
GPR6,1.45525794,0.474733063509917,0.470849463403334,0.28250744115556,-1,1,0.161044771756444,0.907609993333333,0.547548233319316,0.237410460096515,0.157149425108537,0.241210133559861,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
DPY19L2,-0.244140146333333,0.739284266381434,0.0320283884885116,0.019216880919951,-4.16992500144231,4.16992500144231,0.671544620098768,-0.214075088,0.707118608280959,0.0322199563722644,0.0213273990396026,0.241008312240749,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
KRT18,1.14257933833333,0.642032965628464,0.219881021077242,0.131927568039118,-2.73696559416621,2.73696559416621,0.440773999417738,-0.0232137616666669,0.992851601035503,7.23261777278885e-05,4.78749530268309e-05,0.236935354707849,FALSE,FALSE,TRUE,FALSE,FALSE,Unknown
FAM167A,-1.33020813333333,0.62045024998387,0.275742882631828,0.165444419588159,-2.32192809488736,2.32192809488736,0.373934380076011,-1.54712869,0.458880105137287,0.523394828421871,0.3464514426239,0.236331006154029,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
SPTLC3,-0.163114924833333,0.814025105462072,0.0145763086611193,0.00874571593335002,-4.16992500144231,4.16992500144231,0.671544620098768,-0.058541239,0.923694411765138,0.00201801507984065,0.00133578742455104,0.234097343349592,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
NHLH2,1.202189376,0.678391850690714,0.202592205597879,0.121554360885712,-2.8073549220576,2.8073549220576,0.452109832662098,1.73551473,0.469023510783615,0.570646592130846,0.377728866119621,0.233943221289683,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
PRLR,0.185892661333333,0.773385555963997,0.0207463540227508,0.01244771383821,-4.08746284125034,4.08746284125034,0.658264520332109,0.0447974991666667,0.94551118773216,0.00109007224135718,0.000721552973582691,0.232025428046136,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
MB,0.118966135833333,0.963217099000438,0.00193627098886164,0.00116175337919536,-4.16992500144231,4.16992500144231,0.671544620098768,0.174314257166667,0.914062540560891,0.00680245502117771,0.00450275818900134,0.22909192806385,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
BRCA1,-0.0373094860000001,0.978787591947759,0.000347408951085645,0.000208443704758381,-4.16992500144231,4.16992500144231,0.671544620098768,0.0195157933333333,0.985394736917159,0.000124701268029447,8.25436669837932e-05,0.228462743678722,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown
TCFL5,1.31786122333333,0.465767613554114,0.437306829058552,0.262382019900143,-1,1,0.161044771756444,0.911079233333333,0.469023510783615,0.299567759740564,0.198293290050621,0.227927355531285,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
RIBC2,0.100623933666667,0.960521704661631,0.00176019606256574,0.00105610925989938,-4.08746284125034,4.08746284125034,0.658264520332109,0.0847564566666668,0.948818360397683,0.00193388128711949,0.00128009662999259,0.224506969024451,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
WISP2,-0.521700773333333,0.568027754210696,0.128145592513751,0.0768867467097785,-3.16992500144231,3.16992500144231,0.510499848342324,-0.504636357,0.436144670085706,0.181855516561377,0.120375866624427,0.224315201264844,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
