gene,reactivity,shared_loose,inferred_celltype,pq_log2FC,mptp10d_logFC,mptp10d_fdr,same_direction_10d,mptp2d_logFC,mptp2d_fdr,same_direction_2d
TTR,0.451111480174031,TRUE,Unknown,1.41503749927884,4.92700121833333,0.643428417936403,TRUE,2.344506345,0.775237598400944,TRUE
E4F1,0.373478430744047,FALSE,Unknown,0.270089163367744,-1.345153653,0.212142552756668,FALSE,-0.208853249666667,0.799423482281744,FALSE
PMCH,0.30075563043571,FALSE,Unknown,-4.80735492205761,-0.645349347333333,0.713103156174783,TRUE,-0.310597413,0.834454928017197,TRUE
AK7,0.284994452288286,FALSE,Unknown,-3,1.47073480666667,0.62045024998387,FALSE,1.06934602,0.630116196575384,FALSE
S100A9,0.281505822276501,FALSE,Unknown,-4.80735492205761,-0.51170843,0.812452925522064,TRUE,-1.02581916,0.544406915171871,TRUE
AVP,0.275896055243904,FALSE,Unknown,-4.80735492205761,-0.278600613333333,0.767667513351156,TRUE,-0.00811378033333332,0.99382799643849,TRUE
CD79A,0.268479384327957,FALSE,Unknown,4.16992500144231,-0.831731290666667,0.75524042244008,FALSE,-0.949262593333333,0.661882887947041,FALSE
CCDC113,0.262182742522968,FALSE,Unknown,-2.59825932333461,1.40493360666667,0.608782126533576,FALSE,1.00488550333333,0.569678728346483,FALSE
ACBD7,0.261218599506474,FALSE,Unknown,-4,-0.612828096666667,0.670064273089265,TRUE,-0.411592961,0.705898182470794,TRUE
CLEC3B,0.259381981377926,FALSE,Unknown,-4.58496250072116,-0.202543261666667,0.787274835051036,TRUE,-0.166198256333333,0.778444192401402,TRUE
LY6D,0.255498745011594,FALSE,Unknown,4.58496250072116,-0.165087776333333,0.854986751374684,FALSE,-0.104212283,0.884699041227707,FALSE
OXT,0.250060423354324,FALSE,Unknown,-4.52356195605701,-0.124158235666667,0.894870043761817,TRUE,-0.00599208233333334,0.994183603132537,TRUE
CALML4,0.249211530317027,FALSE,Unknown,-2.83650126771712,1.32409388833333,0.662094537163094,FALSE,0.0706832376666667,0.981924937492572,FALSE
GPR6,0.241210133559861,FALSE,Unknown,-1,1.45525794,0.474733063509917,FALSE,0.907609993333333,0.547548233319316,FALSE
DPY19L2,0.241008312240749,FALSE,Unknown,-4.16992500144231,-0.244140146333333,0.739284266381434,TRUE,-0.214075088,0.707118608280959,TRUE
KRT18,0.236935354707849,FALSE,Unknown,-2.73696559416621,1.14257933833333,0.642032965628464,FALSE,-0.0232137616666669,0.992851601035503,TRUE
FAM167A,0.236331006154029,FALSE,Unknown,-2.32192809488736,-1.33020813333333,0.62045024998387,TRUE,-1.54712869,0.458880105137287,TRUE
SPTLC3,0.234097343349592,FALSE,Unknown,-4.16992500144231,-0.163114924833333,0.814025105462072,TRUE,-0.058541239,0.923694411765138,TRUE
NHLH2,0.233943221289683,FALSE,Unknown,-2.8073549220576,1.202189376,0.678391850690714,FALSE,1.73551473,0.469023510783615,FALSE
PRLR,0.232025428046136,FALSE,Unknown,-4.08746284125034,0.185892661333333,0.773385555963997,FALSE,0.0447974991666667,0.94551118773216,FALSE
MB,0.22909192806385,FALSE,Unknown,-4.16992500144231,0.118966135833333,0.963217099000438,FALSE,0.174314257166667,0.914062540560891,FALSE
BRCA1,0.228462743678722,FALSE,Unknown,-4.16992500144231,-0.0373094860000001,0.978787591947759,TRUE,0.0195157933333333,0.985394736917159,FALSE
TCFL5,0.227927355531285,FALSE,Unknown,-1,1.31786122333333,0.465767613554114,FALSE,0.911079233333333,0.469023510783615,FALSE
RIBC2,0.224506969024451,FALSE,Unknown,-4.08746284125034,0.100623933666667,0.960521704661631,FALSE,0.0847564566666668,0.948818360397683,FALSE
WISP2,0.224315201264844,FALSE,Unknown,-3.16992500144231,-0.521700773333333,0.568027754210696,TRUE,-0.504636357,0.436144670085706,TRUE
TSNAXIP1,0.223957858313762,FALSE,Unknown,-4.08746284125034,0.0318338076666667,0.973342922047322,FALSE,-0.134820698666667,0.802303623971353,TRUE
