file	sha256	bytes	width_px	height_px
fig1_evidence_design.pdf	ac17165f786b354ab40531eca66556583a17ea642e6fc1ab5efa345b5bd668ef	26943	NA	NA
fig1_evidence_design.png	24bf9ba51efa4ca195635225ec3572066b141868f58c667678ccda0bbb9698e8	388782	2884	2061
fig1_evidence_flow.tsv	ec4b57e47aed4d858db8f90a12fce5098a38e81e3e7f189b4ec7b4f0d5bc855c	1271	NA	NA
fig2_cross_model_values.tsv	2a984ac8294f2841178bdf1c1da78aa9e7e2d8d310b5aefeb2cc000a646e73e6	648	NA	NA
fig2_proteasome_cross_model.pdf	a36fca67e437cd2d46ce8d6fbc17d73421ab890c06aa348a3e99ced31bbefef0	22930	NA	NA
fig2_proteasome_cross_model.png	497516b9fc7d891170d8fa2a9ae1a3b05919e3add5feebdb7ee7cb2970653501	226194	3023	1582
fig3_rotenone_replication.pdf	e1ee7cdc58b28bc205fec835624ecc28e6963ec0fb19dd03d9f2ef4933ff2505	22849	NA	NA
fig3_rotenone_replication.png	642a3dd305ee3c9825953fcdae6150ed8444b5cdf022e70292a27bfef84899a5	218654	3251	1832
fig3_rotenone_values.tsv	29c2017345cc6413d2283e53fa7faabb3be921fe6b1e8b54948894e47f3d7018	1538	NA	NA
fig4_human_model_values.tsv	e663b3a43acb17ddf207882b7f2c38f57ffa305a38457fde2ab930ecde3af96f	324	NA	NA
fig4_human_sn_validation.pdf	225c6a4b524b9a868548b8f8b514a73f1ca0c1c06d41a7305e2801d5f49bad79	29773	NA	NA
fig4_human_sn_validation.png	65b826a07bccd3e77f9163a7ada534c11b0864daafa18cc3f40b258c7a7719cb	316511	3056	1996
fig5_validation_matrix.tsv	fb8bdd3fb413ae6ab8899e0916534a1052cafc7d7520b731eaa116cb2ddabf1b	2518	NA	NA
fig5_validation_outcome_matrix.pdf	ebf1e28adf7b2aa107167c449127003ed9b13eb0c8c909b81eb3461bfd5fe43d	26472	NA	NA
fig5_validation_outcome_matrix.png	7696b8d7bef31a3f7da264229dab3e2708d8360cc0bbee47f09a60d7bf665f90	410024	3319	1953
