endpoint	sheet	drug	genotype	arm	source_observations	mean	median
TH	Fig4b_Q10	Q10	control	EtOH	191	100.000000052	101.0792
TH	Fig4b_Q10	Q10	control	Q10	197	101.300090914	102.3082
TH	Fig4b_Q10	Q10	anne[KO-WS/+]	EtOH	13	67.4333061538	67.38543
TH	Fig4b_Q10	Q10	anne[KO-WS/+]	Q10	17	105.09438	104.3274
TH	Fig4b_Q10	Q10	auxilin[KO-WS/+]	EtOH	15	77.7825213333	78.67267
TH	Fig4b_Q10	Q10	auxilin[KO-WS/+]	Q10	14	101.874083571	103.03525
TH	Fig4b_Q10	Q10	Pink1[KO-WS/y]	EtOH	16	72.53193125	79.906965
TH	Fig4b_Q10	Q10	Pink1[KO-WS/y]	Q10	21	95.5486038095	93.5065
TH	Fig4b_Q10	Q10	nutcracker[KO-WS]	EtOH	9	71.8566044444	69.06383
TH	Fig4b_Q10	Q10	nutcracker[KO-WS]	Q10	18	101.459833889	108.97825
TH	Fig4b_Q10	Q10	eIF4G[KO-WS/+]	EtOH	14	73.7091821429	73.715165
TH	Fig4b_Q10	Q10	eIF4G[KO-WS/+]	Q10	16	90.58665	88.84776
TH	Fig4b_Q10	Q10	Rme-8[KO-WS/+]	EtOH	19	78.7530147368	73.41701
TH	Fig4b_Q10	Q10	Rme-8[KO-WS/+]	Q10	24	86.5095066667	88.406035
TH	Fig4b_Q10	Q10	Gdh[KO-WS/+]	EtOH	20	81.2165255	79.00286
TH	Fig4b_Q10	Q10	Gdh[KO-WS/+]	Q10	20	94.063861	95.059285
TH	Fig4b_Q10	Q10	VhaM8.9[KO-WS/+]	EtOH	16	77.33314875	78.499065
TH	Fig4b_Q10	Q10	VhaM8.9[KO-WS/+]	Q10	17	93.1672594118	97.81706
TH	Fig4b_Q10	Q10	VAC14[KO-WS/+]	EtOH	20	82.307694	82.981305
TH	Fig4b_Q10	Q10	VAC14[KO-WS/+]	Q10	20	94.0765505	84.980915
TH	Fig4b_Q10	Q10	iPLA2-VIA[KO-WS]	EtOH	17	74.8602952941	74.18471
TH	Fig4b_Q10	Q10	iPLA2-VIA[KO-WS]	Q10	14	74.4969028571	71.178225
TH	Fig4b_Q10	Q10	gba[KO]	EtOH	12	63.5695425	61.12463
TH	Fig4b_Q10	Q10	gba[KO]	Q10	11	60.6196381818	65.10741
TH	Fig4b_Q10	Q10	Rab39[KO-WS/y]	EtOH	15	73.2950086667	76.6248
TH	Fig4b_Q10	Q10	Rab39[KO-WS/y]	Q10	15	75.0484186667	76.09401
TH	Fig4b_Q10	Q10	DJ-1a/b[KO-WS]	EtOH	22	78.4980277273	72.239875
TH	Fig4b_Q10	Q10	DJ-1a/b[KO-WS]	Q10	21	78.5697533333	75.60422
TH	Fig4b_Q10	Q10	Vps13[KO-WS/+]	EtOH	19	75.2727305263	74.38229
TH	Fig4b_Q10	Q10	Vps13[KO-WS/+]	Q10	16	80.113828125	71.60345
TH	Fig4b_Q10	Q10	Tango14[KO-WS/+]	EtOH	19	71.6666568421	69.74362
TH	Fig4b_Q10	Q10	Tango14[KO-WS/+]	Q10	15	55.005874	50.6345
TH	Fig4b_Q10	Q10	Synj[KO-WS/+]	EtOH	17	73.55872	78.74521
TH	Fig4b_Q10	Q10	Synj[KO-WS/+]	Q10	20	83.1619685	85.839825
TH	Fig4b_Q10	Q10	omi[KO-WS]	EtOH	13	76.0981823077	70.94247
TH	Fig4b_Q10	Q10	omi[KO-WS]	Q10	5	67.847746	67.22248
TH	Fig4b_Q10	Q10	park1/Δ21	EtOH	15	59.4643866667	60.24675
TH	Fig4b_Q10	Q10	park1/Δ21	Q10	12	101.709780833	107.41535
TH	Fig4d_R55	R55	control	H2O	192	99.7408966146	101.17365
TH	Fig4d_R55	R55	control	R55	187	103.149061818	101.7789
TH	Fig4d_R55	R55	anne[KO-WS/+]	H2O	14	74.8403178571	81.146885
TH	Fig4d_R55	R55	anne[KO-WS/+]	R55	17	74.1339682353	80.07587
TH	Fig4d_R55	R55	auxilin[KO-WS/+]	H2O	10	63.914564	69.75048
TH	Fig4d_R55	R55	auxilin[KO-WS/+]	R55	10	62.108249	59.40694
TH	Fig4d_R55	R55	Pink1[KO-WS/y]	H2O	13	67.8269784615	64.92736
