interaction_genotype	park1	Chchd2[KO-WS/y]	Pink1[KO-WS/y]	auxilin[KO-WS/+]	nutcracker[KO-WS/+]	anne[KO-WS/+]	Coq2[KO-WS/+]	Gdh[KO-WS/+]	Lrrk[KO-WS/+]	VAC14[KO-WS/+]	VhaM8.9[KO-WS/+]	Punch[KO-WS/+]	Rme-8[KO-WS/+]	eIF4G[KO-WS/+]	loqs[KO-WS/+]	omi[KO-WS/+]	Vps13[KO-WS/+]	Vps35[KO-WS/+]	Synj[KO-WS/+]	Tango14[KO-WS/+]	DJ-1a/b[KO-WS/+]	iPLA2-VIA[KO-WS/+]	Rab39[KO-WS/y]	gba[KO-w+/+]
park1	0	-0.415480889	-0.456385768	-0.299375663	-0.129819059	-0.382318515	0.078025725	-0.060882508	-0.101015336	0.298519258	-0.083995521	-0.183686481	-0.013509933	-0.140099389	0.350603879	-0.601232033	-0.199254998	-0.322297659	0.222211436	-0.045984921	-0.057111578	0.138069813	-0.286685243	0.113187665
Chchd2[KO-WS/y]	-0.415480889	0	-0.261258015	-0.039108184	-0.255569846	-0.00991346	0.02656359	-0.125464272	0.178963626	0.018074085	0.166733497	-0.52372143	0.217687917	0.196444385	0.375904394	-0.287285294	0.163960609	-0.319729319	0.161382011	-0.103479816	0.084034719	-0.082085185	-0.144960911	0.001286476
Pink1[KO-WS/y]	-0.456385768	-0.261258015	0	0.137209217	-0.407083957	0.03682509	0.261520048	-0.213313181	-0.188243294	0.484313224	0.36298124	-0.750191582	-0.086921796	0.206307207	0.358694907	-0.034185141	0.003122501	-0.39704055	-0.059745326	-0.194562181	0.083825749	-0.155994338	-0.208938438	-0.184008472
auxilin[KO-WS/+]	-0.299375663	-0.039108184	0.137209217	0	-0.222622435	0.22321571	0.043279433	0.026569063	0.299532563	1.066375909	0.28078805	-0.603772074	0.302618036	0.411281571	0.125536997	-0.000107925	0.132070554	-0.352854251	0.263533517	0.253413205	0.081448854	0.132144612	0.135343605	-0.091845496
nutcracker[KO-WS/+]	-0.129819059	-0.255569846	-0.407083957	-0.222622435	0	0.241580473	0.460700239	-0.117431238	0.390856743	0.179226232	0.257711711	-0.633972872	0.226684104	0.570680033	0.615431423	-0.448629357	0.057247407	-0.415972455	0.526832354	-0.147945407	0.231925272	0.134155556	-0.191355626	0.315002597
anne[KO-WS/+]	-0.382318515	-0.00991346	0.03682509	0.22321571	0.241580473	0	0.099439131	0.129849778	0.198292609	0.1613059	0.141737206	-0.132603613	0.243239405	0.075443138	1.002152346	-0.10627985	0.295009946	-0.017092339	0.41220352	0.060582487	0.237637147	0.033799891	0.20664872	0.2141516
Coq2[KO-WS/+]	0.078025725	0.02656359	0.261520048	0.043279433	0.460700239	0.099439131	0	0.149862836	0.305564772	0.87018957	0.258115321	-0.10394974	0.343264651	0.539231917	1.181876757	0.522814159	0.13924753	0.147894212	0.380498575	0.439252929	0.425429022	0.399022223	0.151669751	0.63330929
Gdh[KO-WS/+]	-0.060882508	-0.125464272	-0.213313181	0.026569063	-0.117431238	0.129849778	0.149862836	0	-0.015107825	0.297833324	0.360785605	-0.332286777	0.491290171	0.109494963	0.359396719	-0.296837669	0.041342749	-0.362644018	0.194705155	0.056446423	0.303113039	0.107092399	-0.045985407	-0.048095867
Lrrk[KO-WS/+]	-0.101015336	0.178963626	-0.188243294	0.299532563	0.390856743	0.198292609	0.305564772	-0.015107825	0	0.508129251	0.480013434	-0.121253241	0.332287656	0.095159332	0.461335722	-0.122625102	0.108618794	-0.35026558	0.270916282	0.246180552	0.386834519	0.346055312	0.121410239	0.399855878
VAC14[KO-WS/+]	0.298519258	0.018074085	0.484313224	1.066375909	0.179226232	0.1613059	0.87018957	0.297833324	0.508129251	0	0.522506364	0.180301913	0.91585602	0.166366411	0.700623595	0.053585491	0.214545396	-0.02685615	0.505856379	0.338109889	0.287638617	0.545938246	0.107788481	0.453847328
