permutation	T
1	-0.27176173725
2	-0.00106681143676
3	-0.0410903925533
4	0.00693533200254
5	-0.0528629684033
6	-0.170619330769
7	0.0027907882429
8	-0.18525627887
9	-0.0506246395001
10	-0.0843657556002
11	0.0733964627237
12	-0.155627091901
13	-0.156167869772
14	-0.223031802454
15	-0.0365521240019
16	-0.273154216571
17	-0.132369870192
18	-0.332634501976
19	-0.201078873043
20	-0.0562972965544
21	-0.480367259793
22	-0.0151907958601
23	-0.351780056572
24	-0.387897393082
25	-0.187771830194
26	-0.165432836813
27	0.167009126246
28	0.0613961161674
29	-0.456429485697
30	0.0326302010804
31	-0.0695424468792
32	-0.201742286543
33	-0.187366043387
34	-0.182166981878
35	-0.172665030837
36	-0.0499836593309
37	-0.157275481784
38	-0.161793992305
39	-0.0462351642011
40	-0.0246591493754
41	-0.20610070796
42	-0.0711791510091
43	0.0168763903042
44	-0.319359899217
45	-0.120671566313
46	-0.128539131988
47	-0.390639069083
48	-0.0867428558376
49	0.0878943100582
50	-0.183693364528
51	-0.136633599864
52	-0.00503831928771
53	-0.0136214193518
54	0.0395715844043
55	-0.0515675726444
56	0.113174971631
57	-0.059071321248
58	-0.0691942422051
59	-0.12270101541
60	-0.128394748391
61	-0.12997971425
62	-0.07682724531
63	-0.10252888036
64	0.0223584619617
65	-0.16781373509
66	-0.135825404496
67	0.00726279023735
68	-0.0379150939293
69	-0.230134153249
70	-0.25059793163
71	-0.0905599534493
72	0.0260777790976
73	-0.137487980701
74	-0.202029694297
75	-0.136765441354
76	-0.161671687786
77	-0.271748661079
78	0.0230460528107
79	-0.0604685319293
80	-0.1415188842
81	-0.0769289769957
82	-0.219802636301
83	-0.22686712107
84	-0.156601187848
85	-0.0377962767421
86	-0.0397409849288
87	-0.276447806156
88	-0.205438011923
89	-0.0871142452649
90	-0.0220507469955
91	-0.0354634076652
92	-0.226139025162
93	0.00853087621792
94	-0.091389753704
95	-0.443203460207
96	-0.121681310245
97	0.0531926948321
98	-0.0258464501477
99	-0.250371690554
100	-0.125853289835
101	0.0106134657156
102	-0.21740171629
103	-0.145839638053
104	-0.424789858587
105	-0.0328828647442
106	-0.600601461063
107	-0.229700654828
108	-0.199796681193
109	-0.0173207253869
110	-0.108424401673
111	-0.114355543674
112	-0.675924803918
113	-0.153878011739
114	-0.0798662190349
115	-0.0805274126489
116	-0.103551708558
117	-0.0544770268438
118	-0.449169867311
119	-0.164470724005
120	-0.281323865215
121	-0.262473176547
122	-0.425774447337
123	0.0240212344399
124	-0.0913726770639
125	-0.00932286571031
126	-0.101323799775
127	-0.0165834594472
128	0.0049558890898
129	-0.163380388336
130	-0.141017068011
131	-0.105143853394
132	-0.121658108957
133	-0.0893176095132
134	-0.00671032894634
135	0.0454824783754
136	-0.172827520238
137	-0.221816684015
138	-0.228525402478
139	-0.0859870287275
140	0.29575273449
141	-0.1661155039
142	-0.0577788844828
143	0.178138229278
144	-0.0722492473465
145	-0.18272268343
146	-0.380972931336
147	-0.088700979169
148	-0.20598093665
149	-0.198327002054
150	-0.138107691757
151	-0.176200837165
152	0.166781962296
153	0.0204755465464
154	0.206212624351
155	-0.0949197188003
156	-0.0375921030112
157	-0.175340064482
158	-0.0790739522088
159	-0.0878017401873
160	0.00173750387319
161	-0.321230129431
162	-0.153784415735
163	-0.251589394827
164	-0.00502984861338
165	-0.0447319151015
166	0.0371736666263
167	0.0427449195683
168	-0.173023040818
169	-0.165417402956
170	0.115661279203
171	-0.278825937748
172	0.0747857729086
173	-0.131286253148
174	-0.0865952007221
175	-0.147784208962
176	-0.146084601292
177	-0.403464106351
178	0.0136541942953
179	-0.500963753698
180	-0.232769946951
181	-0.0867550403933
182	-0.169383693988
183	0.204304591035
184	-0.0586262815702
185	-0.133436367201
186	-0.192681176433
187	-0.20644186616
188	-0.0393302956395
189	-0.0268124375402
190	-0.132560804284
191	0.0156412798648
192	-0.398401107008
193	-0.595754582186
194	0.123662280629
195	-0.0718470340709
196	-0.206661602133
197	-0.0041758388946
198	-0.0244428923956
199	0.0186757438324
200	-0.131176383323
201	-0.22038413038
202	-0.0874697490321
203	-0.280547867217
204	0.0341008458332
205	-0.11537795895
206	-0.13236631545
207	0.000582948011966
208	-0.139989185169
209	-0.116912266836
210	0.00765526883613
211	-0.173136677368
212	-0.312772689605
213	-0.12871438287
214	-0.121379867813
215	-0.137999825733
216	0.0198386822413
217	-0.143932408785
218	-0.220586662176
219	-0.162603168108
220	-0.122979436367
221	-0.120118420507
222	-0.0718120330735
223	-0.0425921047457
224	-0.246176368359
225	-0.000978122582861
226	-0.195201892634
227	-0.189450064151
228	-0.2280809579
229	-0.15222666924
230	0.129682218993
231	-0.0415720898535
232	-0.161595586001
233	-0.133180445608
234	-0.00162344147723
235	0.0347333582501
236	-0.307256332032
237	-0.0652783627637
238	-0.0266733264418
239	-0.107058055959
240	-0.0387994173681
241	-0.253784100665
242	-0.0940886923904
243	-0.104115659013
244	-0.182044661762
245	-0.253483098702
246	-0.024229451425
247	-0.099085778846
248	-0.134205960571
249	0.161705038163
250	-0.0462703094383
251	0.140446980743
252	0.00713219324308
253	-0.23697318235
254	-0.152187786483
255	-0.203612584084
256	-0.192666681636
257	-0.124428772327
258	-0.166738825451
259	-0.0944000211429
260	0.159940115682
261	0.067041800454
262	-0.224053154738
263	-0.110162671851
264	-0.394170380385
265	0.183668320401
266	-0.246300206396
267	-0.111085694075
268	-0.296849404987
269	-0.207580628017
270	0.0424420623975
271	-0.33358067103
272	-0.348331953944
273	-0.184078307511
274	-0.314443067334
275	-0.0399790562415
276	-0.126738277469
277	-0.200897191196
278	-0.230221994636
279	-0.110092862941
280	-0.140778001455
281	0.0235233080332
282	-0.162059434363
283	-0.00315688953247
284	-0.0301903367824
285	-0.0269313297791
286	-0.169556718184
287	-0.192907885756
288	-0.191422635115
289	-0.371735988742
290	0.0592238023239
291	-0.158136569489
292	-0.263570464453
293	-0.107556248195
294	0.0683403040508
295	0.0808910097086
296	-0.0921705834694
297	0.283483323033
298	-0.30697074051
299	0.00123539678288
300	-0.140343280421
301	-0.18197281173
302	-0.0615473026264
303	-0.473027481427
304	-0.0935395614532
305	-0.229559871601
306	-0.173309542879
307	-0.184480649635
308	-0.213646989914
309	-0.115637289504
310	-0.046810574201
311	-0.127873200624
312	-0.23250280408
313	0.0987302757558
314	-0.218041430893
315	-0.201341416663
316	-0.0423234882691
317	-0.0938695875843
318	-0.104874205652
319	-0.140883564649
320	-0.0410887266758
321	-0.106468236023
322	0.182978043522
323	-0.114395224777
324	-0.120976662247
325	-0.18417027586
326	-0.0987496499773
327	-0.228681697703
328	-0.220765219705
329	-0.0814242175236
330	0.0433184261545
331	-0.339112237134
332	-0.0861867861275
333	-0.0376020932525
334	0.0173685780407
335	-0.101097736187
336	-0.00299634835242
337	-0.0744221684459
338	-0.166239427668
339	0.118453865698
