assay	sheet	condition	kind	dose_M	include_flagged	n_values	median	mutant_control_median	corrected_control_median	ratio_to_mutant	control_gap_fraction
JC1	Bimiralisib	0.5μΜ	treatment	5e-07	False	10	0.965435	0.9924495	1.1646495	0.972779975203	-0.156878629501
JC1	Bimiralisib	100nM	treatment	1e-07	False	4	1.1621705	0.9924495	1.1646495	1.17101222783	0.985603948897
JC1	Bimiralisib	10nM	treatment	1e-08	False	4	0.9070185	0.9924495	1.1646495	0.913919045755	-0.496114982578
JC1	Bimiralisib	10μM	treatment	1e-05	False	10	0.5739455	0.9924495	1.1646495	0.578312045097	-2.43033681765
JC1	Bimiralisib	1μM	treatment	1e-06	False	24	0.805556	0.9924495	1.1646495	0.811684624759	-1.08532810685
JC1	Bimiralisib	2.5μΜ	treatment	2.5e-06	False	10	0.816104	0.9924495	1.1646495	0.82231287335	-1.02407375145
JC1	Bimiralisib	5μM	treatment	5e-06	False	10	0.643825	0.9924495	1.1646495	0.648723184404	-2.02453252033
JC1	Bimiralisib	GC	control	NA	False	104	1.1646495	0.9924495	1.1646495	1.17351008792	1
JC1	Bimiralisib	GC+Val	control	NA	False	50	0.146815	0.9924495	1.1646495	0.147931960266	-4.91076945412
JC1	Bimiralisib	SNCA Trpl.	control	NA	False	114	0.9924495	0.9924495	1.1646495	1	0
JC1	Chloroquine	0.5μΜ	treatment	5e-07	False	10	1.0767595	0.9924495	1.1646495	1.08495142574	0.489605110337
JC1	Chloroquine	100nM	treatment	1e-07	False	4	1.05037	0.9924495	1.1646495	1.05836115591	0.336355981417
JC1	Chloroquine	10nM	treatment	1e-08	False	4	1.055366	0.9924495	1.1646495	1.06339516519	0.365368757259
JC1	Chloroquine	10μM	treatment	1e-05	False	15	0.446353	0.9924495	1.1646495	0.44974882853	-3.17129210221
JC1	Chloroquine	1μM	treatment	1e-06	False	29	1.023418	0.9924495	1.1646495	1.03120410661	0.179840301974
JC1	Chloroquine	2.5μΜ	treatment	2.5e-06	False	10	1.0328685	0.9924495	1.1646495	1.04072650548	0.234721254355
JC1	Chloroquine	5μM	treatment	5e-06	False	15	0.940786	0.9924495	1.1646495	0.947943446997	-0.300020325203
JC1	Chloroquine	GC	control	NA	False	104	1.1646495	0.9924495	1.1646495	1.17351008792	1
JC1	Chloroquine	GC+Val	control	NA	False	50	0.146815	0.9924495	1.1646495	0.147931960266	-4.91076945412
JC1	Chloroquine	SNCA Trpl.	control	NA	False	114	0.9924495	0.9924495	1.1646495	1	0
JC1	Duloxetine	0.5μΜ	treatment	5e-07	False	10	1.0844835	0.9942915	1.1646495	1.09070981699	0.529426267038
JC1	Duloxetine	100nM	treatment	1e-07	False	5	1.045404	0.9942915	1.1646495	1.05140595087	0.300029936956
JC1	Duloxetine	10nM	treatment	1e-08	False	9	1.045404	0.9942915	1.1646495	1.05140595087	0.300029936956
JC1	Duloxetine	10μM	treatment	1e-05	False	10	0.2185215	0.9942915	1.1646495	0.21977609182	-4.55376325151
JC1	Duloxetine	1μM	treatment	1e-06	False	24	0.917123	0.9942915	1.1646495	0.922388454492	-0.452978433651
JC1	Duloxetine	2.5μΜ	treatment	2.5e-06	False	10	0.727704	0.9942915	1.1646495	0.731881948101	-1.5648663403
JC1	Duloxetine	5μM	treatment	5e-06	False	10	0.650364	0.9942915	1.1646495	0.654097917965	-2.01885147748
JC1	Duloxetine	GC	control	NA	False	104	1.1646495	0.9942915	1.1646495	1.17133607197	1
JC1	Duloxetine	GC+Val	control	NA	False	50	0.146815	0.9942915	1.1646495	0.147657905152	-4.97467979197
