dataset	Plate	control_group	n_wells	mean_alpha_score	mean_multivariate_score
control	Mat67-PD-SCP-01	Corrected vehicle	12	0.478216154462	0.558031903235
control	Mat67-PD-SCP-01	Mutant vehicle	12	0.0186358951537	0.0219138468327
control	Mat67-PD-SCP-01	Prostratin	12	0.328657464357	0.197617513083
control	Mat67-PD-SCP-02	Corrected vehicle	12	1.10104796027	1.10692272935
control	Mat67-PD-SCP-02	Mutant vehicle	12	-0.0515860769444	-0.0784332695192
control	Mat67-PD-SCP-02	Prostratin	12	0.591769400602	0.464084613315
control	Mat67-PD-SCP-03	Corrected vehicle	12	1.35162554231	1.24900003603
control	Mat67-PD-SCP-03	Mutant vehicle	12	-0.00675010873373	-0.00263116145014
control	Mat67-PD-SCP-03	Prostratin	12	0.779988807454	0.599570496122
control	Mat67-PD-SCP-04	Corrected vehicle	12	1.06911034295	1.08604533139
control	Mat67-PD-SCP-04	Mutant vehicle	12	0.0397002905245	0.0591505841366
control	Mat67-PD-SCP-04	Prostratin	12	0.616604159116	0.471964804193
screen	PD-SC1-01	Corrected vehicle	12	0.811312702577	0.948057773273
screen	PD-SC1-01	Mutant vehicle	12	-0.0840986342112	-0.118332469317
screen	PD-SC1-01	Prostratin	12	0.285011855878	0.201467811805
screen	PD-SC1-02	Corrected vehicle	12	0.991440213517	1.06592191668
screen	PD-SC1-02	Mutant vehicle	12	-0.0543721840774	-0.0844416491582
screen	PD-SC1-02	Prostratin	12	0.323966308969	0.325511836582
screen	PD-SC1-03	Corrected vehicle	12	1.58044236493	1.62107106384
screen	PD-SC1-03	Mutant vehicle	12	-0.0359087629469	-0.0587406589204
screen	PD-SC1-03	Prostratin	12	0.286102779062	0.223998668001
screen	PD-SC1-04	Corrected vehicle	12	0.858460677995	1.12435192411
screen	PD-SC1-04	Mutant vehicle	12	-0.0320269301295	-0.0151502647526
screen	PD-SC1-04	Prostratin	12	0.222442699466	0.117276551994
screen	PD-SC2-01	Corrected vehicle	12	0.405096326976	0.577016855374
screen	PD-SC2-01	Mutant vehicle	12	0.0647311923366	0.101155811692
screen	PD-SC2-01	Prostratin	12	0.266189656271	0.327642904049
screen	PD-SC2-02	Corrected vehicle	12	0.302633651806	0.249175352682
screen	PD-SC2-02	Mutant vehicle	12	-0.00826621093262	0.0223989915439
screen	PD-SC2-02	Prostratin	12	0.0558375333296	0.0285755186252
screen	PD-SC2-03	Corrected vehicle	12	0.500791030099	0.411831571063
screen	PD-SC2-03	Mutant vehicle	12	-0.0209939179989	-0.0255645095489
screen	PD-SC2-03	Prostratin	12	0.143284517311	0.183638384942
screen	PD-SC2-04	Corrected vehicle	12	1.15118087245	1.07545640191
screen	PD-SC2-04	Mutant vehicle	12	0.0273914230909	0.0249666124714
screen	PD-SC2-04	Prostratin	12	0.269743013783	0.309903004929
screen	PD-SC3-01	Corrected vehicle	12	0.806766451118	0.677863127127
screen	PD-SC3-01	Mutant vehicle	12	0.0286394305462	0.0226473061939
screen	PD-SC3-01	Prostratin	12	0.244984777893	0.307901244953
screen	PD-SC3-02	Corrected vehicle	12	0.639028491009	0.569124184415
screen	PD-SC3-02	Mutant vehicle	12	-0.109412572439	-0.0664202411929
screen	PD-SC3-02	Prostratin	12	0.0748748617388	0.175491815484
screen	PD-SC3-03	Corrected vehicle	12	0.461085246543	0.381204067687
screen	PD-SC3-03	Mutant vehicle	12	-0.0492021379346	-0.0510738611659
screen	PD-SC3-03	Prostratin	12	0.0841600762515	0.114735974376
screen	PD-SC3-04	Corrected vehicle	12	0.672343429211	0.59375393788
screen	PD-SC3-04	Mutant vehicle	12	-0.0275520574224	-0.0131428488093
screen	PD-SC3-04	Prostratin	12	0.250892826277	0.228774375671
screen	PD-SC4-01	Corrected vehicle	12	0.756279088123	0.900307087924
screen	PD-SC4-01	Mutant vehicle	12	-0.0685987326988	-0.067200032062
screen	PD-SC4-01	Prostratin	12	0.222672878726	0.147885297002
screen	PD-SC4-02	Corrected vehicle	12	0.874581475193	0.985587027473
screen	PD-SC4-02	Mutant vehicle	12	-0.0931230173566	-0.097123169323
screen	PD-SC4-02	Prostratin	12	0.213088465537	0.157740700283
screen	PD-SC4-03	Corrected vehicle	12	1.38647876779	1.41186868291
screen	PD-SC4-03	Mutant vehicle	12	-0.0304148604934	-0.0389211422803
screen	PD-SC4-03	Prostratin	12	0.300621365395	0.184545436338
screen	PD-SC4-04	Corrected vehicle	12	0.965318073868	1.01047765431
screen	PD-SC4-04	Mutant vehicle	12	-0.000143691794559	0.000970131959933
screen	PD-SC4-04	Prostratin	12	0.290214613115	0.316748746643
screen	PD-SC5-01	Corrected vehicle	12	1.57716554564	1.6783196514
screen	PD-SC5-01	Mutant vehicle	12	-0.0181316217725	-0.0193219551865
screen	PD-SC5-01	Prostratin	12	0.518065785832	0.600835829204
screen	PD-SC5-02	Corrected vehicle	12	1.41290725447	1.5235610313
screen	PD-SC5-02	Mutant vehicle	12	-0.00307360882162	0.00827732381151
screen	PD-SC5-02	Prostratin	12	0.121703428111	0.108945497408
screen	PD-SC5-03	Corrected vehicle	12	0.91173346086	1.19714488944
screen	PD-SC5-03	Mutant vehicle	12	-0.0212642949631	0.0178397915379
screen	PD-SC5-03	Prostratin	12	0.237414327229	0.278532910375
screen	PD-SC5-04	Corrected vehicle	12	0.781773358183	0.950518907482
screen	PD-SC5-04	Mutant vehicle	12	-0.0494632914399	-0.0320044473028
screen	PD-SC5-04	Prostratin	12	0.174346596989	-0.00698397198235
followup	PD-SCD-01	Corrected vehicle	12	0.0165120439428	-0.126196110369
followup	PD-SCD-01	Mutant vehicle	11	-0.0914256209123	-0.0811084329549
followup	PD-SCD-01	Prostratin	10	0.0662542351924	-0.0684718170054
followup	PD-SCD-02	Corrected vehicle	12	0.379632517969	0.220242501032
followup	PD-SCD-02	Mutant vehicle	12	-0.0301303376278	-0.0216549646397
followup	PD-SCD-02	Prostratin	10	0.141541016677	0.00782672780875
followup	PD-SCD-03	Corrected vehicle	12	0.166750988971	0.0626004230583
followup	PD-SCD-03	Mutant vehicle	12	0.00861363800191	0.036278333359
followup	PD-SCD-03	Prostratin	12	0.189063670618	0.173323898316
followup	PD-SCD-04	Corrected vehicle	12	0.252310961598	0.217978887658
followup	PD-SCD-04	Mutant vehicle	12	-0.0306910592627	-0.0646016250019
followup	PD-SCD-04	Prostratin	12	0.17899747028	0.152079861174
