biochemical_sheet	imaging_name	join	SC_cat	imaging_dose_M	alpha_score	multivariate_score	joint_response_0_8	joint_fraction_0_8	living_nuclei_ratio	ROS_ratio_to_mutant	ROS_n_values	JC1_ratio_to_mutant	JC1_n_values
Bimiralisib	Bimiralisib	exact_name	S8738	1.03e-06	-0.0682875546925	-0.149731788192	False	0	0.901536809797	0.780265716698	14	0.811684624759	24
Chloroquine	Chloroquine Phosphate	inferred_spelling_or_salt	S4157	1.03e-06	-0.124053523012	-0.0369513630847	False	0	0.977297086205	1.32262469783	14	1.03120410661	29
Duloxetine	Duloxetine	exact_name	S5071	1.03e-06	-0.222924854692	-0.0612439233726	False	0	0.94266848503	0.976444146094	14	0.922388454492	24
Entinostat	Entinostat	exact_name	S1053	1.03e-06	-0.277031578048	-0.343270893492	False	0	1.18147164622	0.986191703179	14	0.958836696477	24
FCCP	FCCP	exact_name	S8276	1.03e-06	-0.169535485301	-0.188818664171	False	0	0.922850561958	0.630214859195	13	0.388349230868	24
Lonafarnib	Lonafarnib	exact_name	S2797	1.03e-06	-0.290702092122	-0.271821611493	False	0	1.08719840967	0.987944597026	14	0.812257449875	20
PIK-III	PIK-III	exact_name	S7683	1.03e-06	-0.124300793816	-0.0571546517752	False	0	0.965609742514	1.06974421375	14	0.904235429611	23
RG2833	RG2833	exact_name	S7292	1.03e-06	-0.00800514513679	-0.219662481916	False	0	0.945446871616	0.992852699797	13	0.915433984298	23
SLK2001	SKL2001	inferred_spelling_or_salt	S8320	1.03e-06	-0.202828705372	-0.167892363776	False	0	0.935296101423	0.854867201915	14	0.937130806152	24
STF-62247	STF-62247	exact_name	S1041	1.03e-06	-0.0483346468308	0.034182714763	False	0	0.975921663026	1.26925130733	14	1.05438503722	22
Sertraline	Sertraline HCl	inferred_spelling_or_salt	S4053	1.03e-06	-0.0332646213413	-0.00410377758764	False	0	0.992966397853	1.01322399887	14	0.894347772859	24
Simvastatin	Simvastatin	exact_name	S1792	1.03e-06	-0.611765336555	-0.573923068836	False	0	0.892313381744	0.983245583834	14	0.924974520114	24
TIC10	TIC10	UNMATCHED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tinostamustine	Tinostamustine	exact_name	S8769	1.03e-06	-0.537594435574	-0.347572969004	False	0	0.913950073825	0.974462249374	14	0.754404128371	23
Trifluoperazine	Trifluoperazine	exact_name	S5856	1.03e-06	-0.292905980326	-0.210828351658	False	0	0.970437250163	1.28730690001	14	0.982663924668	25
Tyrphostatin 9	Tyrphostin 9	inferred_spelling_or_salt	S2895	1.03e-06	0.0309203410045	0.198244233169	False	0	0.893961575763	0.654346626505	13	0.360157567806	24
UNC2025	UNC2025	exact_name	S7576	1.03e-06	-0.438141346325	-0.744174259883	False	0	0.807770754227	0.904053560471	14	0.905678324187	23
VPS34 inhibitor 1	VPS34 inhibitor 1	exact_name	S8456	1.03e-06	-0.335409967375	-0.504062685833	False	0	0.979750726566	0.945403514067	14	0.865493407977	24
Vorinostat	Vorinostat	exact_name	S1047	1.03e-06	-0.672939885808	-0.602227313602	False	0	1.0666374014	0.974118483047	14	0.829888069872	24
WAY-600	WAY-600	exact_name	S2689	1.03e-06	-0.0902006035939	-0.0598024411289	False	0	1.00420789475	0.793606051126	14	0.876738153531	24
