SC_cat	dose_M	compound_name	available_wells	valid_wells	plates	eligible	alpha_score	multivariate_score	alpha_fraction	alpha_response	integrity_fraction_0.8	viability_fraction_0.8	joint_fraction_0.8	joint_response_0.8	integrity_fraction_0.7	viability_fraction_0.7	joint_fraction_0.7	joint_response_0.7	integrity_fraction_0.9	viability_fraction_0.9	joint_fraction_0.9	joint_response_0.9	IndividualCell_Intensity_MeanIntensity_SNCA_standardized	Cell_Neurites_LengthPerNuclei_MAP2_standardized	Cell_Neurites_LengthPerNuclei_TH_standardized	Cell_Intensity_MeanIntensity_TH_standardized	Nuclei_Number_Living_standardized	Nuclei_Ratio_Living_standardized	Nuclei_Number_Living_ratio
P3150	2.56e-07	WAY-657095	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.161006113598	-0.146772777322	0.25	False	0	0.5	0	False	0	1	0	False	0	0.5	0	False	0.650784386368	-0.634707629319	-1.50100052072	0.395963202246	-0.735982878212	0.0248595258544	0.946559111645
P3150	5.13e-07	WAY-657095	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0186235100215	-0.0208073804122	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0	0.25	0	False	-0.0324924175806	-0.598549175603	-1.00855322717	0.330573450949	0.438284308461	-0.402723822665	1.03393456641
P3150	1.03e-06	WAY-657095	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.109623767742	-0.0293198191802	0	False	0	0.5	0	False	0	0.5	0	False	0	0.5	0	False	0.404206755578	-0.429857867621	-1.06433025802	-0.236408233745	-1.22627603101	-0.339711321443	0.909684449147
P3150	5.13e-06	WAY-657095	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.170170064483	-0.058961051272	0	False	0.25	1	0	False	0.25	1	0	False	0.25	0.75	0	False	0.694761072527	-0.474359419705	-1.96992713101	-0.0220580746724	-0.850237569424	0.666126028238	0.921621294649
P3150	1.03e-05	WAY-657095	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0342219529371	0.0666229677694	0.25	False	0	0.75	0	False	0.25	0.75	0	False	0	0.5	0	False	0.0423626135414	-0.282435866371	-1.31323028707	-1.35363301516	-0.389063977358	0.169060070122	0.960834705813
P3150	3.03e-05	WAY-657095	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.136147211447	-0.157141573297	0	False	0	0.5	0	False	0.25	0.75	0	False	0	0.5	0	False	0.531489537243	-0.555640408283	-2.02993422679	0.194220563436	0.448777484238	-0.158369424843	1.04348809655
P3180	2.56e-07	WAY-658979	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.194073476561	-0.0241498874087	0	False	0	0.75	0	False	0.25	0.75	0	False	0	0.25	0	False	0.809470640961	-0.104163123806	-1.91192704263	-0.863120051701	-1.2085742704	-0.32149807652	0.885332020886
P3180	5.13e-07	WAY-658979	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0335541990084	0.074280693129	0	False	0	0.5	0	False	0	1	0	False	0	0.25	0	False	0.039158143622	-0.440196123693	-1.65183330015	-0.300078726666	-1.21919211126	0.399353045055	0.918955225112
P3180	1.03e-06	WAY-658979	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	0.00850600756032	0.060409658371	0	False	0	0.75	0	False	0	0.75	0	False	0	0.25	0	False	-0.162683674099	-0.968629918739	-2.20714061378	-0.277967957578	-0.752791886694	0.183987402559	0.968472677638
P3180	5.13e-06	WAY-658979	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.396822291897	-0.279166744688	0	False	0	0.75	0	False	0	1	0	False	0	0.75	0	False	1.78243755593	-1.16422478463	-2.67906901573	-0.89964287846	-0.723246563325	0.466155181494	0.939471050971
P3180	1.03e-05	WAY-658979	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	0.000487117589845	0.0521536324141	0.25	False	0.25	0.75	0	False	0.25	0.75	0	False	0.25	0.75	0	False	-0.124201996053	-0.511289546191	-0.716458063913	-0.359229195844	0.691671884976	-0.0972338925904	1.05863836964
P3180	3.03e-05	WAY-658979	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0382632095042	0.231486685496	0	False	0	0.5	0	False	0	0.75	0	False	0	0.5	0	False	0.0617561124783	-0.822518575696	-0.969946901425	-1.83434211644	0.448640484018	-0.407830778993	1.04711806806
PRO	1.28e-07	Prostratin	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.229605115114	-0.326060714967	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0.979982654504	0.916421481793	-0.207772214405	0.330085897195	0.336791147665	0.469163290732	1.02747868722
PRO	3.85e-07	Prostratin	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0450159237663	-0.0640283233687	0	False	0.25	0.75	0	False	0.75	0.75	0	False	0.25	0.75	0	False	0.0941615672397	0.147460672014	-0.175915831636	-0.0385195165899	1.40050862017	0.389548864073	1.09403701107
PRO	1.03e-06	Prostratin	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	0.108473036706	0.0916522675489	0	False	0.75	0.75	0	False	0.75	1	0	False	0.5	0.75	0	False	-0.642413293163	0.450224350837	0.102758937037	0.882134635317	2.24887099849	1.22119953541	1.2140276109
PRO	5.13e-06	Prostratin	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	0.220269268317	0.181769313002	0	False	0.5	0.75	0	False	0.5	1	0	False	0.5	0.75	0	False	-1.17890981668	0.00234423971804	0.378158360964	0.534249242033	0.679311602144	0.549177648624	1.06707808973
PRO	1.01e-05	Prostratin	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0107445385505	-0.10344732755	0	False	0	1	0	False	0	1	0	False	0	1	0	False	-0.0703026437588	-0.0328371864587	-1.22372325384	1.18295508477	1.11067398083	0.580266427363	1.11228880084
PRO	3.01e-05	Prostratin	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0874007734656	-0.292995478106	0	False	0	0.75	0	False	0	0.75	0	False	0	0	0	False	0.297561307875	-0.30099879806	-2.97797753262	1.84207687966	-1.68760474243	0.391676504753	0.852824668723
S1021	2.56e-07	Dasatinib	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.204515635574	-0.892655702473	0	False	0	0	0	False	0	0	0	False	0	0	0	False	0.859581292525	0.0748868782355	-5.26989014047	6.99378297648	-4.62769295093	-2.04191202903	0.643251485655
S1021	5.13e-07	Dasatinib	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.21040686347	-0.700614551817	0	False	0	0	0	False	0	0	0	False	0	0	0	False	0.887852578954	0.880891879569	-4.07828926669	4.93514880666	-4.53221771651	-2.73274414498	0.603855841677
S1021	1.03e-06	Dasatinib	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0595058749266	-0.472510746488	0	False	0	0	0	False	0	0	0	False	0	0	0	False	0.163697081196	-0.224685990053	-3.55933079731	3.9941293793	-4.05741261705	-1.50082320021	0.677461085742
S1021	5.13e-06	Dasatinib	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0587404074636	-0.218422370411	0	False	0	0	0	False	0	0	0	False	0	0	0	False	0.160023695906	-0.310212961491	-2.90091802891	1.45750126885	-2.83038959321	-2.00733823684	0.784343460257
S1021	1.03e-05	Dasatinib	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.26189877615	-0.324320653361	0	False	0	0.25	0	False	0.25	0.25	0	False	0	0	0	False	1.13495600761	0.123162524358	-2.25051727852	0.709818323128	-2.1058523711	-1.44669434727	0.835395403254
S1021	3.03e-05	Dasatinib	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.241281263177	-0.348081593873	0	False	0.5	0	0	False	0.5	0	0	False	0.5	0	0	False	1.03601506949	2.83868342039	0.429427147966	0.320302714494	-3.39044297214	-3.10365284441	0.705352596912
S1041	2.56e-07	STF-62247	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0749920235716	-0.00539195699723	0	False	0	1	0	False	0	1	0	False	0	0.5	0	False	0.238013225767	-0.140763838784	-3.26094131862	-0.460749154509	-0.337504724861	0.323111544534	0.968546666229
S1041	5.13e-07	STF-62247	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.237515313952	-0.133820839559	0	False	0	1	0	False	0	1	0	False	0	1	0	False	1.01794273702	-0.999101755799	-2.27252456153	-0.545321949561	0.348559300045	0.530758723767	1.03056582815
S1041	1.03e-06	STF-62247	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.0483346468308	0.034182714763	0	False	0	0.75	0	False	0	1	0	False	0	0.75	0	False	0.110087715742	-0.242854091794	-1.73110571911	-0.222962576178	-0.399100776336	0.651328104302	0.975921663026
S1041	5.13e-06	STF-62247	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.279129983431	-0.267658467103	0	False	0	0.5	0	False	0.25	0.75	0	False	0	0.5	0	False	1.21764647642	0.291244270573	-0.435726355449	0.0715488549111	-0.561522461931	1.08174627474	0.948749589681
S1041	1.03e-05	STF-62247	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.330423637659	-0.440072634958	0	False	1	0.5	0	False	1	0.75	0	False	0.5	0	0	False	1.46379848687	1.03234739083	-0.151026930943	0.954827378282	-2.50251697593	-0.0295359782078	0.810105619406
S1041	3.03e-05	STF-62247	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-1.25986973933	-1.38684979548	0	False	0.5	0	0	False	0.5	0	0	False	0.5	0	0	False	5.92409732843	4.00722102398	-0.669583304893	1.77057396561	-4.67032433798	-0.442335234926	0.637524932808
S1047	2.56e-07	Vorinostat	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.418939265741	-0.244305779641	0	False	0	0.75	0	False	0	0.75	0	False	0	0.5	0	False	1.88857422447	-1.24179491083	-1.52873783723	0.114386183945	0.190360335803	-0.0356151825263	1.01260578503
S1047	5.13e-07	Vorinostat	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.402035988751	-0.133056972577	0	False	0	1	0	False	0	1	0	False	0	1	0	False	1.80745745326	-1.0757210259	-1.36142880076	-1.89912793806	-0.789794881777	0.44161786958	0.923133542482
S1047	1.03e-06	Vorinostat	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.672939885808	-0.602227313602	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0	0.75	0	False	3.10749231924	-1.38671027645	-1.46877278049	-0.0175847214268	0.753940269851	-0.00276136312996	1.0666374014
S1047	5.13e-06	Vorinostat	4	4	PD-SCD-01,PD-SCD-02,PD-SCD-03,PD-SCD-04	True	-0.515324894686	-0.309491797272	0	False	0	0	0	False	0	0.5	0	False	0	0	0	False	2.35111713939	1.02527599673	-0.436241713676	-1.69476307866	-2.61881326448	-0.433106463285	0.785515478994
