SC_cat	compound_name	AP_gain_after_removal
P3150	WAY-657095	NA
P3180	WAY-658979	NA
S1041	STF-62247	NA
S1047	Vorinostat	NA
S1053	Entinostat	NA
S1145	SNS-032	NA
S1230	Flavopiridol	NA
S1792	Simvastatin	NA
S2128	Bazedoxifene HCl	NA
S2167	Bazedoxifene Acetate	NA
S2348	Rotenone	NA
S2689	WAY-600	NA
S2797	Lonafarnib	NA
S2895	Tyrphostin 9	NA
S2934	Ensartinib dihydrochloride	NA
S4053	Sertraline HCl	NA
S4157	Chloroquine Phosphate	NA
S5071	Duloxetine	NA
S5232	Alectinib hydrochloride	NA
S5856	Trifluoperazine	NA
S7292	RG2833	NA
S7576	UNC2025	NA
S7620	GSK1324726A	NA
S7683	PIK-III	NA
S8144	Halofuginone	NA
S8276	FCCP	NA
S8320	SKL2001	NA
S8456	VPS34 inhibitor 1	NA
S8738	Bimiralisib	NA
S8769	Tinostamustine	NA
S9467	Thiothixene	NA
