Plate	feature	mutant_median	corrected_median	mutant_control_wells	corrected_control_wells	pooled_control_sd	invalid_wells	dataset
Mat67-PD-SCP-01	IndividualCell_Intensity_MeanIntensity_SNCA	714.6045	648.9865	12	12	29.3979693769	0	control
Mat67-PD-SCP-01	Cell_Neurites_LengthPerNuclei_MAP2	475.17	463.3135	12	12	84.4163348312	0	control
Mat67-PD-SCP-01	Cell_Neurites_LengthPerNuclei_TH	517.044	531.525	12	12	110.713354588	0	control
Mat67-PD-SCP-01	Cell_Intensity_MeanIntensity_TH	567.892	492.0405	12	12	52.7505342184	0	control
Mat67-PD-SCP-01	Nuclei_Number_Living	1141	1133	12	12	284.501624323	0	control
Mat67-PD-SCP-01	Nuclei_Ratio_Living	0.657441	0.6795525	12	12	0.091375062304	0	control
Mat67-PD-SCP-02	IndividualCell_Intensity_MeanIntensity_SNCA	769.1815	651.0135	12	12	20.799696998	0	control
Mat67-PD-SCP-02	Cell_Neurites_LengthPerNuclei_MAP2	490.065	445.991	12	12	45.4077723402	0	control
Mat67-PD-SCP-02	Cell_Neurites_LengthPerNuclei_TH	514.4245	576.265	12	12	53.4959151548	0	control
Mat67-PD-SCP-02	Cell_Intensity_MeanIntensity_TH	425.5605	391.3995	12	12	34.8708314808	0	control
Mat67-PD-SCP-02	Nuclei_Number_Living	1096.5	1206	12	12	111.327985945	0	control
Mat67-PD-SCP-02	Nuclei_Ratio_Living	0.667028	0.6892615	12	12	0.0327802192397	0	control
Mat67-PD-SCP-03	IndividualCell_Intensity_MeanIntensity_SNCA	795.357	666.897	12	12	19.2193574481	0	control
Mat67-PD-SCP-03	Cell_Neurites_LengthPerNuclei_MAP2	490.6145	468.127	12	12	35.7667813779	0	control
Mat67-PD-SCP-03	Cell_Neurites_LengthPerNuclei_TH	481.7985	554.002	12	12	47.6389226	0	control
Mat67-PD-SCP-03	Cell_Intensity_MeanIntensity_TH	419.705	395.93	12	12	36.0086132404	0	control
Mat67-PD-SCP-03	Nuclei_Number_Living	1109	1130.5	12	12	99.6716389253	0	control
Mat67-PD-SCP-03	Nuclei_Ratio_Living	0.6397405	0.679348	12	12	0.032507963353	0	control
Mat67-PD-SCP-04	IndividualCell_Intensity_MeanIntensity_SNCA	795.838	676.6975	12	12	22.7334390341	0	control
Mat67-PD-SCP-04	Cell_Neurites_LengthPerNuclei_MAP2	522.071	506.053	12	12	40.9718430752	0	control
Mat67-PD-SCP-04	Cell_Neurites_LengthPerNuclei_TH	465.6555	536.24	12	12	42.9398888703	0	control
Mat67-PD-SCP-04	Cell_Intensity_MeanIntensity_TH	479.269	441.401	12	12	31.3712147372	0	control
Mat67-PD-SCP-04	Nuclei_Number_Living	1146	1160	12	12	85.0079764528	0	control
Mat67-PD-SCP-04	Nuclei_Ratio_Living	0.648981	0.6939215	12	12	0.035983206036	0	control
PD-SC1-01	IndividualCell_Intensity_MeanIntensity_SNCA	763.4835	649.3735	12	12	26.9968713175	0	screen
PD-SC1-01	Cell_Neurites_LengthPerNuclei_MAP2	303.4125	216.5525	12	12	26.8080373796	0	screen
PD-SC1-01	Cell_Neurites_LengthPerNuclei_TH	236.2865	218.2495	12	12	20.3603783575	0	screen
PD-SC1-01	Cell_Intensity_MeanIntensity_TH	346.1265	317.555	12	12	21.0448698663	0	screen
PD-SC1-01	Nuclei_Number_Living	2311.5	3424	12	12	346.191918879	0	screen
PD-SC1-01	Nuclei_Ratio_Living	0.75121	0.760893	12	12	0.0283432324569	0	screen
PD-SC1-02	IndividualCell_Intensity_MeanIntensity_SNCA	816.3585	701.8695	12	12	24.0098257685	0	screen
PD-SC1-02	Cell_Neurites_LengthPerNuclei_MAP2	296.8235	224.2205	12	12	25.2383190505	0	screen
PD-SC1-02	Cell_Neurites_LengthPerNuclei_TH	229.723	221.8765	12	12	23.9133425033	0	screen
PD-SC1-02	Cell_Intensity_MeanIntensity_TH	312.3785	293.9895	12	12	17.6954204885	0	screen
PD-SC1-02	Nuclei_Number_Living	2358.5	3233.5	12	12	280.977184181	0	screen
PD-SC1-02	Nuclei_Ratio_Living	0.733615	0.760155	12	12	0.0237017979883	0	screen
PD-SC1-03	IndividualCell_Intensity_MeanIntensity_SNCA	821.667	686.2715	12	12	17.3281454308	0	screen
PD-SC1-03	Cell_Neurites_LengthPerNuclei_MAP2	289.471	230.889	12	12	21.6333893546	0	screen
PD-SC1-03	Cell_Neurites_LengthPerNuclei_TH	238.812	228.4225	12	12	16.2520596305	0	screen
PD-SC1-03	Cell_Intensity_MeanIntensity_TH	305.5815	295.5165	12	12	7.98251145236	0	screen
PD-SC1-03	Nuclei_Number_Living	2286	3185	12	12	272.72506691	0	screen
PD-SC1-03	Nuclei_Ratio_Living	0.7564145	0.7420965	12	12	0.0272891519227	0	screen
PD-SC1-04	IndividualCell_Intensity_MeanIntensity_SNCA	792.617	677.023	12	12	26.5324359328	0	screen
PD-SC1-04	Cell_Neurites_LengthPerNuclei_MAP2	301.426	231.388	12	12	21.7260045849	0	screen
PD-SC1-04	Cell_Neurites_LengthPerNuclei_TH	238.868	235.7315	12	12	15.0314328888	0	screen
PD-SC1-04	Cell_Intensity_MeanIntensity_TH	323.1785	294.509	12	12	10.4653071729	0	screen
PD-SC1-04	Nuclei_Number_Living	2461.5	3246	12	12	232.488994526	0	screen
PD-SC1-04	Nuclei_Ratio_Living	0.741016	0.7544965	12	12	0.0161453182573	0	screen
PD-SC2-01	IndividualCell_Intensity_MeanIntensity_SNCA	620.72	529.418	12	12	44.4524469769	0	screen
PD-SC2-01	Cell_Neurites_LengthPerNuclei_MAP2	147.645	127.9875	12	12	41.265421158	0	screen
PD-SC2-01	Cell_Neurites_LengthPerNuclei_TH	94.7383	65.9864	12	12	30.0511006956	0	screen
PD-SC2-01	Cell_Intensity_MeanIntensity_TH	379.013	310.5185	12	12	34.7394583624	0	screen
PD-SC2-01	Nuclei_Number_Living	2772	2575	12	12	369.924060594	0	screen
PD-SC2-01	Nuclei_Ratio_Living	0.8397255	0.9170335	12	12	0.0463239673063	0	screen
