SC_cat	dose_M	compound_name	available_wells	valid_wells	plates	eligible	alpha_score	multivariate_score	alpha_fraction	alpha_response	integrity_fraction_0.8	viability_fraction_0.8	joint_fraction_0.8	joint_response_0.8	integrity_fraction_0.7	viability_fraction_0.7	joint_fraction_0.7	joint_response_0.7	integrity_fraction_0.9	viability_fraction_0.9	joint_fraction_0.9	joint_response_0.9	IndividualCell_Intensity_MeanIntensity_SNCA_standardized	Cell_Neurites_LengthPerNuclei_MAP2_standardized	Cell_Neurites_LengthPerNuclei_TH_standardized	Cell_Intensity_MeanIntensity_TH_standardized	Nuclei_Number_Living_standardized	Nuclei_Ratio_Living_standardized	Nuclei_Number_Living_ratio
P1013	5e-06	Leuprorelin Acetate	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.0289964656145	0.124888958835	0	False	0.25	1	0	False	0.25	1	0	False	0	1	0	False	-0.261014891109	0.0505058433454	0.136207272023	-0.933996440501	-0.171948814624	0.722562181109	0.982109063292
P1061	5e-06	Nafarelin Acetate	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.111445448715	-0.0337450356645	0	False	0	1	0	False	0	1	0	False	0	1	0	False	0.412948781091	0.264015297747	-0.725781579155	-1.57534151431	0.349657488506	0.803178108796	1.03629399042
P2007	5e-06	CL-281092	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.0744532665691	0.0916694557335	0	False	0.25	0.25	0	False	0.5	0.5	0	False	0.25	0	0	False	-0.479156552336	-0.294869126374	-0.283156177826	-0.191665331368	0.858663025472	-0.961603995921	1.1032412423
P2021	5e-06	CL-416300	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.228467197736	-0.183324463322	0	False	0.75	0.75	0	False	1	0.75	0	False	0	0.75	0	False	0.974521927351	0.421989439154	0.0440996481786	-0.154640850025	0.411706037627	0.117379163987	1.04245782931
P2063	5e-06	WAY-230952	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.285163208454	-0.253761800283	0	False	0.5	0.5	0	False	0.75	0.5	0	False	0.5	0.5	0	False	1.24659918979	0.262442038506	-0.171486747277	-0.121510105697	-0.216991387324	-0.99171300655	0.979901915507
P2064	5e-06	WAY-231484	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.109958805324	-0.185954957495	0	False	0.25	1	0	False	0.25	1	0	False	0	0.75	0	False	0.405814560201	-0.585204747435	-0.254820463202	0.217195677409	0.537708320949	0.58613858372	1.05270010532
P2072	5e-06	WAY-239593	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.043858705467	0.117558576264	0	False	0.25	1	0	False	0.25	1	0	False	0.25	0.5	0	False	0.0886082173139	-0.524203570039	0.154379282751	-1.36763293927	0.253370750468	0.12988861163	1.02560551769
P2116	5e-06	WAY-299775	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.0309755332607	-0.0562250988924	0	False	0.25	0.5	0	False	0.5	0.5	0	False	0.25	0.5	0	False	-0.270512196131	0.553703143707	-0.784971259441	0.990840920603	0.0377382550015	-0.515878780886	1.00712095095
P2120	5e-06	WAY-299860	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.120548371056	-0.285667620975	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0.5	0.25	0	False	0.456632598687	0.391302746366	-0.446081001426	0.0647036547019	-0.361849501158	-0.255443996308	0.955755911154
P2141	5e-06	WAY-300424	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.160197853479	-0.175833631525	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0.25	0.75	0	False	0.646905644325	0.101887779092	0.146842582299	-0.25053036643	0.199507562676	0.7481379262	1.02244292847
P2152	5e-06	WAY-300678	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.0763478024222	0.0109592426483	0	False	0.25	0.5	0	False	0.5	0.75	0	False	0.25	0.25	0	False	0.244519443637	0.910871178886	-0.344920744052	-0.531156818392	-0.78194716238	0.0895018853652	0.90732731935
P2183	5e-06	WAY-310445	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.220350274535	-0.158146587785	0	False	0	0.75	0	False	0.25	0.75	0	False	0	0.75	0	False	0.935569799751	-0.506893312669	-1.18456919816	0.112219971103	0.364951843128	0.349122208808	1.0435390916
P2193	5e-06	WAY-311103	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.183057558288	-0.160536075437	0	False	0.5	0.5	0	False	0.75	0.5	0	False	0.5	0.5	0	False	0.756606588463	0.630241651514	0.00270170312969	0.689344317493	0.115695135178	0.0164469594102	1.01501076939
P2215	5e-06	WAY-311707	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.0624636377241	0.0516305874613	0.25	False	0.25	0.5	0	False	0.25	0.75	0	False	0.25	0.5	0	False	0.177891025262	-0.880935018475	-0.978776078741	0.0201293193053	-0.200354563411	-0.158960221202	0.975180885204
P2218	5e-06	WAY-311788	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.163402215211	-0.0830254485399	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0	0.75	0	False	-0.906011742617	-0.559325293227	-1.00346118092	1.68843874912	0.392448435571	0.79622235332	1.04643760589
P2224	5e-06	WAY-312084	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.0247050595717	-0.0501226407997	0	False	0.5	0.5	0	False	0.75	1	0	False	0.25	0.25	0	False	-0.00330780067269	2.36277385411	0.574599361025	-0.175467171447	-0.955696370905	-0.519159434413	0.883430937097
P2225	5e-06	WAY-312090	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.152611001828	0.077750038735	0	False	0	1	0	False	0	1	0	False	0	1	0	False	0.610497265646	-1.0804487025	-0.742343621645	-1.41544120105	0.504421186435	0.737938718979	1.05161258166
P2282	5e-06	WAY-323966	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	1.16002049602	0.384447688822	0.75	True	0.25	0	0	False	0.25	0	0	False	0.25	0	0	False	-5.68866170522	26.8867271798	50.0934321891	-3.2445025887	-6.48960493657	-22.6840751764	0.234673733467
P2294	5e-06	WAY-324065	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.205529214439	-0.392097567763	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0.864445334267	0.379798452991	-0.0416808374058	1.49139884698	0.518016802805	-0.0972161795036	1.05788487172
P2310	5e-06	WAY-324216	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.00546025393643	-0.00883511351173	0	False	0.25	0.75	0	False	0.5	0.75	0	False	0.25	0.5	0	False	-0.0956612831684	0.74919919725	-0.40771455222	0.126595944712	0.227224765844	-0.261390502287	1.0172667737
P2332	5e-06	WAY-324572	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.0749087418064	0.113594988896	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0	0.75	0	False	-0.481342322624	-1.1625667561	-1.53396813475	0.394030886682	0.303511669338	0.229021604508	1.036450644
P2337	5e-06	WAY-324653	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.00998255452746	0.281608466896	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0.25	0.75	0	False	-0.169769443478	0.0539328547987	0.565836492872	-1.24226357255	0.19834202671	0.278637032222	1.02329064336
P2355	5e-06	WAY-324866	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.0531289523533	0.0166818785682	0	False	0	0.25	0	False	0.25	0.25	0	False	0	0.25	0	False	-0.376823760985	-0.629998801718	-0.682226104101	0.608275049276	0.0370610987271	-0.985416431632	1.00582292998
P2365	5e-06	WAY-325006	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.121293519497	-0.0874857773475	0	False	0.5	0.5	0	False	0.5	1	0	False	0.25	0.25	0	False	0.460208475463	0.0860191953912	-0.0866767148479	-0.448199357993	0.25117720242	-0.122958873253	1.0276234366
P2380	5e-06	WAY-325354	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.114823628484	0.0322795465494	0	False	0.5	0.25	0	False	0.5	0.5	0	False	0.5	0.25	0	False	-0.67288901101	0.405150860828	-0.662866284528	0.57254956959	0.00636982236998	-1.33688733236	1.00251034593
P2388	5e-06	WAY-325415	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.0441448804855	-0.0354199916723	0	False	0.25	1	0	False	0.5	1	0	False	0	1	0	False	0.0899815364352	0.42450738189	-0.496448306184	-0.495557243092	0.239347990166	0.20996334466	1.03024028486
P2412	5e-06	WAY-325606	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.103244482893	-0.0429706632632	0	False	0.25	0.75	0	False	0.75	0.75	0	False	0.25	0.5	0	False	-0.617322099091	0.12954205026	0.280879053939	1.70065369417	-0.691537544364	0.844855232923	0.927118678026
P2422	5e-06	WAY-325680	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.0190225727128	-0.0295175414034	0	False	0.75	0.25	0	False	0.75	0.75	0	False	0.5	0.25	0	False	-0.213151391681	3.05532329037	0.0658921936754	0.390290538157	-0.752490542553	-0.360322130728	0.912432422918
P2456	5e-06	WAY-326147	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.0890861706402	-0.0329618612055	0	False	0.25	1	0	False	0.75	1	0	False	0	0.75	0	False	0.305649324008	-0.453704349531	-0.376450253717	-0.0605182929106	1.38555385508	0.720827841927	1.16015831932
P2457	5e-06	WAY-326166	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.228522077985	-0.376112064185	0	False	0.5	0.5	0	False	0.5	0.5	0	False	0.25	0.5	0	False	0.974785290994	0.180180759915	-0.654307006037	0.582682888615	0.14035947937	-0.47740559962	1.01263475458
P2464	5e-06	WAY-326275	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.0724137639126	-0.16716192924	0	False	0.75	0.75	0	False	0.75	0.75	0	False	0.5	0.75	0	False	0.225640471123	2.73788462747	1.3525272334	-0.104447430408	0.260531426178	0.663124045376	1.02513612532
P2502	5e-06	WAY-326820	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.103663452902	0.114229820606	0	False	0.5	0.25	0	False	0.5	0.25	0	False	0.5	0.25	0	False	-0.619332685224	0.160243351957	0.0703356703287	-0.144178212499	-0.0201458383273	-1.35132836671	1.0027395108
P2523	5e-06	WAY-327360	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.177350181672	-0.251642386861	0	False	0.5	0.25	0	False	0.5	0.5	0	False	0.5	0.25	0	False	0.729217581974	1.28479784613	0.0517094507672	0.980259393994	-0.39661541491	-0.462206322331	0.960594897519
P2524	5e-06	WAY-327362	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.161599515583	0.170840960391	0	False	0.5	0.5	0	False	0.5	0.5	0	False	0.25	0.5	0	False	-0.897360806274	-0.662136081431	-0.16512867552	-0.140062497527	-0.270225978107	-0.584827999283	0.966761940723
P2527	5e-06	WAY-327366	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.0462981089565	-0.0545425962618	0	False	0.25	0.5	0	False	0.25	0.75	0	False	0	0.5	0	False	0.100314618082	-0.688486469594	-0.32975154383	1.18337200679	0.293455003441	-0.405711477328	1.03420820823
P2565	5e-06	WAY-328133	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.147871850583	0.0442701881517	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0.587754655	-0.267223301757	-0.564261619062	-1.17208506164	0.146128501262	1.25587225134	1.01903172195
P2568	5e-06	WAY-328148	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.0435812941517	0.124127726334	0.25	False	0.25	0.75	0	False	0.5	0.75	0.25	False	0.25	0.5	0	False	-0.331005710062	-0.15140278751	0.0465163918232	0.709905390091	0.21589359934	0.835918483312	1.02413196785
P2589	5e-06	WAY-329606	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.16871334654	0.0697571406255	0	False	0	0.75	0	False	0.25	0.75	0	False	0	0.75	0	False	-0.931499216151	0.30723543946	-1.01218209901	0.828245136613	0.196859210107	0.659976403981	1.02475704142
P2601	5e-06	WAY-330022	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.114743792192	0.057647215807	0	False	0.25	1	0	False	0.5	1	0	False	0	1	0	False	-0.672505886354	-0.115100096682	-0.197534733366	0.818403752354	0.375937255628	0.12476274485	1.0414172231
