gene_target	source	predicted_group	n	group
Adarb1	mouse11	005 L4-5 IT CTX Glut	4	0
Adarb1	mouse11	008 L2-3 IT ENT PPP RSP Glut	2	1
Adarb1	mouse11	009 L2-3 IT PIR AON ENT Glut	2	2
Adarb1	mouse11	012 MEA LA CA1 DG Glut	4	3
Adarb1	mouse11	017 CA3 CA2-FC DG Glut	1	4
Adarb1	mouse11	022 L5 ET CTX Glut	5	5
Adarb1	mouse11	027 NP-CT-L6b-OB Glut	3	6
Adarb1	mouse11	046 CTX-CGE GABA	3	7
Adarb1	mouse11	052 Pvalb Gaba	1	8
Adarb1	mouse11	053 Sst Gaba	2	9
Adarb1	mouse11	054 CNU-MGE GABA	2	10
Adarb1	mouse11	059 CNU-LGE LSX GABA	2	11
Adarb1	mouse11	066 CNU-HYa HY GABA	6	12
Adarb1	mouse11	110 CNU-HYa HY MM Glut	1	13
Adarb1	mouse11	145 MH-LH TH Glut	3	14
Adarb1	mouse11	151 TH Prkcd Grin2c Glut	4	15
Adarb1	mouse11	155 MB Glut	2	16
Adarb1	mouse11	191 MB P MY GABA	2	17
Adarb1	mouse11	308 CB GABA	3	18
Adarb1	mouse12	001 L5-6 IT Glut	2	19
Adarb1	mouse12	005 L4-5 IT CTX Glut	2	20
Adarb1	mouse12	008 L2-3 IT ENT PPP RSP Glut	2	21
Adarb1	mouse12	009 L2-3 IT PIR AON ENT Glut	2	22
Adarb1	mouse12	012 MEA LA CA1 DG Glut	2	23
Adarb1	mouse12	017 CA3 CA2-FC DG Glut	1	24
Adarb1	mouse12	022 L5 ET CTX Glut	1	25
Adarb1	mouse12	027 NP-CT-L6b-OB Glut	1	26
Adarb1	mouse12	046 CTX-CGE GABA	4	27
Adarb1	mouse12	052 Pvalb Gaba	4	28
Adarb1	mouse12	053 Sst Gaba	2	29
Adarb1	mouse12	066 CNU-HYa HY GABA	1	30
Adarb1	mouse12	110 CNU-HYa HY MM Glut	2	31
Adarb1	mouse12	145 MH-LH TH Glut	2	32
Adarb1	mouse12	155 MB Glut	3	33
Adarb1	mouse12	191 MB P MY GABA	2	34
Adarb1	mouse12	308 CB GABA	1	35
Adarb1	mouse13	005 L4-5 IT CTX Glut	3	36
Adarb1	mouse13	007 L2-3 IT CTX Glut	1	37
Adarb1	mouse13	008 L2-3 IT ENT PPP RSP Glut	1	38
Adarb1	mouse13	009 L2-3 IT PIR AON ENT Glut	2	39
Adarb1	mouse13	012 MEA LA CA1 DG Glut	1	40
Adarb1	mouse13	017 CA3 CA2-FC DG Glut	1	41
Adarb1	mouse13	022 L5 ET CTX Glut	1	42
Adarb1	mouse13	027 NP-CT-L6b-OB Glut	2	43
Adarb1	mouse13	046 CTX-CGE GABA	3	44
Adarb1	mouse13	052 Pvalb Gaba	3	45
Adarb1	mouse13	054 CNU-MGE GABA	1	46
Adarb1	mouse13	059 CNU-LGE LSX GABA	1	47
Adarb1	mouse13	066 CNU-HYa HY GABA	1	48
Adarb1	mouse13	110 CNU-HYa HY MM Glut	1	49
Adarb1	mouse13	155 MB Glut	1	50
Adarb1	mouse13	191 MB P MY GABA	1	51
Adarb1	mouse13	308 CB GABA	1	52
Adarb1	mouse15	005 L4-5 IT CTX Glut	2	53
Adarb1	mouse15	007 L2-3 IT CTX Glut	1	54
Adarb1	mouse15	009 L2-3 IT PIR AON ENT Glut	1	55
Adarb1	mouse15	012 MEA LA CA1 DG Glut	1	56
Adarb1	mouse15	017 CA3 CA2-FC DG Glut	1	57
Adarb1	mouse15	046 CTX-CGE GABA	1	58
Adarb1	mouse15	052 Pvalb Gaba	2	59
Adarb1	mouse15	053 Sst Gaba	1	60
Adarb1	mouse15	054 CNU-MGE GABA	2	61
Adarb1	mouse15	110 CNU-HYa HY MM Glut	4	62
Adarb1	mouse15	145 MH-LH TH Glut	2	63
Adarb1	mouse15	151 TH Prkcd Grin2c Glut	1	64
Adarb1	mouse15	155 MB Glut	6	65
Adarb1	mouse15	191 MB P MY GABA	3	66
Adarb1	mouse17	001 L5-6 IT Glut	1	67
Adarb1	mouse17	005 L4-5 IT CTX Glut	1	68
Adarb1	mouse17	008 L2-3 IT ENT PPP RSP Glut	1	69
Adarb1	mouse17	009 L2-3 IT PIR AON ENT Glut	2	70
Adarb1	mouse17	017 CA3 CA2-FC DG Glut	2	71
Adarb1	mouse17	027 NP-CT-L6b-OB Glut	1	72
Adarb1	mouse17	046 CTX-CGE GABA	1	73
