target	mouse	original_cells	retained_cells	primary	litter	role	difference	target_cells
Adarb1	mouse11	52	52	True	3	comparator	-0.00279314810509	52
Adarb1	mouse12	34	34	True	3	comparator	0.0199675641678	34
Adarb1	mouse13	25	25	True	3	comparator	0.0061558298692	25
Adarb1	mouse15	28	28	True	3	comparator	0.0147955615775	28
Adarb1	mouse17	22	22	True	3	comparator	-0.011784735308	22
Adarb1	mouse18	44	44	True	4	comparator	-0.0113679844491	44
Adarb1	mouse19	22	22	True	4	comparator	-0.00191585386909	22
Adarb1	mouse20	37	37	True	4	comparator	0.00602277301676	37
Adarb1	mouse21	28	26	True	4	comparator	-0.00825576614882	26
Adarb1	mouse22	26	26	True	4	comparator	-0.000543085395533	26
Adarb1	mouse23	45	44	True	4	comparator	0.00832714843595	44
Adarb1	mouse25	20	20	True	4	comparator	0.00250845543822	20
Adarb1	mouse29	20	20	True	5	comparator	0.0051542464848	20
Adarb1	mouse31	20	20	True	5	comparator	-0.0267764823848	20
Adarb1	mouse34	25	25	True	5	comparator	-0.0149302744729	25
Adarb1	mouse36	20	20	True	5	comparator	0.0311429991832	20
Adarb1	mouse38	21	21	True	6	comparator	0.0157172641683	21
Adarb1	mouse4	20	20	True	2	comparator	-0.0145628268319	20
Adarb1	mouse44	23	23	True	6	comparator	0.00622928656845	23
Adarb1	mouse45	28	28	True	6	comparator	0.00845390129136	28
Adarb1	mouse52	40	40	True	7	comparator	0.00621628219583	40
Adarb1	mouse54	29	28	True	7	comparator	-0.0136055813149	28
Adarb1	mouse55	25	23	True	7	comparator	0.0373184000981	23
Adarb1	mouse60	54	54	True	8	comparator	0.0174522726421	54
Adarb1	mouse62	60	60	True	8	comparator	-0.00544706954144	60
Adarb1	mouse63	49	49	True	8	comparator	0.00800890803807	49
Adarb1	mouse67	38	38	True	9	comparator	-0.0216758188457	38
Adarb1	mouse68	68	67	True	9	comparator	-0.00386734132101	67
Adarb1	mouse69	33	33	True	9	comparator	-0.00164691567063	33
Adarb1	mouse7	41	41	True	2	comparator	-0.000379092483371	41
Adarb1	mouse70	34	34	True	9	comparator	0.0161267083292	34
Adarb1	mouse72	59	59	True	9	comparator	0.0109340028605	59
Adarb1	mouse73	48	48	True	9	comparator	-0.000968554961581	48
Adarb1	mouse74	27	27	True	9	comparator	-0.0139616657389	27
Adarb1	mouse75	25	25	True	9	comparator	0.0233527620097	25
Adarb1	mouse76	51	51	True	9	comparator	-0.00139332324858	51
Adarb1	mouse8	33	32	True	3	comparator	-0.0135028148142	32
Adarb1	mouse9	38	38	True	3	comparator	-0.0170531510605	38
Amfr	mouse11	22	22	True	3	comparator	-0.0102257785362	22
Amfr	mouse18	26	26	True	4	comparator	0.0305880391201	26
Amfr	mouse19	20	20	True	4	comparator	0.00856199051398	20
Amfr	mouse23	32	32	True	4	comparator	0.0157695127897	32
Amfr	mouse38	22	22	True	6	comparator	0.00345393510336	22
Amfr	mouse52	36	34	True	7	comparator	-0.0276664518917	34
Amfr	mouse55	24	24	True	7	comparator	-0.0246010086378	24
Amfr	mouse60	24	24	True	8	comparator	0.0168381225054	24
Amfr	mouse62	43	43	True	8	comparator	0.0111467689544	43
Amfr	mouse63	24	24	True	8	comparator	0.0354802182182	24
Amfr	mouse67	27	27	True	9	comparator	-0.015359891219	27
Amfr	mouse68	39	38	True	9	comparator	0.0155300706335	38
Amfr	mouse70	25	25	True	9	comparator	0.00924630790399	25
Amfr	mouse72	42	42	True	9	comparator	-0.00841762731439	42
Amfr	mouse73	24	24	True	9	comparator	0.026410508682	24
Amfr	mouse74	23	23	True	9	comparator	0.0158844636821	23
Amfr	mouse76	40	39	True	9	comparator	-0.00614967309375	39
Amfr	mouse9	30	29	True	3	comparator	-0.00603044690931	29
Ap4s1	mouse11	29	29	True	3	comparator	0.00411163595743	29
Ap4s1	mouse13	25	25	True	3	comparator	0.0150711387414	25
Ap4s1	mouse15	21	21	True	3	comparator	-0.0520876210973	21
Ap4s1	mouse18	27	27	True	4	comparator	0.00323354568909	27
Ap4s1	mouse19	22	22	True	4	comparator	0.0144233432436	22
Ap4s1	mouse20	26	26	True	4	comparator	0.00916682061873	26
Ap4s1	mouse21	31	31	True	4	comparator	-0.0137152793212	31
Ap4s1	mouse22	20	20	True	4	comparator	0.00281634383798	20
Ap4s1	mouse23	35	35	True	4	comparator	0.0231702308428	35
Ap4s1	mouse34	27	27	True	5	comparator	-0.00219364843665	27
Ap4s1	mouse4	21	21	True	2	comparator	0.0250976206658	21
Ap4s1	mouse45	20	20	True	6	comparator	-0.00866196213859	20
Ap4s1	mouse52	39	38	True	7	comparator	-0.00303934039329	38
Ap4s1	mouse55	26	26	True	7	comparator	-0.0109791401382	26
Ap4s1	mouse6	20	20	True	2	comparator	0.00756592236932	20
Ap4s1	mouse60	30	30	True	8	comparator	0.0190933058066	30
Ap4s1	mouse62	40	40	True	8	comparator	-0.00463837832414	40
Ap4s1	mouse63	43	43	True	8	comparator	-0.0170811851527	43
Ap4s1	mouse67	37	37	True	9	comparator	-0.00763156605354	37
Ap4s1	mouse68	58	58	True	9	comparator	-0.00544096783708	58
