gene	background	synapse
4930517N10Rik	True	False
A1bg	True	False
A1cf	True	False
A2m	True	False
A2ml1	True	False
A3galt2	True	False
A4galt	True	False
A4gnt	True	False
AA467197	True	False
AA986860	True	False
AB124611	True	False
AF067061	True	False
AF067063	True	False
AI182371	True	False
AI429214	True	False
AI467606	True	False
AI593442	True	False
AI597479	True	False
AI661453	True	False
AI837181	True	False
AI854703	True	False
AI987944	True	False
AK157302	True	False
AU015836	True	False
AU018091	True	False
AU021092	True	False
AU022252	True	False
AU040320	True	False
AU041133	True	False
AV320801	True	False
AW146154	True	False
AW209491	True	False
AW551984	True	False
AW554918	True	False
AW822073	True	False
AY358078	True	False
AY761185	True	False
Aaas	True	False
Aacs	True	False
Aadac	True	False
Aadacl2	True	False
Aadacl3	True	False
Aadacl4	True	False
Aadat	True	False
Aagab	True	False
Aak1	True	False
Aamdc	True	False
Aamp	True	False
Aanat	True	False
Aar2	True	False
Aard	True	False
Aars	True	False
Aarsd1	True	False
Aasdh	True	False
Aasdhppt	True	False
Aass	True	False
Aatf	True	False
Aatk	True	False
Abat	False	True
Abca1	True	False
Abca12	True	False
Abca13	True	False
Abca14	True	False
Abca15	True	False
Abca16	True	False
Abca17	True	False
Abca2	True	False
Abca3	True	False
Abca4	True	False
Abca5	True	False
Abca6	True	False
Abca7	True	False
Abca8a	True	False
Abca8b	True	False
Abca9	True	False
Abcb10	True	False
Abcb11	True	False
Abcb1a	True	False
Abcb1b	True	False
Abcb4	True	False
Abcb5	True	False
Abcb6	True	False
Abcb7	True	False
Abcb8	True	False
Abcb9	True	False
Abcc1	True	False
Abcc10	True	False
Abcc12	True	False
Abcc2	True	False
Abcc3	True	False
Abcc4	True	False
Abcc5	True	False
Abcc6	True	False
Abcc8	True	False
Abcc9	True	False
Abcd1	True	False
Abcd2	True	False
Abcd3	True	False
Abcd4	True	False
Abce1	True	False
Abcf1	True	False
Abcf2	True	False
Abcf3	True	False
Abcg1	True	False
Abcg2	True	False
Abcg3	True	False
Abcg4	True	False
Abcg5	True	False
Abcg8	True	False
Abhd10	True	False
Abhd11	True	False
Abhd12	True	False
Abhd12b	True	False
Abhd13	True	False
Abhd14a	True	False
Abhd14b	True	False
Abhd15	True	False
Abhd16a	True	False
Abhd16b	True	False
Abhd17a	True	False
Abhd17b	True	False
Abhd17c	True	False
Abhd18	True	False
Abhd2	True	False
Abhd3	True	False
Abhd4	True	False
Abhd5	True	False
Abhd6	True	False
Abhd8	True	False
Abi1	True	False
Abi2	True	False
Abi3	True	False
Abi3bp	True	False
Abitram	True	False
