Name	pathway	ES	NES	nominal_p	FDR	FWER p-val	Tag %	Gene %	leading_genes
prerank	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	-0.513709539082078	-2.2868561873018867	0.0	0.0008151475262997633	0.001	50/93	27.38%	ETF1;RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;NCBP2;RPL9;RPL31;RPL36A;RPL17;RPL27;UPF1;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;RPLP1;RPL30;RPS26;RPS21;RPS6;RPS8;RPL5;GSPT2;RPL37A;RPL27A;RPL41;RPL13
prerank	Response of EIF2AK4 (GCN2) to amino acid deficiency	-0.5072812627802372	-2.2825196416016267	0.0	0.00040757376314988166	0.001	55/97	29.67%	RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;CEBPG;RPL9;EIF2S1;RPL31;RPL36A;RPL17;RPL27;RPS24;RPL24;RPS25;EIF2S2;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;ATF3;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;TRIB3;RPL19;RPL39;FAU;RPS28;RPLP1;RPL30;RPS26;RPS21;RPS6;RPS8;RPL5;RPL37A;RPL27A;RPL41;RPL13;ATF4;CEBPB;RPS20;RPS18
prerank	Selenocysteine synthesis	-0.5133141603371111	-2.2633034976777178	0.0	0.0002717158420999211	0.001	47/89	27.38%	RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;RPL9;RPL31;RPL36A;RPL17;RPL27;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;RPLP1;RPL30;RPS26;PSTK;RPS21;RPS6;RPS8;RPL5;RPL37A;RPL27A;RPL41;RPL13
prerank	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA	-0.508643847525751	-2.2221327657329955	0.0	0.0008151475262997633	0.003	47/88	27.38%	RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;RPL9;RPL31;RPL36A;RPL17;RPL27;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;HBS1L;RPS28;RPLP1;RPL30;RPS26;RPS21;RPS6;RPS8;RPL5;RPL37A;RPL27A;RPL41;RPL13
prerank	Viral mRNA Translation	-0.5060656629160434	-2.2124313911871543	0.0	0.000978177031559716	0.005	46/86	27.38%	RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;RPL9;RPL31;RPL36A;RPL17;RPL27;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;RPLP1;RPL30;RPS26;RPS21;RPS6;RPS8;RPL5;RPL37A;RPL27A;RPL41;RPL13
prerank	Eukaryotic Translation Termination	-0.49789236427889294	-2.1924667584109336	0.0	0.000951005447349724	0.006	48/90	27.38%	ETF1;RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;RPL9;RPL31;RPL36A;RPL17;RPL27;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;RPLP1;RPL30;RPS26;RPS21;RPS6;RPS8;RPL5;GSPT2;RPL37A;RPL27A;RPL41;RPL13
prerank	Peptide chain elongation	-0.49875473957678923	-2.1870869574668714	0.0	0.0009315971729140152	0.007	46/87	27.38%	RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;RPL9;RPL31;RPL36A;RPL17;RPL27;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;RPLP1;RPL30;RPS26;RPS21;RPS6;RPS8;RPL5;RPL37A;RPL27A;RPL41;RPL13
prerank	Selenoamino acid metabolism	-0.48058516118796013	-2.1755534675928727	0.0	0.0008151475262997633	0.007	51/105	27.38%	RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;RPL9;RPL31;RPL36A;RPL17;RPL27;RPS24;CTH;RPL24;RPS25;RPL14;RPS29;AIMP1;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;EEF1E1;RPL19;RPL39;FAU;RPS28;SCLY;RPLP1;RPL30;RPS26;PSTK;RPS21;RPS6;RPS8;RPL5;RPL37A;RPL27A;RPL41;RPL13
prerank	Eukaryotic Translation Elongation	-0.489133269225913	-2.1617110548495795	0.0	0.0010868633683996844	0.011	47/91	27.38%	EEF1B2;RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;RPL9;RPL31;RPL36A;RPL17;RPL27;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;RPLP1;RPL30;RPS26;RPS21;RPS6;RPS8;RPL5;RPL37A;RPL27A;RPL41;RPL13
prerank	SRP-dependent cotranslational protein targeting to membrane	-0.47863116714717646	-2.1453426908818747	0.0	0.001222721289449645	0.014	56/107	27.38%	SRP9;RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;SEC61G;RPL9;SEC11C;RPL31;RPL36A;RPL17;SPCS2;RPL27;SEC11A;RPS24;RPL24;RPS25;SRP19;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;SRP72;SSR1;RPLP1;RPL30;RPS26;RPS21;SEC61B;RPS6;RPS8;RPL5;RPL37A;SRP14;RPL27A;RPL41;RPL13
prerank	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide	-0.4791137680329118	-2.132332392249399	0.0	0.0014079820908814095	0.017	38/98	17.52%	RPL22;RPL32;PSMC1;RPL36AL;RPL21;RPL7;RPL26L1;RPL39L;RCHY1;RPL9;RPL31;RPL36A;RPL17;RPL27;NEMF;PSMA3;RPL24;RPL14;RPL3L;PSMA7;RPL22L1;PSMA6;RPL38;RPL23;PSMB4;RPL34;RPS27A;RBX1;RPL26;PSMB7;RPL35A;PSMA2;RPL6;UBE2D2;CUL2;RPL19;RPL39;PSMC6
prerank	Regulation of expression of SLITs and ROBOs	-0.44362263307536787	-2.1188071652534273	0.0	0.0018340819341744674	0.025	55/152	18.08%	ETF1;RPL22;RPS3A;RPL32;SLIT1;PSMC1;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;NCBP2;RPL9;RPL31;RPL36A;RPL17;RPL27;SLIT2;PSMA3;RPS24;HOXA2;RPL24;RPS25;RBM8A;RPL14;RPS29;LHX3;RPS9;RPL3L;PSMA7;RPS15A;RPL22L1;MAGOH;PSMA6;RPL38;RPL23;PSMB4;RPS7;RPL34;RPS27A;RBX1;LHX9;RPL26;PSMB7;RPL35A;PSMA2;RPL6;CUL2;RPL19;COL4A5;RPL39;PSMC6;DAG1;FAU
prerank	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA	-0.47315593456848276	-2.099742108856159	0.0	0.0027589608582453532	0.037	47/94	27.38%	RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;RPL9;RPL31;RPL36A;RPL17;RPL27;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;UBE2D2;RPL19;RPL39;FAU;RPS28;RPLP1;RPL30;RPS26;RPS21;RPS6;RPS8;RPL5;RPL37A;RPL27A;RPL41;RPL13
prerank	GTP hydrolysis and joining of the 60S ribosomal subunit	-0.4614678395335505	-2.0910027458931033	0.0	0.0033770397518133057	0.05	56/109	27.38%	RPL22;RPS3A;RPL32;EIF4E;RPL36AL;RPL21;EIF3J;RPL7;EIF1AX;RPL26L1;RPS12;RPL39L;RPL9;EIF2S1;RPL31;RPL36A;RPL17;EIF3M;EIF5;RPL27;RPS24;RPL24;RPS25;EIF2S2;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;EIF4H;RPLP1;RPL30;RPS26;RPS21;EIF3L;RPS6;RPS8;RPL5;EIF3I;RPL37A;RPL27A;RPL41;RPL13
prerank	Formation of a pool of free 40S subunits	-0.4659976018920501	-2.088097067939329	0.0	0.0031519037683590853	0.05	51/99	27.38%	RPL22;RPS3A;RPL32;RPL36AL;RPL21;EIF3J;RPL7;EIF1AX;RPL26L1;RPS12;RPL39L;RPL9;RPL31;RPL36A;RPL17;EIF3M;RPL27;RPS24;RPL24;RPS25;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;RPLP1;RPL30;RPS26;RPS21;EIF3L;RPS6;RPS8;RPL5;EIF3I;RPL37A;RPL27A;RPL41;RPL13
prerank	L13a-mediated translational silencing of Ceruloplasmin expression	-0.4561259772654942	-2.0650742241679128	0.0	0.004228577792680023	0.07	55/108	27.38%	RPL22;RPS3A;RPL32;EIF4E;RPL36AL;RPL21;EIF3J;RPL7;EIF1AX;RPL26L1;RPS12;RPL39L;RPL9;EIF2S1;RPL31;RPL36A;RPL17;EIF3M;RPL27;RPS24;RPL24;RPS25;EIF2S2;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6;RPL19;RPL39;FAU;RPS28;EIF4H;RPLP1;RPL30;RPS26;RPS21;EIF3L;RPS6;RPS8;RPL5;EIF3I;RPL37A;RPL27A;RPL41;RPL13
prerank	Dengue Virus Attachment and Entry	0.5356968625487031	2.0217997952977216	0.0	0.1855024539959102	0.107	17/41	16.91%	RNASEK;GPC1;GPC2;AP2B1;AGRN;AP2S1;MAPRE3;HSPG2;LY6E;UBA1;CLDN1;PIK3R1;SDC1;AP2A1;SDC3;SDC2;HAVCR1
prerank	Nonsense-Mediated Decay (NMD)	-0.4377485150373014	-2.013953504454332	0.0	0.008830764868247437	0.152	36/113	14.54%	ETF1;RPL22;RPS3A;RPL32;RPL36AL;RPL21;RPL7;RPL26L1;RPS12;RPL39L;NCBP2;RPL9;RPL31;RPL36A;RPL17;RPL27;UPF1;RPS24;RPL24;RPS25;RBM8A;RPL14;RPS29;RPS9;RPL3L;RPS15A;RPL22L1;MAGOH;RPL38;RPL23;RPS7;RPL34;RPS27A;RPL26;RPL35A;RPL6
