probe	gene	AveExpr
A_33_P3685216	A1BG	10.29640835925
A_24_P721699	A1BG-AS1	8.32476258979167
A_23_P104224	A1CF	5.63402017879167
A_19_P00809029	A2LD1	6.49655952395833
A_23_P116898	A2M	5.223633566375
A_21_P0011082	A2MP1	3.77284882466667
A_33_P3294002	A4GALT	9.28216498295833
A_23_P58046	A4GNT	3.93339486333333
A_21_P0000678	AA06	3.75727183141667
A_23_P64799	AAAS	9.51300965829167
A_33_P3403392	AACS	8.02926904283333
A_33_P3302290	AACSP1	4.946583993
A_23_P80570	AADAC	3.62589337916667
A_33_P3307965	AADACL3	5.26914040220833
A_33_P3312601	AADACL4	4.3439848425
A_23_P253484	AADAT	8.51081180395833
A_23_P37545	AAGAB	10.5324870141667
A_33_P3289207	AAK1	7.10250167683333
A_23_P56529	AAMP	10.665036545
A_33_P3246763	AANAT	6.09825379425
A_24_P172990	AARS	9.95863446091667
A_23_P383688	AARS2	9.10683091291667
A_23_P118607	AARSD1	9.753010834875
A_24_P383076	AASDH	7.10068343666667
A_23_P202988	AASDHPPT	12.0516862283333
A_23_P8754	AASS	6.46925598854167
A_23_P89460	AATF	9.91473590745833
A_23_P10559	AATK	6.41666173175
A_33_P3504522	AATK-AS1	4.26025354591667
A_33_P3366161	ABAT	6.837603046375
A_24_P235429	ABCA1	6.5872401555
A_23_P89422	ABCA10	3.86574760120833
A_23_P92602	ABCA11P	6.906455345375
A_33_P3367984	ABCA12	4.850569761125
A_23_P43504	ABCA2	6.292780272
A_23_P140876	ABCA3	11.4421491395833
A_23_P160940	ABCA4	4.42188378866667
A_23_P78018	ABCA5	8.27943791129167
A_23_P500400	ABCA6	4.74072193066667
A_33_P3374623	ABCA7	9.95134277795833
A_23_P118615	ABCA8	3.84158106504167
A_33_P3292179	ABCA9	13.56585452
A_23_P82523	ABCB1	4.63166427020833
A_23_P201918	ABCB10	6.386728775125
A_23_P39703	ABCB11	3.44023558925
A_33_P3336760	ABCB4	4.919235373125
A_23_P111662	ABCB5	3.73886014245833
A_23_P5441	ABCB6	9.15699734825
A_23_P171258	ABCB7	8.76552584095833
A_33_P3336780	ABCB8	7.029191834875
A_23_P128094	ABCB9	6.69852039791667
A_24_P227831	ABCC1	6.74176163891667
A_23_P219013	ABCC10	7.93823992016667
A_23_P141076	ABCC11	4.63220632966667
A_24_P287766	ABCC12	4.311341643
A_23_P307570	ABCC13	3.63548342879167
A_23_P44569	ABCC2	4.10687468108333
A_23_P207507	ABCC3	3.986891923625
A_24_P16913	ABCC4	4.20624565654167
A_33_P3298062	ABCC5	9.74214440158333
A_23_P100539	ABCC6	5.90556212554167
A_23_P24774	ABCC8	8.57076625283333
A_24_P178503	ABCC9	4.70726612641667
A_33_P3224660	ABCD1	5.47215219525
A_23_P388124	ABCD2	4.32311858295833
A_33_P3307955	ABCD3	5.44587226025
