probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	contrast
A_19_P00315492	-0.066137153333333	4.67049449554167	-0.57121721705787	0.574853019078726	0.985467874641664	-4.85864837344859	Q73P46	D15_50nM_24h
A_19_P00315493	-0.0927120136666684	4.764851808875	-0.587323160909557	0.564217126261591	0.985467874641664	-4.85383844426758	LOC145474	D15_50nM_24h
A_19_P00315529	0.280554024333334	4.13207086216667	2.24855381767495	0.0371830111582191	0.981421060345715	-3.83419161736345	XLOC_008370	D15_50nM_24h
A_19_P00315543	-0.195931032999999	4.52059227920833	-0.803015256116571	0.43234896209192	0.983745048003481	-4.77752253276028	LOC100132354	D15_50nM_24h
A_19_P00315584	0.0715641196666672	7.160693190875	0.749284933237455	0.463279950501441	0.984234021808928	-4.79856318044522	LOC100130691	D15_50nM_24h
A_19_P00315627	0.0440840033333334	7.2304028465	0.389154431134744	0.701686568048927	0.988750065847809	-4.90407676879765	XLOC_L2_015098	D15_50nM_24h
A_19_P00315631	0.00270263999999987	3.95652104625	0.0236432921861747	0.981394953570809	0.99973008011121	-4.94380452938266	XLOC_L2_013734	D15_50nM_24h
A_19_P00315693	-0.047493137666665	9.52155562429167	-0.745871416941013	0.465289314207726	0.984234021808928	-4.79985527725807	TUG1	D15_50nM_24h
A_19_P00315764	-0.0996586400000004	7.79349081120833	-0.867668612328014	0.396894776659232	0.981421060345715	-4.75048159598783	LOC644277	D15_50nM_24h
A_19_P00315843	-0.214076510666665	10.5317763920833	-0.738633179211989	0.469567435442022	0.984234021808928	-4.80257733684769	SCARNA16	D15_50nM_24h
A_19_P00315905	0.124115761666668	4.11275199758333	0.616952441648997	0.544922804026454	0.984704463025962	-4.84466080902734	XLOC_004951	D15_50nM_24h
A_19_P00315956	0.00969021933333369	6.57311301995833	0.0835948447096162	0.934292997974776	0.997717611062662	-4.94210165201642	OXR1	D15_50nM_24h
A_19_P00316159	-0.0200535393333325	9.81504112483333	-0.0687886786793487	0.945909468284973	0.997717611062662	-4.94269915433632	XLOC_L2_007876	D15_50nM_24h
A_19_P00316183	-0.114639491333334	5.02116242895833	-0.71937402441471	0.481064622569405	0.984234021808928	-4.80970190659625	XLOC_L2_008434	D15_50nM_24h
A_19_P00316185	-0.0525055856666654	5.22601234495833	-0.311637638699777	0.758864651331106	0.990012017515877	-4.9183235355885	XLOC_005810	D15_50nM_24h
A_19_P00316187	0.0328697613333322	8.96975673191667	0.431971262136854	0.670846718126168	0.987412457928315	-4.89488998175967	LOC100505687	D15_50nM_24h
A_19_P00316324	-0.226004853666667	6.296737990375	-0.719419698035646	0.481037161280558	0.984234021808928	-4.80968521432485	LOC100506810	D15_50nM_24h
A_19_P00316333	-0.106172498	6.14666683616667	-1.11431923784903	0.279670632469752	0.981421060345715	-4.63095334117773	LOC100506714	D15_50nM_24h
A_19_P00316341	-0.404043337666667	4.93775210858333	-2.58185099720337	0.0187126745904418	0.981421060345715	-3.55612449992837	LOC100506860	D15_50nM_24h
A_19_P00316349	0.093183434666666	3.81893382254167	0.291483918911243	0.773983943940622	0.990012017515877	-4.92152004052254	XLOC_012034	D15_50nM_24h
A_19_P00316371	0.0488404290000002	4.246053350375	0.370321239252332	0.715426276790577	0.989674166372931	-4.90782180843742	LOC100506178	D15_50nM_24h
A_19_P00316455	-0.332030767	4.16299181066667	-2.63486120538474	0.016732846267424	0.981421060345715	-3.511198174301	P39194	D15_50nM_24h
A_19_P00316511	0.132732959666666	6.724820747375	1.67109624585343	0.111842831199015	0.981421060345715	-4.28018288113542	CCDC149	D15_50nM_24h
A_19_P00316538	-0.384225536999999	4.095568241	-1.55273001960142	0.137737904623411	0.981421060345715	-4.36273764658846	XLOC_002141	D15_50nM_24h
A_19_P00316622	-0.00851415100000086	4.60211142666667	-0.0804814940664447	0.936734469794351	0.997717611062662	-4.94223692208742	XLOC_012727	D15_50nM_24h
A_19_P00316659	-0.0334907490000003	9.86084637625	-0.367437574178987	0.717539045464379	0.989674166372931	-4.90837921250718	SNHG5	D15_50nM_24h
A_19_P00316667	-0.0487957456666672	4.069972187875	-0.517124254492607	0.611309507264035	0.985622556304198	-4.87387193547641	XLOC_006756	D15_50nM_24h
A_19_P00316670	-0.149944836999999	5.424811057125	-0.815442761695965	0.425383308883648	0.983140508198142	-4.77246956606559	XLOC_003462	D15_50nM_24h
A_19_P00316709	-0.235010201666667	5.78345226245833	-1.90919915069652	0.0721631862192299	0.981421060345715	-4.10382652327233	MAGI2-AS3	D15_50nM_24h
A_19_P00316758	-0.0558861456666655	8.97990575920833	-0.580457119928211	0.568738683043292	0.985467874641664	-4.8559044007473	MAP3K13	D15_50nM_24h
A_19_P00316836	-0.124572540333332	4.185014946375	-0.620897636295189	0.542380751226344	0.984704463025962	-4.84340678489987	XLOC_001537	D15_50nM_24h
A_19_P00316871	-0.0381830599999997	3.87528438595833	-0.114890873759143	0.909792189961922	0.996945418054918	-4.94045718220656	LOC338588	D15_50nM_24h
A_19_P00316937	0.199574736666667	4.43356497895833	1.32944418973496	0.200158549357414	0.981421060345715	-4.50739959659726	LOC100506854	D15_50nM_24h
A_19_P00317082	0.012994811999997	9.3347259675	0.149172054889826	0.883061667614487	0.995391361213191	-4.93806222651805	HCG18	D15_50nM_24h
A_19_P00317109	-0.103265507333335	9.35167697933333	-0.681537252279892	0.504129587380232	0.984704463025962	-4.82319481370381	LOC647979	D15_50nM_24h
A_19_P00317144	-0.212451236000001	4.11900829383333	-1.4133407992522	0.174464594979074	0.981421060345715	-4.45486556529386	XLOC_005595	D15_50nM_24h
A_19_P00317169	-0.135749443999999	4.10245579841667	-0.59961779641571	0.556167785305294	0.9854508622434	-4.85008180147812	LOC727677	D15_50nM_24h
A_19_P00317272	-0.0918756609999987	4.232462079875	-0.571318469518	0.574785834754711	0.985467874641664	-4.85861853036467	LOC440900	D15_50nM_24h
A_19_P00317277	-0.160214724	3.9898230945	-0.940081668574169	0.359510685832473	0.981421060345715	-4.71802088375632	LOC100506328	D15_50nM_24h
A_19_P00317287	-0.0665606603333329	3.279022894625	-0.104012550262329	0.918299290627536	0.996945418054918	-4.94108749100499	XLOC_004018	D15_50nM_24h
A_19_P00317314	-0.000639640666667329	3.890084254375	-0.00290271115919726	0.997715618282912	0.999936465182838	-4.94395040365378	IGSF23	D15_50nM_24h
A_19_P00317357	-0.0932859123333332	7.04261734445833	-0.959675045986635	0.349820477550174	0.981421060345715	-4.70885212148233	LOC729177	D15_50nM_24h
A_19_P00317360	-0.18010569	7.25092499745833	-0.686330063660023	0.501173303180637	0.984704463025962	-4.82152284368959	ATP2C1	D15_50nM_24h
A_19_P00317431	-0.112857294333334	4.12645739370833	-0.63247735145426	0.534956649499072	0.984704463025962	-4.83968280709724	LOC285375	D15_50nM_24h
A_19_P00317451	0.0837859819999967	10.0236724335	0.799183425937097	0.434511086732762	0.983907197624991	-4.77906650724923	XIST	D15_50nM_24h
A_19_P00317471	-0.0405197806666679	5.81608468204167	-0.410690429739123	0.686103908821874	0.988248630086318	-4.89957245358135	LOC100509196	D15_50nM_24h
A_19_P00317631	-0.0383181723333346	5.20413009783333	-0.203650439099292	0.840890908170772	0.994496887314421	-4.93298286501276	PCBP1-AS1	D15_50nM_24h
A_19_P00317789	-0.0386607700000035	10.1811147365833	-0.728391139354709	0.475661055287719	0.984234021808928	-4.80638762002313	LOC93622	D15_50nM_24h
A_19_P00317819	0.132168041333334	3.68757349291667	0.456098359174815	0.653725523200497	0.986669326918745	-4.88930416518567	XLOC_002977	D15_50nM_24h
A_19_P00317856	0.144458426999999	4.001048236125	0.369873635868748	0.715754066976157	0.989674166372931	-4.90790860816943	Q6P4E4	D15_50nM_24h
A_19_P00317871	0.0488257793333355	6.17876227679167	0.525283754051167	0.605739542056151	0.985467874641664	-4.87166798813058	PVT1	D15_50nM_24h
A_19_P00318154	0.443856396333333	4.099990013875	1.311231514617	0.20611481188418	0.981421060345715	-4.51849610788852	LOC100293612	D15_50nM_24h
A_19_P00318187	0.0105018530000009	4.13043821858333	0.0574841095154628	0.954787239221742	0.997717611062662	-4.94307723868427	XLOC_001849	D15_50nM_24h
A_19_P00318189	0.0374137343333345	6.85437871370833	0.377172537632968	0.710416048687528	0.989228012345105	-4.90648039578087	LOC401320	D15_50nM_24h
A_19_P00318202	0.280866055666667	3.94677569104167	1.32739680023073	0.200821258232013	0.981421060345715	-4.50865261111617	XLOC_003572	D15_50nM_24h
A_19_P00318232	0.291931587666667	3.81930385033333	0.885453958838073	0.387484215939577	0.981421060345715	-4.74271916772014	SHISA9	D15_50nM_24h
A_19_P00318261	-0.0909711303333314	6.47938724283333	-0.577105107433261	0.570952917844014	0.985467874641664	-4.85690466190526	SNORA26	D15_50nM_24h
A_19_P00318361	0.0262997899999995	7.55966831729167	0.26055899300683	0.797363662461491	0.99210467605668	-4.92601492128384	FLJ39534	D15_50nM_24h
A_19_P00318375	0.0583965526666672	4.58463937804167	0.246568037383472	0.808007676169931	0.992785913003969	-4.92788488035295	LOC148696	D15_50nM_24h
A_19_P00318404	-0.239296871	5.97543149570833	-0.89070166666436	0.384735948467128	0.981421060345715	-4.74040244939884	LOC100506035	D15_50nM_24h
A_19_P00318418	-0.235158632333335	5.09508763625	-1.24037996494996	0.23061940334222	0.981421060345715	-4.56057577084804	TBXAS1	D15_50nM_24h
A_19_P00318444	-0.0346265663333334	4.12586418141667	-0.154599393299432	0.878842080282578	0.994998041343328	-4.93762623636889	Q37NU8	D15_50nM_24h
A_19_P00318531	-0.0094001733333311	9.34696956725	-0.107926343522293	0.915237389424602	0.996945418054918	-4.94086791991386	HOOK3	D15_50nM_24h
A_19_P00318561	-0.112527388666666	4.5904628145	-0.380170517958551	0.708227926099644	0.989228012345105	-4.90588586840684	LOC100506516	D15_50nM_24h
A_19_P00318587	-0.172901481666665	8.475070712	-1.59489466694888	0.127988056526889	0.981421060345715	-4.3337608991399	HP07349	D15_50nM_24h
A_19_P00318593	-0.0860365859999996	4.06107451475	-0.793376771102228	0.437800392210426	0.984234021808928	-4.78139356451828	Q9B8G3	D15_50nM_24h
A_19_P00318609	0.296834099666667	3.67114870991304	0.753921953248238	0.46111479323297	0.984234021808928	-4.7965482866667	P39189	D15_50nM_24h
A_19_P00318666	-0.00208847499999987	5.81970779441667	-0.0174967152901426	0.986231119097806	0.99973008011121	-4.94387152570917	Q9UJ41	D15_50nM_24h
A_19_P00318694	0.00157660633333379	7.476802589125	0.0196344066723536	0.984549097958809	0.99973008011121	-4.94385049569864	LOC441204	D15_50nM_24h
A_19_P00318728	-0.0274626303333347	3.85132684958333	-0.166605602250819	0.869521055880219	0.9945857226477	-4.93660662997326	LOC339894	D15_50nM_24h
A_19_P00318883	-0.0483277576666676	8.07457313308333	-0.55781229952903	0.583783008404167	0.985467874641664	-4.86255504516396	LOC100505854	D15_50nM_24h
A_19_P00319028	-0.0771520713333347	4.49743163545833	-0.591356163534904	0.561570010598815	0.985467874641664	-4.85261424344959	RFX8	D15_50nM_24h
A_19_P00319044	-0.291714333666665	3.92569210370833	-1.24263317543825	0.229806893203018	0.981421060345715	-4.55926475132501	XLOC_L2_007880	D15_50nM_24h
A_19_P00319155	-0.0743531230000007	4.54390994433333	-0.380341494815061	0.708103214453776	0.989228012345105	-4.90585182357967	LOC100126447	D15_50nM_24h
A_19_P00319160	0.0567790029999999	4.98806722654167	0.668987636099679	0.51191745014085	0.984704463025962	-4.82752134055952	LOC100506924	D15_50nM_24h
A_19_P00319204	0.034198213999999	4.21665182595833	0.256779413311691	0.800235155272668	0.992634643558597	-4.92653014331324	HHLA1	D15_50nM_24h
A_19_P00319226	0.0784733886666671	3.92851701304167	0.347520359146053	0.732194960526812	0.990012017515877	-4.91211267127663	ZNF300P1	D15_50nM_24h
