Contrast	Pathway	NGenes	Correlation	Direction	PValue	FDR
MPP	Response of EIF2AK1 (HRI) to heme deficiency	15	0.0400197820913479	Up	0.000164135542002947	0.258513478654642
MPP	SUMOylation of transcription cofactors	43	-0.00808058111073369	Up	0.000781023207030985	0.435200709253637
MPP	Cell-Cell communication	252	4.25774784320846e-05	Up	0.00101768862946327	0.435200709253637
MPP	Glycogen metabolism	24	0.0050812042841811	Down	0.00274507923850912	0.435200709253637
MPP	Cell-cell junction organization	201	-0.00121032149747367	Up	0.00279520712038092	0.435200709253637
MPP	Cell junction organization	226	0.00110392502249281	Up	0.00303667555455402	0.435200709253637
MPP	Signaling by Leptin	10	-0.0519800860356034	Up	0.00350707464569356	0.435200709253637
MPP	Synthesis of PE	11	0.0311636394278679	Up	0.00367152569098252	0.435200709253637
MPP	Positive epigenetic regulation of rRNA expression	43	0.000266093163911907	Up	0.00392177662435626	0.435200709253637
MPP	Diseases of signal transduction by growth factor receptors and second messengers	400	0.0048768365988255	Up	0.0043121582425429	0.435200709253637
MPP	Nuclear events stimulated by ALK signaling in cancer	31	0.00108257129406292	Up	0.00445207303983741	0.435200709253637
MPP	Glycogen storage diseases	13	0.0328073912085285	Down	0.00508573721483346	0.435200709253637
MPP	Nuclear Receptor transcription pathway	40	0.00700127262971829	Up	0.00539705868204136	0.435200709253637
MPP	Signal transduction by L1	20	0.0156908046879522	Up	0.00553789304405929	0.435200709253637
MPP	Oncogenic MAPK signaling	73	0.0145381685409397	Up	0.00695083545157989	0.435200709253637
MPP	BMAL1:CLOCK,NPAS2 activates circadian expression	21	0.0132207396582829	Up	0.00713370658029821	0.435200709253637
MPP	Transcriptional regulation of white adipocyte differentiation	72	0.000888582364747959	Up	0.00726373091493645	0.435200709253637
MPP	SHC1 events in ERBB2 signaling	19	-0.0161216221034761	Up	0.00748831566695681	0.435200709253637
MPP	Adherens junctions interactions	182	-0.00161661880945416	Up	0.00764978941655	0.435200709253637
MPP	Intraflagellar transport	43	0.0063588038436051	Down	0.00782186794599494	0.435200709253637
MPP	Negative Regulation of CDH1 Gene Transcription	30	0.0147945774799962	Up	0.00786726174709744	0.435200709253637
MPP	Differentiation of naive CD4+ T cells to T helper 2 cells (Th2 cells)	70	0.026155371876047	Up	0.00796435859120212	0.435200709253637
MPP	Signaling by BRAF and RAF1 fusions	57	0.00595068665272581	Up	0.00820040627857518	0.435200709253637
MPP	TBC/RABGAPs	43	0.00272274245320122	Up	0.00877029053888419	0.435200709253637
MPP	MAPK family signaling cascades	260	0.00323187926998588	Up	0.00884235942860205	0.435200709253637
MPP	Downstream signal transduction	27	0.0045606067878045	Up	0.0093672449596723	0.435200709253637
MPP	Differentiation of T cells	78	0.0254749532984706	Up	0.0094249540932346	0.435200709253637
MPP	TNF signaling	54	-0.00968367233646465	Up	0.0106260506561095	0.435200709253637
MPP	PKMTs methylate histone lysines	42	0.0671211097226923	Up	0.0110007730717563	0.435200709253637
MPP	Phosphorylation and nuclear translocation of the CRY:PER:kinase complex	14	-0.0283870161630294	Up	0.0110787822711222	0.435200709253637
MPP	Synthesis of glycosylphosphatidylinositol (GPI)	17	-0.0383815216026092	Down	0.0114348279833111	0.435200709253637
MPP	Phospholipid metabolism	178	0.00332416573815959	Up	0.011560433446431	0.435200709253637
MPP	SUMOylation	161	0.0166679851074371	Up	0.0119014726570593	0.435200709253637
MPP	RAC3 GTPase cycle	86	0.0292217814347479	Up	0.0120836542029706	0.435200709253637
MPP	SUMO E3 ligases SUMOylate target proteins	155	0.0157033370689845	Up	0.012535867722478	0.435200709253637
MPP	RHOB GTPase cycle	66	0.0169924623978796	Up	0.0125962328244382	0.435200709253637
MPP	Transcriptional regulation of granulopoiesis	25	0.0172474001870759	Up	0.0127952768992314	0.435200709253637
MPP	Signaling by high-kinase activity BRAF mutants	30	0.000902279372265433	Up	0.013872406375619	0.435200709253637
