Contrast	Pathway	NGenes	Correlation	Direction	PValue	FDR
MS275	Deubiquitination	213	0.00158183177640512	Down	4.570822491821e-06	0.00404932696842894
MS275	Antigen processing: Ubiquitination & Proteasome degradation	283	0.00244584074081724	Down	5.1420024995923e-06	0.00404932696842894
MS275	Somatic hypermutation of immunoglobulin genes	156	0.00116113625467096	Down	1.19514327480889e-05	0.00619987853830661
MS275	Ub-specific processing proteases	141	0.00438454555170836	Down	1.57457232718898e-05	0.00619987853830661
MS275	Class I MHC mediated antigen processing & presentation	345	0.00308806927583473	Down	3.24277857529954e-05	0.0102147525121936
MS275	Viral Messenger RNA Synthesis	43	0.00740013642906881	Down	5.45107990320072e-05	0.0125806666045726
MS275	PTEN Regulation	127	-0.00101129811855968	Down	5.59140737981006e-05	0.0125806666045726
MS275	Negative epigenetic regulation of rRNA expression	45	0.00360121543744857	Down	7.72845002083759e-05	0.013729293639525
MS275	Dengue Virus-Host Interactions	212	0.00565341513253766	Down	9.26101370224502e-05	0.013729293639525
MS275	HIV Infection	207	0.0115336092387095	Down	0.000107758118202781	0.013729293639525
MS275	Late Phase of HIV Life Cycle	131	0.0124367757103456	Down	0.000112256735582516	0.013729293639525
MS275	Host Interactions of HIV factors	111	0.00929447695567924	Down	0.000112632137336378	0.013729293639525
MS275	Nuclear Envelope (NE) Reassembly	69	0.00439095734325253	Down	0.000117383296616082	0.013729293639525
MS275	HIV Life Cycle	143	0.0113658131869455	Down	0.000124921394655569	0.013729293639525
MS275	TP53 Regulates Transcription of DNA Repair Genes	60	-0.00125148561750707	Down	0.000135293666758301	0.013729293639525
MS275	NoRC negatively regulates rRNA expression	42	0.00485799039790612	Down	0.000145619115508725	0.013729293639525
MS275	Processing of Capped Intron-Containing Pre-mRNA	283	0.0254784388484049	Down	0.000148189201188524	0.013729293639525
MS275	HATs acetylate histones	78	0.0112635103147355	Down	0.000205587451558206	0.0157294460675815
MS275	Neddylation	223	0.00614004826567737	Down	0.000218467546822423	0.0157294460675815
MS275	Affinity selection of immunoglobulins	248	0.00153593906745466	Down	0.000225494438080396	0.0157294460675815
MS275	Immunoglobulin maturation	248	0.00153593906745466	Down	0.000225494438080396	0.0157294460675815
MS275	Formation of RNA Pol II elongation complex	55	-0.00418126549851982	Down	0.000229699847336111	0.0157294460675815
