Contrast	Pathway	NGenes	Correlation	Direction	PValue	FDR
Paraquat	Zinc transporters	13	-0.0244419809556559	Down	0.00688555223407831	0.99974376603714
Paraquat	Response of EIF2AK1 (HRI) to heme deficiency	15	0.039972155782588	Up	0.0131840290284335	0.99974376603714
Paraquat	Translation of Replicase and Assembly of the Replication Transcription Complex_9694676	13	-0.0160082193501541	Down	0.0155196643011588	0.99974376603714
Paraquat	Processing of antigen in germinal center B cells	69	0.000686088086503546	Down	0.0160025630610213	0.99974376603714
Paraquat	Translation of Replicase and Assembly of the Replication Transcription Complex_9679504	12	-0.0390786836405424	Down	0.0168288925459284	0.99974376603714
Paraquat	TP53 Regulates Transcription of Cell Death Genes	39	-0.00520889890271839	Down	0.0175886108898422	0.99974376603714
Paraquat	Metal ion SLC transporters	36	-0.00663218980492084	Down	0.0188174633479734	0.99974376603714
Paraquat	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	33	0.0486401818408619	Down	0.0238350814910867	0.99974376603714
Paraquat	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	37	0.0147817685519534	Down	0.0239859614817383	0.99974376603714
Paraquat	TCF dependent signaling in response to WNT	141	-0.00281918810729854	Down	0.0293610369825154	0.99974376603714
Paraquat	Synthesis of PIPs at the Golgi membrane	16	-0.00562579585157041	Down	0.0326822139599499	0.99974376603714
Paraquat	Scavenging by Class A Receptors	13	0.0228482915680754	Down	0.0338218956278084	0.99974376603714
Paraquat	TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	12	-0.0292705035853378	Down	0.0349642218505145	0.99974376603714
Paraquat	Regulation of pyruvate metabolism	31	-0.00568689340785603	Down	0.0353934493714659	0.99974376603714
Paraquat	Smooth Muscle Contraction	34	0.00672230927243923	Up	0.0367991143342634	0.99974376603714
Paraquat	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	10	0.0116544030446094	Up	0.0395474613789283	0.99974376603714
Paraquat	Activation of Matrix Metalloproteinases	16	0.022008366373744	Down	0.0399107653716717	0.99974376603714
Paraquat	Effects of PIP2 hydrolysis	24	0.021136680770517	Up	0.0410157656927781	0.99974376603714
Paraquat	Pyruvate metabolism	43	-0.000992792147516379	Down	0.0425241771471038	0.99974376603714
Paraquat	MHC class II antigen presentation	99	0.00634935949455995	Down	0.0444230520576095	0.99974376603714
Paraquat	NR1H2 and NR1H3-mediated signaling	40	0.0495693204589376	Down	0.0466278280472546	0.99974376603714
Paraquat	Estrogen-dependent gene expression	83	0.0135274450453929	Down	0.0498657396608028	0.99974376603714
Paraquat	Detoxification of Reactive Oxygen Species	30	0.0357929291325784	Up	0.049985382570837	0.99974376603714
Paraquat	trans-Golgi Network Vesicle Budding	69	-0.00144846410601704	Down	0.0517553791453305	0.99974376603714
Paraquat	Nuclear Envelope (NE) Reassembly	69	0.00500671889942332	Down	0.0564874479819302	0.99974376603714
Paraquat	HCMV Infection	95	0.00081061541507365	Down	0.0569967270411487	0.99974376603714
Paraquat	Regulation of cholesterol biosynthesis by SREBP (SREBF)	55	0.0215571547207125	Down	0.0577595539224427	0.99974376603714
Paraquat	Activation of SMO	15	0.0698019438122091	Down	0.058352303643538	0.99974376603714
Paraquat	SUMOylation of transcription cofactors	43	-0.00802299288023752	Down	0.0610578871245933	0.99974376603714
Paraquat	Regulation of TNFR1 signaling	45	-0.00822663401835016	Up	0.067571562790094	0.99974376603714
Paraquat	Golgi Associated Vesicle Biogenesis	54	0.000533508080805985	Down	0.0690271521957802	0.99974376603714
Paraquat	Binding and Uptake of Ligands by Scavenger Receptors	31	-0.00936718882511378	Down	0.069820261435606	0.99974376603714
Paraquat	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	30	-0.00128379871468731	Down	0.0714773342356914	0.99974376603714
Paraquat	Signaling by Nuclear Receptors	198	0.0050341058687953	Down	0.0724137010514282	0.99974376603714
Paraquat	NOD1/2 Signaling Pathway	32	-0.0147704174916796	Up	0.0743894646217531	0.99974376603714
Paraquat	Activation of gene expression by SREBF (SREBP)	42	0.0198217318955049	Down	0.0765650401473649	0.99974376603714
Paraquat	Cellular hexose transport	10	0.130023956330091	Down	0.0800077470187438	0.99974376603714
Paraquat	Plasma lipoprotein assembly	11	-0.0379695942290721	Down	0.0804350667286059	0.99974376603714
Paraquat	HDMs demethylate histones	21	0.0374138552665547	Down	0.0816714931381682	0.99974376603714
Paraquat	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)	14	-0.0200343736104264	Up	0.0839053756655261	0.99974376603714
Paraquat	Diseases associated with the TLR signaling cascade	19	-0.002843036381207	Up	0.0881372923286977	0.99974376603714
Paraquat	p75NTR signals via NF-kB	15	0.00317368319950698	Up	0.0893015170053232	0.99974376603714
Paraquat	Condensation of Prometaphase Chromosomes	11	0.286817414437142	Down	0.0915700474702025	0.99974376603714
Paraquat	Golgi-to-ER retrograde transport	125	0.00184433319749625	Down	0.0916162492625145	0.99974376603714
Paraquat	Synthesis of PA	28	-0.0183731346885602	Down	0.0932240323163869	0.99974376603714
Paraquat	Signaling by WNT	225	9.89912396540215e-05	Down	0.0937258184526429	0.99974376603714
Paraquat	RHO GTPase Effectors	240	0.00277759273613714	Down	0.0953545900224876	0.99974376603714
Paraquat	Signaling by TGFBR3	44	0.00411299580625478	Down	0.0964409685892465	0.99974376603714
Paraquat	TNF signaling	54	-0.00989245797664713	Up	0.0967801171350248	0.99974376603714
Paraquat	Fertilization	13	0.0351174112870815	Down	0.0968921423284001	0.99974376603714
Paraquat	PTEN Regulation	127	-0.000866580456281219	Down	0.0979795274410819	0.99974376603714
Paraquat	Dengue Virus Infection	312	0.00723505209423579	Down	0.0984616480979452	0.99974376603714
Paraquat	Regulation of FOXO transcriptional activity by acetylation	10	-0.00980557594978875	Down	0.100001061328991	0.99974376603714
Paraquat	Ovarian tumor domain proteases	33	-0.00998958582626997	Up	0.101220504932574	0.99974376603714
Paraquat	Early Phase of HIV Life Cycle	13	-0.0139231416557468	Down	0.101441360679831	0.99974376603714
Paraquat	Nuclear Receptor transcription pathway	40	0.00699821533719613	Down	0.10220218498317	0.99974376603714
Paraquat	Initiation of Nuclear Envelope (NE) Reformation	19	-0.00873489346074514	Down	0.102572547375751	0.99974376603714
Paraquat	Platelet homeostasis	72	-0.000649653249327392	Up	0.104064044695087	0.99974376603714
Paraquat	Glycogen synthesis	12	0.0212158551017793	Down	0.104595774237374	0.99974376603714
Paraquat	Dengue Virus-Host Interactions	212	0.00577876409494584	Down	0.104880247246779	0.99974376603714
Paraquat	Formation of the beta-catenin:TCF transactivating complex	31	0.0219472728807818	Down	0.105066568049498	0.99974376603714
Paraquat	Transcriptional regulation by RUNX1	147	0.00150472867521435	Down	0.105762577881563	0.99974376603714
Paraquat	TNFR1-induced NF-kappa-B signaling pathway	31	-0.00630525437392766	Up	0.106146755031842	0.99974376603714
Paraquat	RNA Polymerase I Transcription Termination	27	0.02252486417079	Up	0.106609544556141	0.99974376603714
Paraquat	Signaling by Erythropoietin	23	0.00510718009231378	Up	0.106806901100745	0.99974376603714
Paraquat	RHOH GTPase cycle	34	0.00547646352164543	Down	0.108487977733764	0.99974376603714
Paraquat	Signaling by Leptin	10	-0.0512761374783905	Up	0.109136073549053	0.99974376603714
Paraquat	VEGFR2 mediated vascular permeability	26	0.0529859634459597	Down	0.109249328122603	0.99974376603714
Paraquat	Inhibition of replication initiation of damaged DNA by RB1/E2F1	13	-0.0079323256613739	Down	0.110916528348189	0.99974376603714
Paraquat	Chemokine receptors bind chemokines	10	0.0171612037922216	Down	0.113013822052141	0.99974376603714
Paraquat	SLC-mediated transport of organic anions	25	-0.00198558163019145	Down	0.113772990792008	0.99974376603714
Paraquat	Branched-chain amino acid catabolism	22	-0.0175794323186722	Up	0.116752168936832	0.99974376603714
Paraquat	Polo-like kinase mediated events	16	0.149601960333683	Down	0.117108125714954	0.99974376603714
Paraquat	Interleukin-7 signaling	18	-0.00610217181987454	Down	0.118478934744092	0.99974376603714
Paraquat	Diseases of programmed cell death	38	-0.00284039906059986	Down	0.119192939954125	0.99974376603714
Paraquat	EGR2 and SOX10-mediated initiation of Schwann cell myelination	25	0.0201914358283807	Down	0.121649479147375	0.99974376603714
Paraquat	Post-translational modification: synthesis of GPI-anchored proteins	54	-0.00240155366570228	Up	0.125189852317895	0.99974376603714
Paraquat	TP53 Regulates Metabolic Genes	76	0.012549326863779	Up	0.125942437061951	0.99974376603714
Paraquat	Metabolism of cofactors	25	0.00858088125541663	Up	0.126525026083118	0.99974376603714
Paraquat	Defective pyroptosis	12	0.0642480437217115	Down	0.128197867074055	0.99974376603714
Paraquat	Myogenesis	26	0.0103027740247535	Down	0.128554436264806	0.99974376603714
Paraquat	Metabolic disorders of biological oxidation enzymes	20	-0.0318997922114486	Up	0.128721289387473	0.99974376603714
Paraquat	Endosomal/Vacuolar pathway	11	0.0391369893663294	Down	0.129794610127604	0.99974376603714
Paraquat	Regulation of MITF-M-dependent genes involved in cell cycle and proliferation	15	-0.008011888978593	Down	0.133194641900099	0.99974376603714
Paraquat	FGFR2 alternative splicing	24	-0.0205103218066712	Down	0.133194798625966	0.99974376603714
Paraquat	Nuclear events stimulated by ALK signaling in cancer	31	0.00146909972245515	Down	0.135546392221617	0.99974376603714
Paraquat	Signaling by NOTCH3	46	-0.00594993626620185	Down	0.136150987794831	0.99974376603714
Paraquat	Signaling by FLT3 ITD and TKD mutants	15	-0.0214264827046063	Up	0.13698705522171	0.99974376603714
Paraquat	HDACs deacetylate histones	32	0.00134951381991479	Down	0.137697994948157	0.99974376603714
Paraquat	COPI-dependent Golgi-to-ER retrograde traffic	92	0.00173524005565175	Down	0.142093230507591	0.99974376603714
Paraquat	Diseases of branched-chain amino acid catabolism	13	0.0194640239006717	Up	0.142994968117364	0.99974376603714
Paraquat	Interleukin-10 signaling	15	0.000515858621195964	Down	0.14390786125227	0.99974376603714
Paraquat	Glycogen metabolism	24	0.00403202689669593	Down	0.144742888513929	0.99974376603714
Paraquat	HDR through MMEJ (alt-NHEJ)	12	0.0348372577463125	Down	0.14601438867625	0.99974376603714
Paraquat	Protein methylation	17	0.0228704118157248	Up	0.146718427326607	0.99974376603714
Paraquat	Signaling by NOTCH1	72	-0.00446753994179274	Down	0.147315446945621	0.99974376603714
Paraquat	Signaling by NOTCH2	32	-0.0134971372689715	Down	0.148034482981746	0.99974376603714
Paraquat	Glycogen storage diseases	13	0.0314596203733037	Down	0.148076763454856	0.99974376603714
Paraquat	Drug ADME	52	-0.00091112021829443	Down	0.149235518537084	0.99974376603714
Paraquat	Negative regulation of FLT3	12	-0.0534293039205577	Up	0.149561037973956	0.99974376603714
Paraquat	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	46	0.0323763397188815	Down	0.152083614638138	0.99974376603714
Paraquat	Pyrimidine salvage	10	-0.0292813477640898	Down	0.152383528088944	0.99974376603714
Paraquat	Reproduction	73	0.0165279377670876	Down	0.152539888789975	0.99974376603714
Paraquat	Signaling by Non-Receptor Tyrosine Kinases	50	-0.00595268677046091	Up	0.152717423005509	0.99974376603714
Paraquat	Signaling by PTK6	50	-0.00595268677046091	Up	0.152717423005509	0.99974376603714
Paraquat	RUNX2 regulates bone development	28	0.00286800436116868	Down	0.154794501255394	0.99974376603714
Paraquat	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	49	-0.00651135962260959	Up	0.156040762831957	0.99974376603714
Paraquat	ER to Golgi Anterograde Transport	138	0.00167351653504553	Down	0.158223377979553	0.99974376603714
Paraquat	NFE2L2 regulating anti-oxidant/detoxification enzymes	17	0.0656038850272613	Up	0.158574611528034	0.99974376603714
Paraquat	Transport to the Golgi and subsequent modification	165	0.00266133564228886	Down	0.15876719298966	0.99974376603714
Paraquat	BMAL1:CLOCK,NPAS2 activates circadian expression	21	0.0131030344036914	Down	0.15879082493605	0.99974376603714
Paraquat	Diseases of Immune System	22	-0.0249291228640609	Up	0.159329519760534	0.99974376603714
Paraquat	Amino acids regulate mTORC1	51	0.0216867210825987	Up	0.160743070253878	0.99974376603714
Paraquat	Sensory processing of sound by outer hair cells of the cochlea	46	0.0441407808543639	Up	0.160783962680643	0.99974376603714
Paraquat	Azathioprine ADME	17	-0.0283994300759988	Down	0.16145497678502	0.99974376603714
Paraquat	Degradation of cysteine and homocysteine	13	0.0327723402096601	Up	0.161914202084995	0.99974376603714
Paraquat	Kinesins	54	0.00566877106439977	Down	0.164144427337673	0.99974376603714
Paraquat	Other semaphorin interactions	16	0.0238164371385486	Down	0.164209659202663	0.99974376603714
Paraquat	Glutathione synthesis and recycling	11	0.0445088224275489	Up	0.165759863332917	0.99974376603714
Paraquat	Mitotic Telophase/Cytokinesis	13	0.25118128927381	Down	0.166352401640157	0.99974376603714
Paraquat	ABC-family protein mediated transport	82	0.0230898545895934	Up	0.169897054560022	0.99974376603714
Paraquat	Interferon alpha/beta signaling	53	0.0307198625073802	Down	0.173231155165827	0.99974376603714
Paraquat	Response to metal ions	11	0.345111296383274	Up	0.173336855722906	0.99974376603714
Paraquat	Glycolysis	65	0.0146658610553828	Down	0.179869863341054	0.99974376603714
Paraquat	SUMOylation of immune response proteins	12	-0.0423455925128895	Up	0.180993488996105	0.99974376603714
Paraquat	Respiratory syncytial virus (RSV) genome replication, transcription and translation	17	0.0708070244700353	Down	0.182009846099473	0.99974376603714
Paraquat	RNA Polymerase I Promoter Escape	28	0.0381508639963544	Up	0.183980107159304	0.99974376603714
Paraquat	Nucleotide biosynthesis	12	-0.0185509977696795	Down	0.185235297033971	0.99974376603714
Paraquat	Negative regulation of FGFR1 signaling	24	-0.00992081470961149	Up	0.185308733352779	0.99974376603714
Paraquat	Interaction of NuRD complexes with transcription factors	28	0.0388200074852958	Down	0.186718739989746	0.99974376603714
Paraquat	ATP-dependent chromatin remodelers	125	0.00823618950036911	Down	0.187281172862649	0.99974376603714
Paraquat	Negative regulation of FGFR4 signaling	25	-0.0155753625195067	Up	0.188364317130524	0.99974376603714
Paraquat	Regulation of CDH11 Expression and Function	24	0.0482175082240916	Down	0.1897020670896	0.99974376603714
Paraquat	Potential therapeutics for SARS	90	-0.00112786394105234	Down	0.190473639587223	0.99974376603714
Paraquat	TICAM1-dependent activation of IRF3/IRF7	11	-0.0316735964463998	Up	0.19138891699296	0.99974376603714
Paraquat	Regulation of CDH11 function	10	0.0712136330090265	Down	0.193130692693055	0.99974376603714
Paraquat	Circadian clock	104	-0.000172074825517246	Down	0.195731114180545	0.99974376603714
