Contrast	Pathway	NGenes	Correlation	Direction	PValue	FDR
Rotenone	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	14	0.101301428588958	Down	5.0189469689216e-06	0.00395242073802576
Rotenone	Transport of connexons to the plasma membrane	14	0.101301428588958	Down	5.0189469689216e-06	0.00395242073802576
Rotenone	Activation of AMPK downstream of NMDARs	22	0.0359133588746997	Down	2.76234520372958e-05	0.0111843272338853
Rotenone	Intraflagellar transport	43	0.00588863509975394	Down	2.84046405939943e-05	0.0111843272338853
Rotenone	Gap junction assembly	20	0.0743113290556421	Down	3.89215374364363e-05	0.0122602842924774
Rotenone	Cargo trafficking to the periciliary membrane	64	-0.00590640001077388	Down	5.73713679739887e-05	0.015059984093172
Rotenone	Carboxyterminal post-translational modifications of tubulin	37	-0.00558938016914924	Down	8.25506360395801e-05	0.0185738931089055
Rotenone	Aggrephagy	36	0.0262769907447181	Down	0.000144479537301716	0.027244848056774
Rotenone	Assembly and cell surface presentation of NMDA receptors	36	0.016129000266722	Down	0.000155684846038708	0.027244848056774
Rotenone	HCMV Infection	95	0.000896892670764547	Down	0.000176153881182854	0.0277442362862995
Rotenone	Nuclear Envelope (NE) Reassembly	69	0.00513803871078792	Down	0.000296905639164291	0.0424586216385315
Rotenone	RHO GTPases activate IQGAPs	25	0.0410840600341303	Down	0.000348599474060843	0.0424586216385315
Rotenone	Cell-Cell communication	252	6.14625506922737e-05	Up	0.000351485591066615	0.0424586216385315
Rotenone	Formation of tubulin folding intermediates by CCT/TriC	22	0.121374188416959	Down	0.00037740997012028	0.0424586216385315
Rotenone	Signaling by Hedgehog	129	0.00509615496684503	Down	0.000420863784810334	0.044190697405085
Rotenone	Hedgehog 'off' state	95	0.0137088516695722	Down	0.000468399784415642	0.0461081037784147
Rotenone	COPI-independent Golgi-to-ER retrograde traffic	46	0.0182187380885181	Down	0.000518783334572804	0.0468483180076097
Rotenone	Sealing of the nuclear envelope (NE) by ESCRT-III	25	0.107704972722199	Down	0.000535409348658396	0.0468483180076097
Rotenone	Cell-cell junction organization	201	-0.00121488863483517	Up	0.000835090018331074	0.0692245673090232
Rotenone	Post-chaperonin tubulin folding pathway	19	0.181736594891823	Down	0.000914315191647085	0.072002321342208
Rotenone	Adherens junctions interactions	182	-0.00163532568915194	Up	0.00132383698028966	0.0992877735217244
Rotenone	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	46	0.0321418494238814	Down	0.00146910792297452	0.105174771758403
Rotenone	Cell junction organization	226	0.00113309032494678	Up	0.00154037713276944	0.105482347135299
Rotenone	HCMV Early Events	72	0.0156555231088334	Down	0.00191028610373529	0.121043221437993
Rotenone	Signaling by ERBB4	46	-0.00652826425521661	Up	0.00192132097520624	0.121043221437993
Rotenone	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	29	0.0984894207220934	Down	0.00263673677701569	0.154452437858335
Rotenone	Interleukin-3, Interleukin-5 and GM-CSF signaling	37	-0.000291274551843878	Up	0.00264775607757145	0.154452437858335
Rotenone	Gap junction trafficking	31	0.0938447768646924	Down	0.00293595233332599	0.165147318749587
Rotenone	Smooth Muscle Contraction	34	0.00758404647834601	Up	0.00319112518378313	0.173311109119256
Rotenone	PKR-mediated signaling	68	0.0173653153097423	Down	0.0036604372605301	0.191288112189402
Rotenone	Gap junction trafficking and regulation	33	0.0863416242669179	Down	0.00376503585896601	0.191288112189402
Rotenone	Signaling by FLT3 ITD and TKD mutants	15	-0.0219797995990925	Up	0.00396296062047216	0.195051968038864
Rotenone	Selective autophagy	80	0.00956728032308141	Down	0.00456128527692575	0.214517177600914
Rotenone	Prefoldin mediated transfer of substrate  to CCT/TriC	27	0.101974831565885	Down	0.00463084700852767	0.214517177600914
Rotenone	tRNA processing	122	0.0116698268720958	Down	0.00748783998183513	0.336952799182581
Rotenone	Ion homeostasis	48	0.00933202063513091	Up	0.00933105743140941	0.403148297038612
Rotenone	SARS-CoV Infections	370	0.00299438462138563	Up	0.00947078539074835	0.403148297038612
Rotenone	Post NMDA receptor activation events	69	0.0135913108944169	Down	0.00983192128662428	0.407507263853506
Rotenone	Nuclear signaling by ERBB4	26	-0.0127632101245574	Up	0.0118897228532382	0.480161884457697
Rotenone	Unwinding of DNA	12	0.0796003417968104	Down	0.0127363088793417	0.496627503001489
Rotenone	Kinesins	54	0.00644312696810557	Down	0.012928081030515	0.496627503001489
Rotenone	SUMOylation of intracellular receptors	23	-0.0297730134399938	Up	0.0144446017243012	0.525298028977329
