Contrast	Pathway	NGenes	Correlation	Direction	PValue	FDR
SixOHDA	ATF6 (ATF6-alpha) activates chaperone genes	10	0.000178819412451409	Up	1.0224021718558e-05	0.0161028342067289
SixOHDA	ATF6 (ATF6-alpha) activates chaperones	12	0.00982460022400159	Up	4.03028671404016e-05	0.0317385078730663
SixOHDA	Unfolded Protein Response (UPR)	87	0.0201030539759624	Up	0.000748842192955239	0.393142151301501
SixOHDA	PERK regulates gene expression	29	0.00844907558168371	Up	0.00307823239682162	0.922200672086393
SixOHDA	Unwinding of DNA	12	0.0792247463188106	Up	0.00332108537804551	0.922200672086393
SixOHDA	Response of EIF2AK1 (HRI) to heme deficiency	15	0.0391406724090799	Up	0.0037377500721344	0.922200672086393
SixOHDA	Modulation of host responses by IFN-stimulated genes	18	0.00429918679551607	Up	0.00653854387108609	0.922200672086393
SixOHDA	DNA strand elongation	32	0.0625569707671233	Up	0.00743628908047698	0.922200672086393
SixOHDA	Dengue Virus-Host Interactions	212	0.00576953064696698	Up	0.00998889124036797	0.922200672086393
SixOHDA	Basigin interactions	20	-0.000133265345531977	Up	0.010006398687733	0.922200672086393
SixOHDA	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	30	-0.00230980986380534	Up	0.0118181620294167	0.922200672086393
SixOHDA	Oncogene Induced Senescence	31	0.0103161836980082	Up	0.0161559788100748	0.922200672086393
SixOHDA	Somatic hypermutation of immunoglobulin genes	156	0.00135801716785077	Up	0.0169058443262681	0.922200672086393
SixOHDA	Dengue Virus Infection	312	0.0072355234708222	Up	0.0169551698187717	0.922200672086393
SixOHDA	RAF-independent MAPK1/3 activation	21	0.0274849139701059	Down	0.017092738522015	0.922200672086393
SixOHDA	mRNA Splicing - Major Pathway	199	0.0291041735159905	Up	0.019240291851635	0.922200672086393
SixOHDA	mRNA Polyadenylation	125	0.033962306315605	Up	0.0192557664816028	0.922200672086393
SixOHDA	mRNA 3'-end processing	148	0.0362016256125044	Up	0.0200910272420945	0.922200672086393
SixOHDA	Voltage gated Potassium channels	33	0.0273655676687254	Down	0.020092390341824	0.922200672086393
SixOHDA	Regulation of KIT signaling	15	0.00135878375085392	Down	0.02017044457991	0.922200672086393
SixOHDA	CHD1 and CHD2 subfamily	42	0.0211549151620648	Up	0.0205270479304235	0.922200672086393
SixOHDA	ATF4 activates genes in response to endoplasmic reticulum  stress	24	-0.00712867256520695	Up	0.0210851381750081	0.922200672086393
SixOHDA	mRNA Splicing	207	0.0293691371276046	Up	0.0216586956948342	0.922200672086393
SixOHDA	RNA Polymerase I Transcription	48	-0.00804163258918505	Up	0.0220703097500273	0.922200672086393
SixOHDA	Nuclear events stimulated by ALK signaling in cancer	31	0.00125530187207989	Up	0.023638647569876	0.922200672086393
SixOHDA	SRC activates STAT3 in a quantitative manner, through Cadherin-11 (CDH11), RAC1 and gp130 (IL6ST)	20	0.00382513613807832	Down	0.0253417888670712	0.922200672086393
SixOHDA	Caspase activation via Dependence Receptors in the absence of ligand	10	0.0369168913513976	Down	0.0254511441493501	0.922200672086393
SixOHDA	Binding and Uptake of Ligands by Scavenger Receptors	31	-0.00879306268972701	Up	0.0259964454933971	0.922200672086393
SixOHDA	Regulation of CDH11 function	10	0.0702212568813376	Down	0.0261733114845734	0.922200672086393
SixOHDA	Collagen chain trimerization	37	0.0554981440426027	Up	0.0263483876827569	0.922200672086393
SixOHDA	Sphingolipid catabolism	10	-0.0293642693838489	Down	0.0277005361249252	0.922200672086393
SixOHDA	Activation of gene expression by SREBF (SREBP)	42	0.0197446448425062	Down	0.0287461540416895	0.922200672086393
SixOHDA	Lanosterol biosynthesis	13	0.0189294372397924	Down	0.0289604046498479	0.922200672086393
SixOHDA	Listeria monocytogenes entry into host cells	17	-0.0208997383473349	Down	0.0295727567844685	0.922200672086393
SixOHDA	Golgi Cisternae Pericentriolar Stack Reorganization	14	0.00877033026274356	Up	0.0332522163239215	0.922200672086393
SixOHDA	Maturation of DENV proteins	47	0.0590579152562975	Up	0.0338035225505086	0.922200672086393
SixOHDA	Processing of Intronless Pre-mRNAs	20	0.00243750590330458	Up	0.0355501374815358	0.922200672086393
SixOHDA	Interleukin-4 and Interleukin-13 signaling	70	-0.000884228834510562	Up	0.0359333472192003	0.922200672086393
SixOHDA	Golgi Associated Vesicle Biogenesis	54	0.000528652357609932	Down	0.0365445120538088	0.922200672086393
SixOHDA	Processing of Capped Intron-Containing Pre-mRNA	283	0.0258966403924057	Up	0.0369945130919056	0.922200672086393
SixOHDA	ATP-dependent chromatin remodelers	125	0.00814426558262926	Up	0.0372400085479214	0.922200672086393
SixOHDA	RHOBTB2 GTPase cycle	23	0.00758465326660763	Up	0.0385742229772467	0.922200672086393
SixOHDA	Signaling by NOTCH	162	0.00149282451779089	Up	0.0386931780715537	0.922200672086393
SixOHDA	Cargo recognition for clathrin-mediated endocytosis	90	0.00276701250072195	Down	0.0389815999211577	0.922200672086393
SixOHDA	Pre-NOTCH Processing in Golgi	18	0.0333102828063581	Up	0.0390602149744991	0.922200672086393
SixOHDA	Regulation of cholesterol biosynthesis by SREBP (SREBF)	55	0.0216240890836906	Down	0.0411433657794953	0.922200672086393
SixOHDA	Spry regulation of FGF signaling	15	-0.00514122565373345	Down	0.044234470469431	0.922200672086393
SixOHDA	Specification of the neural plate border	12	-0.0013171038107167	Down	0.0465931625422774	0.922200672086393
SixOHDA	Constitutive Signaling by Aberrant PI3K in Cancer	57	-0.000756075160145426	Down	0.0467681395233545	0.922200672086393
SixOHDA	Generation of second messenger molecules	14	-0.0104240334988847	Up	0.0489334555082331	0.922200672086393
SixOHDA	Affinity selection of immunoglobulins	248	0.00163326717754813	Up	0.0491041595315601	0.922200672086393
SixOHDA	Immunoglobulin maturation	248	0.00163326717754813	Up	0.0491041595315601	0.922200672086393
SixOHDA	Interconversion of nucleotide di- and triphosphates	30	0.00822235559467906	Up	0.0501541438912145	0.922200672086393
SixOHDA	Activation of ATR in response to replication stress	36	0.105070645495073	Up	0.0530735438235974	0.922200672086393
SixOHDA	Positive epigenetic regulation of rRNA expression	43	0.000292505679184749	Up	0.0531281888885637	0.922200672086393
SixOHDA	Cellular Senescence	123	0.00420733535758821	Up	0.0535143676143634	0.922200672086393
SixOHDA	Developmental Cell Lineages	25	0.0234670103509878	Up	0.0538038261372649	0.922200672086393
SixOHDA	Drug ADME	52	-0.000934053045419268	Up	0.0545651844443523	0.922200672086393
SixOHDA	Processive synthesis on the lagging strand	15	0.0249151454653937	Up	0.0549826569595331	0.922200672086393
SixOHDA	Lagging Strand Synthesis	20	0.0568103119691421	Up	0.0552058624955846	0.922200672086393
SixOHDA	NGF-stimulated transcription	35	0.0186776698284385	Down	0.0574072230694998	0.922200672086393
SixOHDA	Translesion synthesis by POLK	16	0.0424918435905423	Up	0.0581950925765577	0.922200672086393
SixOHDA	Antigen processing: Ubiquitination & Proteasome degradation	283	0.00243814121575622	Down	0.0591205273364553	0.922200672086393
SixOHDA	RNA Polymerase III Abortive And Retractive Initiation	41	0.00402728365592707	Up	0.0605044513740872	0.922200672086393
SixOHDA	RNA Polymerase III Transcription	41	0.00402728365592707	Up	0.0605044513740872	0.922200672086393
SixOHDA	Signalling to ERKs	34	0.00920038621354828	Down	0.0606808034803487	0.922200672086393
SixOHDA	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	24	0.0464656949905579	Up	0.0615895460812771	0.922200672086393
