Contrast	Pathway	NGenes	Correlation	Direction	PValue	FDR
Ziram	Response to metal ions	11	0.346111123443659	Up	5.75649615619282e-06	0.00515748215544492
Ziram	Response of EIF2AK1 (HRI) to heme deficiency	15	0.039419269468548	Up	6.54918368945386e-06	0.00515748215544492
Ziram	Basigin interactions	20	0.00100688897878149	Up	6.93657437952791e-05	0.0317567174423641
Ziram	ER to Golgi Anterograde Transport	138	0.00170436023584638	Down	8.0651980806004e-05	0.0317567174423641
Ziram	SLC-mediated transport of amino acids	29	0.0217160852170158	Up	0.00012091596338189	0.0334470952281557
Ziram	Amino acid transport across the plasma membrane	26	0.0276555632471418	Up	0.000140268963225061	0.0334470952281557
Ziram	Golgi-to-ER retrograde transport	125	0.00200396515107308	Down	0.000148653756569581	0.0334470952281557
Ziram	NFE2L2 regulating anti-oxidant/detoxification enzymes	17	0.0655155148927415	Up	0.00020657438415056	0.0406693318796415
Ziram	Carboxyterminal post-translational modifications of tubulin	37	-0.00542877010006577	Down	0.0002907026017362	0.050872955303835
Ziram	Attenuation phase	21	0.115988347897641	Up	0.000327920713298431	0.0516475123445029
Ziram	Processing of antigen in germinal center B cells	69	0.000592740034016097	Down	0.000362644772861246	0.0519241379324057
Ziram	Interleukin-4 and Interleukin-13 signaling	70	-0.000820401943634688	Up	0.000490654791520934	0.0643984413871226
Ziram	Translocation of SLC2A4 (GLUT4) to the plasma membrane	64	0.00935306333550705	Down	0.000554497585182697	0.064833669856548
Ziram	HSF1-dependent transactivation	31	0.0568296291971469	Up	0.00057629928761376	0.064833669856548
Ziram	Transport to the Golgi and subsequent modification	165	0.00280417849899035	Down	0.000714087471307355	0.0749791844872723
Ziram	Intra-Golgi and retrograde Golgi-to-ER traffic	192	0.00358894802793886	Down	0.000831132002890401	0.0776921683335031
Ziram	Asparagine N-linked glycosylation	281	0.00632572779188665	Down	0.000838582134393366	0.0776921683335031
Ziram	COPI-independent Golgi-to-ER retrograde traffic	46	0.0182685152934764	Down	0.00100008332190787	0.0875072906669387
Ziram	COPI-mediated anterograde transport	91	0.0158882821702456	Down	0.00110006390734877	0.0911895081091746
Ziram	MHC class II antigen presentation	99	0.00629498721979514	Down	0.00119122988419983	0.093809353380737
Ziram	COPI-dependent Golgi-to-ER retrograde traffic	92	0.00200470384321442	Down	0.00129022253778028	0.0967666903335214
Ziram	Antigen processing: Ubiquitination & Proteasome degradation	283	0.00246131793483774	Down	0.00244031598164998	0.174704439595396
Ziram	Formation of the anterior neural plate	10	-0.0305436796460349	Up	0.00289885364804518	0.198508456333529
Ziram	ATF4 activates genes in response to endoplasmic reticulum  stress	24	-0.00720292330890951	Up	0.00325300117182964	0.210470634442499
Ziram	Activation of AMPK downstream of NMDARs	22	0.0363385311016289	Down	0.00338862944921819	0.210470634442499
Ziram	Cellular response to heat stress	93	0.0121246111652904	Up	0.00347443587016189	0.210470634442499
Ziram	Macroautophagy	133	0.0082422204062793	Down	0.00374825012148382	0.212255300522022
Ziram	Intraflagellar transport	43	0.00633697364145389	Down	0.00382972699581927	0.212255300522022
Ziram	Metabolism of folate and pterines	16	0.0074445412658957	Up	0.0040806616028115	0.212255300522022
Ziram	CaMK IV-mediated phosphorylation of CREB	10	0.00414440443963038	Down	0.00410960817596793	0.212255300522022
Ziram	Nuclear Envelope (NE) Reassembly	69	0.00499898783581842	Down	0.00417772337535408	0.212255300522022
Ziram	Aggrephagy	36	0.0270558441392468	Down	0.00459085846618396	0.223056714463091
Ziram	HSF1 activation	24	0.131829158862391	Up	0.00474500352347719	0.223056714463091
Ziram	SARS-CoV-2 modulates autophagy	11	-0.010268000181724	Down	0.00481519256618735	0.223056714463091
Ziram	Class I MHC mediated antigen processing & presentation	345	0.00313255557566656	Down	0.00505252075177973	0.227186276187087
Ziram	RAS processing	22	0.000581161603015008	Down	0.00519282916999055	0.227186276187087
Ziram	Fibronectin matrix formation	16	0.0273145204483993	Up	0.00545155936173426	0.227211151410191
Ziram	HCMV Infection	95	0.000918044869680881	Down	0.00558584778001747	0.227211151410191
Ziram	Recruitment of NuMA to mitotic centrosomes	86	-0.00184009209038113	Down	0.00562618089206187	0.227211151410191
Ziram	RHO GTPases activate IQGAPs	25	0.0417360602063528	Down	0.00586039485296972	0.230753047335683
Ziram	rRNA processing in the mitochondrion	30	0.0650939572388902	Down	0.00602170215980838	0.231321485407273
Ziram	Autophagy	145	0.0117439183560557	Down	0.00667779050623931	0.250417143983974
Ziram	Selective autophagy	80	0.00986696940598031	Down	0.00698726171476173	0.252808400551118
Ziram	Regulation of signaling by CBL	19	-0.019157703699772	Down	0.0070625838884122	0.252808400551118
Ziram	Regulation of MITF-M-dependent genes involved in lysosome biogenesis and autophagy	17	0.0471009168688404	Down	0.00736343735650451	0.25565231845549
Ziram	Pyruvate metabolism	43	-0.000946087227500492	Down	0.00762428767126891	0.25565231845549
Ziram	Programmed Cell Death	163	-8.35689555316897e-05	Down	0.00774961793619891	0.25565231845549
Ziram	Binding and Uptake of Ligands by Scavenger Receptors	31	-0.00860619933240604	Up	0.0079138387466654	0.25565231845549
Ziram	Collagen chain trimerization	37	0.054620428262926	Up	0.00814292552604807	0.25565231845549
Ziram	Translation of Replicase and Assembly of the Replication Transcription Complex_9694676	13	-0.0161712910543041	Down	0.00847643043478738	0.25565231845549
Ziram	Integrin cell surface interactions	63	0.0397628890899494	Up	0.0085307709770171	0.25565231845549
Ziram	Inhibition of DNA recombination at telomere	20	0.000370288950395814	Down	0.00863975264979256	0.25565231845549
Ziram	Translation of Replicase and Assembly of the Replication Transcription Complex_9679504	12	-0.0392026310001216	Down	0.00931964420245036	0.25565231845549
Ziram	CTNNB1 S33 mutants aren't phosphorylated	15	0.0066220452546892	Down	0.00967451175652347	0.25565231845549
Ziram	CTNNB1 S37 mutants aren't phosphorylated	15	0.0066220452546892	Down	0.00967451175652347	0.25565231845549
Ziram	CTNNB1 S45 mutants aren't phosphorylated	15	0.0066220452546892	Down	0.00967451175652347	0.25565231845549
Ziram	CTNNB1 T41 mutants aren't phosphorylated	15	0.0066220452546892	Down	0.00967451175652347	0.25565231845549
Ziram	Signaling by CTNNB1 phospho-site mutants	15	0.0066220452546892	Down	0.00967451175652347	0.25565231845549
Ziram	Signaling by GSK3beta mutants	15	0.0066220452546892	Down	0.00967451175652347	0.25565231845549
Ziram	DNA Damage Recognition in GG-NER	37	0.00630448448027684	Down	0.00980943377746325	0.25565231845549
Ziram	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	75	0.00234446008951259	Down	0.00990145487351422	0.25565231845549
Ziram	tRNA processing	122	0.0116380187452229	Down	0.0104626346776873	0.259729387850184
Ziram	tRNA processing in the mitochondrion	22	0.200238179030164	Down	0.0104642357012757	0.259729387850184
Ziram	PERK regulates gene expression	29	0.00826055808921353	Up	0.0105540830618487	0.259729387850184
Ziram	Budding and maturation of HIV virion	26	0.0509502502227278	Down	0.0122259776024224	0.29624484190485
Ziram	RHO GTPases Activate ROCKs	17	-0.00346990091949053	Down	0.0125908033728025	0.300462353214606
Ziram	Regulation of HSF1-mediated heat shock response	74	0.0300610102528936	Up	0.0128052801540102	0.301019645411433
Ziram	Sealing of the nuclear envelope (NE) by ESCRT-III	25	0.107884555446804	Down	0.0131805596425384	0.305285021132323
