sample	group	treatment_role
S1_LUHMES_diff_DopaNeuron_DMSO_1	DMSO	reference
S2_LUHMES_diff_DopaNeuron_DMSO_2	DMSO	reference
S3_LUHMES_diff_DopaNeuron_DMSO_3	DMSO	reference
S4_LUHMES_diff_DopaNeuron_MS275_1	MS275	HDAC_inhibitor_comparator
S5_LUHMES_diff_DopaNeuron_MS275_2	MS275	HDAC_inhibitor_comparator
S6_LUHMES_diff_DopaNeuron_MS275_3	MS275	HDAC_inhibitor_comparator
S7_LUHMES_diff_DopaNeuron_Paraquat_1	Paraquat	PD_environmental_toxicant
S8_LUHMES_diff_DopaNeuron_Paraquat_2	Paraquat	PD_environmental_toxicant
S9_LUHMES_diff_DopaNeuron_Paraquat_3	Paraquat	PD_environmental_toxicant
S10_LUHMES_diff_DopaNeuron_MPP_1	MPP	PD_environmental_toxicant
S11_LUHMES_diff_DopaNeuron_MPP_2	MPP	PD_environmental_toxicant
S12_LUHMES_diff_DopaNeuron_MPP_3	MPP	PD_environmental_toxicant
S13_LUHMES_diff_DopaNeuron_Ziram_1	Ziram	PD_environmental_toxicant
S14_LUHMES_diff_DopaNeuron_Ziram_2	Ziram	PD_environmental_toxicant
S15_LUHMES_diff_DopaNeuron_Ziram_3	Ziram	PD_environmental_toxicant
S16_LUHMES_diff_DopaNeuron_Rotenone_1	Rotenone	PD_environmental_toxicant
S17_LUHMES_diff_DopaNeuron_Rotenone_2	Rotenone	PD_environmental_toxicant
S18_LUHMES_diff_DopaNeuron_Rotenone_3	Rotenone	PD_environmental_toxicant
S19_LUHMES_diff_DopaNeuron_6-HD_1	SixOHDA	PD_environmental_toxicant
S20_LUHMES_diff_DopaNeuron_6-HD_2	SixOHDA	PD_environmental_toxicant
S21_LUHMES_diff_DopaNeuron_6-HD_3	SixOHDA	PD_environmental_toxicant
S22_LUHMES_diff_DopaNeuron_Methyl_mercury_1	Methylmercury	PD_environmental_toxicant
S23_LUHMES_diff_DopaNeuron_Methyl_mercury_2	Methylmercury	PD_environmental_toxicant
S24_LUHMES_diff_DopaNeuron_Methyl_mercury_3	Methylmercury	PD_environmental_toxicant
