gene	eligible_probe_n	eligible_probes
0610005C13RIK	1	1434906_at
0610006L08RIK	1	1430444_at
0610007P14RIK	1	1454161_s_at
0610009B22RIK	1	1418083_at
0610009L18RIK	1	1453141_at
0610009O20RIK	2	1421049_at;1452685_at
0610010F05RIK	2	1428652_at;1456660_a_at
0610011F06RIK	2	1431126_a_at;1434771_at
0610012G03RIK	3	1417002_at;1417003_at;1448540_a_at
0610025J13RIK	1	1432532_at
0610030E20RIK	2	1435538_at;1453243_at
0610033M10RIK	1	1432291_at
0610037L13RIK	5	1426467_s_at;1426468_at;1429879_at;1438343_at;1456370_s_at
0610038B21RIK	1	1430930_at
0610039K10RIK	1	1430761_at
0610040A22RIK	1	1432770_at
0610040B10RIK	2	1445557_at;1456161_at
0610040F04RIK	1	1442672_at
0610040J01RIK	1	1424404_at
0610042E11RIK	2	1432661_at;1432662_at
0710001A04RIK	1	1454126_at
0710001D07RIK	1	1428989_at
1010001B22RIK	1	1457715_at
1010001I08RIK	1	1454127_at
1110002L01RIK	1	1429484_at
1110003F02RIK	1	1447218_at
1110004E09RIK	4	1424315_at;1435301_at;1437682_x_at;1455276_x_at
1110004F10RIK	1	1423335_at
1110004M10RIK	2	1432584_at;1454286_at
1110006E14RIK	1	1431094_at
1110006O24RIK	1	1420750_at
1110008E08RIK	1	1454258_at
1110008F13RIK	2	1416699_at;1459810_at
1110008L16RIK	1	1428775_at
1110008P14RIK	3	1423947_at;1447982_at;1459890_s_at
1110012L19RIK	1	1451302_at
1110014L15RIK	1	1460487_at
1110015O18RIK	1	1453443_at
1110017D15RIK	1	1429471_at
1110018N20RIK	1	1456669_at
1110019B22RIK	1	1431884_at
1110019D14RIK	1	1453434_at
1110020A21RIK	1	1439574_at
1110020C17RIK	1	1432233_at
1110028F11RIK	2	1431383_at;1447051_at
1110028F18RIK	1	1431584_at
1110032A03RIK	2	1417211_a_at;1445336_at
1110032F04RIK	2	1443515_at;1456509_at
1110034G24RIK	2	1437617_x_at;1452888_at
1110035E04RIK	1	1432114_at
1110035H17RIK	1	1453827_at
1110037F02RIK	2	1427906_at;1427907_at
1110038B12RIK	1	1441081_a_at
1110038F14RIK	1	1416885_at
1110046J04RIK	1	1457779_at
1110050P16RIK	1	1430746_at
1110051M20RIK	1	1428501_at
1110059E24RIK	1	1416841_at
1110059G10RIK	1	1418048_at
1110064A23RIK	1	1439543_at
1110065P20RIK	1	1455545_at
1190002N15RIK	3	1433581_at;1433582_at;1459067_at
1190003K10RIK	1	1432300_at
1190005I06RIK	1	1452609_at
1200003I10RIK	1	1453575_at
1200007C13RIK	1	1431837_at
1300002E11RIK	1	1430137_at
1300014J16RIK	1	1431247_at
1300017J02RIK	1	1424722_at
130004C03	1	1442992_at
1500002C15RIK	1	1453834_at
1500002F19RIK	2	1425737_at;1430842_at
1500002I01RIK	1	1453850_at
1500002K03RIK	1	1433383_at
1500004A13RIK	3	1429729_at;1430660_at;1436176_at
1500004F05RIK	1	1456899_at
1500005C15RIK	2	1432663_at;1454321_at
1500009C09RIK	1	1452827_at
1500009L16RIK	2	1442649_at;1452840_at
1500011B03RIK	2	1428370_at;1456857_at
1500011K16RIK	1	1438678_at
1500015A07RIK	1	1429162_at
1500015O10RIK	3	1423261_at;1440780_x_at;1460049_s_at
1500017E21RIK	1	1438596_at
1500035N22RIK	1	1430070_at
1520401O13RIK	2	1433288_at;1454543_at
1600002H07RIK	1	1428832_at
1600002K03RIK	1	1429091_at
1600010M07RIK	1	1453585_at
1600012H06RIK	2	1428217_at;1428218_a_at
1600012P17RIK	1	1453075_at
1600014C10RIK	4	1424444_a_at;1434715_at;1436289_x_at;1455641_at
1600014C23RIK	1	1453963_at
1600015I10RIK	1	1449327_at
1600020E01RIK	1	1436424_at
1600022D10RIK	1	1431723_at
1600023N17RIK	1	1457647_x_at
1600025M17RIK	1	1444548_at
1600029O15RIK	1	1454055_at
1700001C02RIK	2	1432513_a_at;1432525_at
1700001C19RIK	2	1452602_a_at;1460425_at
1700001D01RIK	1	1447235_at
1700001G11RIK	1	1438544_at
1700001G17RIK	1	1449562_at
1700001K19RIK	1	1422722_at
1700001L05RIK	1	1429795_at
1700001L19RIK	1	1453643_at
1700001O22RIK	1	1424795_a_at
1700001P01RIK	2	1430091_at;1447799_x_at
1700003D09RIK	1	1430266_at
1700003E16RIK	1	1428601_at
1700003F12RIK	2	1440176_x_at;1452863_at
1700003G18RIK	1	1431414_at
1700003H04RIK	2	1429482_at;1432354_at
1700003I16RIK	1	1430276_at
1700003P14RIK	1	1431103_at
1700006A11RIK	1	1431967_at
1700006E09RIK	1	1430121_at
1700006F04RIK	1	1457663_at
1700006J14RIK	1	1430182_a_at
1700007B14RIK	1	1429542_at
1700007E05RIK	1	1430199_at
1700007F19RIK	1	1431984_at
1700007G11RIK	1	1453432_at
1700007J10RIK	1	1431612_at
1700007J24RIK	1	1438944_at
1700007K09RIK	1	1430169_at
1700007K13RIK	1	1428705_at
1700007L15RIK	1	1435403_at
1700008F19RIK	1	1441822_at
1700008H02RIK	2	1432652_at;1432653_at
1700008J07RIK	2	1428732_at;1441221_at
1700008K24RIK	1	1434368_at
1700008N17RIK	2	1433160_at;1433161_at
1700008O03RIK	1	1454009_at
1700008P02RIK	1	1430284_at
1700009J07RIK	1	1432505_at
1700009N14RIK	1	1429747_at
1700010B08RIK	1	1429827_at
1700010B09RIK	1	1440159_at
1700010B13RIK	1	1431526_at
1700010H22RIK	3	1443839_at;1443840_x_at;1454238_a_at
1700010I14RIK	3	1419624_a_at;1436863_at;1449541_x_at
1700010L04RIK	1	1431783_at
1700010N08RIK	1	1430315_at
1700011B04RIK	1	1442926_at
1700011E24RIK	1	1429858_at
1700011H14RIK	1	1419294_at
1700011I03RIK	1	1429644_at
1700011L22RIK	1	1453346_at
1700011M02RIK	1	1436683_at
1700012A03RIK	1	1429142_at
1700012B07RIK	1	1428703_at
1700012B09RIK	1	1428984_a_at
1700012D14RIK	2	1438880_at;1444213_at
1700012E03RIK	1	1453454_at
1700012I11RIK	1	1453460_at
1700012O15RIK	1	1436496_at
1700012P22RIK	2	1443845_x_at;1453333_at
1700013D24RIK	1	1437792_at
1700013F07RIK	2	1428962_at;1445763_at
1700013G24RIK	1	1453167_at
1700013H16RIK	1	1453331_at
1700015C15RIK	1	1447673_x_at
1700015E13RIK	1	1437384_at
1700015F17RIK	1	1456366_at
1700015G11RIK	1	1459995_at
1700016A09RIK	1	1432470_at
1700016C15RIK	1	1430674_at
1700016D06RIK	1	1425657_at
1700016D18RIK	1	1429837_at
1700016G14RIK	1	1436439_at
1700016H13RIK	1	1453879_at
1700016K19RIK	1	1436593_at
1700016P04RIK	1	1438791_at
1700017B05RIK	3	1429758_at;1442689_at;1447063_at
1700017D01RIK	1	1432214_at
1700017G19RIK	1	1429645_at
1700017H01RIK	2	1432735_at;1454326_at
1700017L05RIK	1	1457258_at
1700017N19RIK	1	1430140_at
1700018A04RIK	1	1431567_at
1700018A14RIK	1	1453900_at
1700018B08RIK	1	1429075_a_at
1700018B24RIK	1	1451061_at
1700018C11RIK	1	1429853_at
1700018F24RIK	1	1449923_at
1700018G05RIK	1	1441861_at
1700018L02RIK	1	1431148_at
1700018M17RIK	1	1430844_at
1700018P08RIK	2	1432854_at;1454385_at
1700019A02RIK	1	1429037_at
1700019B03RIK	1	1453463_at
1700019D03RIK	2	1430368_s_at;1444051_at
1700019L13RIK	1	1433001_at
1700019M22RIK	1	1429513_at
1700019N19RIK	1	1451001_at
1700019O17RIK	1	1429924_at
1700019P21RIK	1	1447710_at
1700020A23RIK	1	1430422_at
1700020D05RIK	1	1422633_at
1700020G03RIK	1	1447505_at
1700020I14RIK	3	1428411_at;1430989_a_at;1437774_at
1700020L24RIK	1	1453779_at
1700020M10RIK	1	1432493_at
1700020N01RIK	1	1429868_at
1700021A07RIK	1	1453964_at
1700021F05RIK	1	1421019_at
1700021F07RIK	1	1429803_at
1700021N20RIK	1	1447648_at
1700021P04RIK	1	1432528_at
1700022A21RIK	1	1453157_at
1700022A22RIK	1	1432341_at
1700023A20RIK	1	1453974_at
1700023B13RIK	2	1433359_at;1433360_at
1700023F02RIK	1	1441078_at
1700023F06RIK	1	1430764_at
1700023G09RIK	1	1432069_at
1700023H06RIK	2	1431623_at;1459253_at
1700024J04RIK	1	1430261_at
1700024P04RIK	1	1429828_at
1700024P12RIK	2	1433334_at;1454566_at
1700025F22RIK	1	1429640_at
1700025G04RIK	3	1436431_at;1444235_at;1455732_at
1700025H01RIK	1	1454273_at
1700025K04RIK	1	1454165_at
1700026H06RIK	1	1432983_at
1700026J12RIK	1	1453793_at
1700027F06RIK	1	1458398_at
1700027J07RIK	1	1430507_at
1700028E10RIK	2	1440352_at;1446606_at
1700028I16RIK	1	1453459_at
1700028J19RIK	1	1432186_at
1700028N14RIK	1	1432502_at
1700028P14RIK	1	1419326_at
1700029F12RIK	1	1419715_at
1700029H14RIK	1	1450999_a_at
1700029I15RIK	2	1438499_at;1438979_s_at
1700029J07RIK	1	1453168_at
1700029M03RIK	2	1440793_at;1440794_x_at
1700029M20RIK	2	1453154_at;1453975_a_at
