contrast	gene	logFC	t	p_value	residual_variance	residual_df	FDR
SN_MPTP10_vs_control	SNX3	-0.10467465966666664	-0.8811829021262444	0.395525583890792	0.021166168565818964	12.0	0.986510994408949
SN_MPTP10_vs_control	VPS26B	-0.04783741666666665	-0.24480575255035605	0.8107429160571823	0.05727742149784637	12.0	0.9952775453850997
SN_MPTP10_vs_control	VPS26A	0.215360957	1.0812491324559412	0.3008370935262937	0.05950776782087444	12.0	0.9748656798092349
SN_MPTP10_vs_control	VPS29	-0.07569885166666666	-0.6986122525241502	0.49811063228953567	0.017611544541804938	12.0	0.9903039739578321
SN_MPTP10_vs_control	SNX2	-0.23203500266666668	-1.6660919641847298	0.12156325367773592	0.029093791799682345	12.0	0.9359769924596566
SN_MPTP10_vs_control	HSPA8	-0.01958370299999999	-0.16727350013697603	0.86994061991567	0.02056016513230528	12.0	0.9957366358168329
SN_MPTP10_vs_control	SNX1	-0.12240044233333332	-0.5744779530364879	0.5762556542789516	0.06809425944420495	12.0	0.9952775453850997
SN_MPTP10_vs_control	MFN2	0.03164879433333332	0.22853774609315375	0.8230764080781163	0.028766678489431912	12.0	0.9952775453850997
SN_MPTP10_vs_control	CLTC	0.13177160316666664	0.7159076524845807	0.487746210083253	0.05081839084247649	12.0	0.9896390342393985
SN_MPTP10_vs_control	SNCAIP	0.19872781533333334	0.9531522935501388	0.35931869286365997	0.06520546270793526	12.0	0.986510994408949
SN_MPTP10_vs_control	EPS15	-0.001384181833333338	-0.006367162523119156	0.9950244006458502	0.07089011456958459	12.0	0.999818181849656
SN_MPTP10_vs_control	UBC	0.05350041249999999	0.4777287088476514	0.6414274169475431	0.018812340838793493	12.0	0.9952775453850997
SN_MPTP10_vs_control	UBB						
SN_MPTP10_vs_control	TOMM20	0.08811839300000002	0.736131401419189	0.4757950501315139	0.021493824965502163	12.0	0.9885863175729833
SN_MPTP10_vs_control	UBA52	0.018704095000000004	0.11142811821482101	0.9131189607663889	0.0422644348262086	12.0	0.9973359263680464
SN_MPTP10_vs_control	MFN1	-0.05915864166666665	-0.9092542602919326	0.38111551191963017	0.006349754830991897	12.0	0.986510994408949
SN_MPTP10_vs_control	ITSN1	0.06013719000000001	0.556602631013675	0.5880289733075768	0.0175100348987432	12.0	0.9952775453850997
SN_MPTP10_vs_control	RHOT1	-0.23646958433333332	-1.2949464395269132	0.21969949590884635	0.050019370669532597	12.0	0.966666221910366
SN_MPTP10_vs_control	CLTCL1						
SN_MPTP10_vs_control	SH3GL2	0.016059873999999995	0.0998652872336793	0.9221002744191097	0.038792379109838265	12.0	0.9982711302021922
SN_MPTP10_vs_control	WLS	-0.015368677333333344	-0.06336815369981624	0.9505166665219751	0.08823119005769627	12.0	0.9989524617144023
interaction10_SNminusVTA	SNX3	-0.07100168999999999	-0.4226473910530459	0.6800271841013235	0.021166168565818964	12.0	0.999775913956537
interaction10_SNminusVTA	VPS26B	0.158988794	0.5753146290296954	0.5757076773662505	0.05727742149784637	12.0	0.999775913956537
interaction10_SNminusVTA	VPS26A	0.27536042066666666	0.9775642666221988	0.34758659478593906	0.05950776782087444	12.0	0.999775913956537
interaction10_SNminusVTA	VPS29	-0.06476891099999998	-0.42266715831605683	0.6800131515924926	0.017611544541804938	12.0	0.999775913956537
interaction10_SNminusVTA	SNX2	-0.20445251333333336	-1.0380611128226633	0.3197068527326329	0.029093791799682345	12.0	0.999775913956537
interaction10_SNminusVTA	HSPA8	0.09522326516666667	0.5751225572149139	0.5758334493000414	0.02056016513230528	12.0	0.999775913956537
interaction10_SNminusVTA	SNX1	-0.31090132466666665	-1.0318057733954693	0.32251103121774466	0.06809425944420495	12.0	0.999775913956537
interaction10_SNminusVTA	MFN2	-0.020752153166666704	-0.10596170459414726	0.9173634616715803	0.028766678489431912	12.0	0.999775913956537
interaction10_SNminusVTA	CLTC	0.20107630749999994	0.7724690334496995	0.4547823570065704	0.05081839084247649	12.0	0.999775913956537
interaction10_SNminusVTA	SNCAIP	0.27770941233333335	0.9418445749804594	0.3648472832684773	0.06520546270793526	12.0	0.999775913956537
interaction10_SNminusVTA	EPS15	-0.03140123566666663	-0.10213733710338642	0.9203345551727212	0.07089011456958459	12.0	0.999775913956537
interaction10_SNminusVTA	UBC	-0.05016589216666667	-0.3167508235158783	0.7568753060648701	0.018812340838793493	12.0	0.999775913956537
interaction10_SNminusVTA	UBB						
interaction10_SNminusVTA	TOMM20	0.31247973183333333	1.84584670650472	0.08971762048400415	0.021493824965502163	12.0	0.999775913956537
interaction10_SNminusVTA	UBA52	-0.012679102333333324	-0.0534111102688787	0.9582832354676942	0.0422644348262086	12.0	0.999775913956537
interaction10_SNminusVTA	MFN1	0.07215786333333335	0.7842162151996239	0.4481173260163307	0.006349754830991897	12.0	0.999775913956537
interaction10_SNminusVTA	ITSN1	0.10863446933333333	0.7109757255183292	0.49068826360126966	0.0175100348987432	12.0	0.999775913956537
interaction10_SNminusVTA	RHOT1	-0.20505317099999995	-0.7940137254889329	0.44260663869132794	0.050019370669532597	12.0	0.999775913956537
interaction10_SNminusVTA	CLTCL1						
interaction10_SNminusVTA	SH3GL2	0.12776756	0.5617952010575418	0.5845960384099322	0.038792379109838265	12.0	0.999775913956537
interaction10_SNminusVTA	WLS	0.11016327399999996	0.32118584533032346	0.7535946162678684	0.08823119005769627	12.0	0.999775913956537
VTA_MPTP10_vs_control	SNX3	-0.03367296966666666	-0.28346922959742193	0.7816483485059358	0.021166168565818964	12.0	0.9984707623241584
VTA_MPTP10_vs_control	VPS26B	-0.20682621066666665	-1.0584235035557972	0.31070350465245494	0.05727742149784637	12.0	0.979108763433179
VTA_MPTP10_vs_control	VPS26A	-0.059999463666666655	-0.30123551149248046	0.7683909355808907	0.05950776782087444	12.0	0.9963873863111
VTA_MPTP10_vs_control	VPS29	-0.01092994066666668	-0.10087062486388647	0.921318924111545	0.017611544541804938	12.0	0.9989344794601835
VTA_MPTP10_vs_control	SNX2	-0.027582489333333328	-0.19805185985881177	0.8463199489891196	0.029093791799682345	12.0	0.9989344794601835
VTA_MPTP10_vs_control	HSPA8	-0.11480696816666666	-0.9806196205770036	0.34613778903103876	0.02056016513230528	12.0	0.981383693701041
VTA_MPTP10_vs_control	SNX1	0.18850088233333334	0.8847157654342453	0.3936918113271741	0.06809425944420495	12.0	0.9867699930142353
