probe	gene	mean_expression
ILMN_1736007	A1BG	5.819492460357247
ILMN_3234888	A1BG-AS1	1.3590877399578531
ILMN_1779670	A1CF	3.4303132648498607
ILMN_1745607	A2M	0.4074991117757552
ILMN_2136495	A2ML1	0.10269241182268248
ILMN_2295559	A3GALT2	0.8492024814499647
ILMN_1735045	A4GALT	7.276905299293731
ILMN_1680754	A4GNT	3.983097488073723
ILMN_1755321	AAAS	6.206808442182976
ILMN_1698554	AACS	7.890661779633711
ILMN_1760414	AADAC	3.41011544216145
ILMN_1752884	AADACL2	2.452510448956661
ILMN_1660703	AADACL3	1.162075157680697
ILMN_1668851	AADACL4	3.041018054425505
ILMN_3281480	AADACP1	4.589847741570917
ILMN_1726986	AADAT	7.820180938769082
ILMN_1717229	AAED1	7.169099105186032
ILMN_3237396	AAGAB	9.432859798959539
ILMN_1880387	AAK1	4.872589734892814
ILMN_1779163	AAMDC	9.145918545657574
ILMN_1653165	AAMP	8.815209404701159
ILMN_1729835	AANAT	0.4068724707067058
ILMN_1721225	AAR2	8.208205424279537
ILMN_2159290	AARD	1.4702545343055096
ILMN_1662364	AARS	12.015615578775746
ILMN_1674698	AARS2	7.411986943728842
ILMN_1784269	AASDH	7.517605515414683
ILMN_2096191	AASDHPPT	10.330348585750912
ILMN_1678323	AASS	6.630843917600244
ILMN_3256375	AATBC	0.09556888241621318
ILMN_1703743	AATF	8.06716334210893
ILMN_1699334	AATK	7.822449517750429
ILMN_1805104	ABAT	8.903570389878798
ILMN_1766054	ABCA1	9.35231382193559
ILMN_1753388	ABCA10	4.317469450845086
ILMN_2232084	ABCA11P	2.9084777939697783
ILMN_2361400	ABCA12	1.2302113680832167
ILMN_1704579	ABCA13	0.0
ILMN_1823245	ABCA17P	0.3514935048793149
ILMN_1747627	ABCA2	4.121751187650763
ILMN_1758523	ABCA3	8.940002395688877
ILMN_1794965	ABCA4	1.8234371025308764
ILMN_1784176	ABCA5	4.318874525489293
ILMN_1795507	ABCA6	4.11069142941412
ILMN_1743205	ABCA7	6.140556744819173
ILMN_1796801	ABCA8	7.5854494907858525
ILMN_1720501	ABCA9	5.636813509651682
ILMN_1812070	ABCB1	2.4830684509721443
ILMN_1665730	ABCB10	6.740369502151116
