accession	pathway	analyzed_genes	intergene_correlation	CAMERA_direction	CAMERA_p_two_sided	CAMERA_p_one_sided_down	mean_moderated_t	negative_mean_moderated_t
GSE229460	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	11	0.249893403146984	Up	0.311485576493461	0.84425721175327	5.364375150534	FALSE
GSE229460	Intraflagellar transport	49	-0.00329195110589924	Down	0.0636835471644425	0.0318417735822213	-2.50177819583094	TRUE
GSE229460	Cargo trafficking to the periciliary membrane	60	0.00341569790353926	Up	0.667819556093064	0.666090221953468	0.279202059266784	FALSE
GSE229460	Carboxyterminal post-translational modifications of tubulin	29	0.102864233219192	Up	0.314957602620713	0.842521198689643	3.10254333588228	FALSE
GSE229460	Hedgehog 'off' state	92	0.0176343523491825	Up	0.879606760801102	0.560196619599449	0.138675801906659	FALSE
GSE287941	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	12	0.00422062769028396	Up	0.0824504213642411	0.95877478931788	4.66386401254296	FALSE
GSE287941	Intraflagellar transport	46	0.0216171281345023	Down	0.196718651010272	0.0983593255051362	-1.0755477155694	TRUE
GSE287941	Cargo trafficking to the periciliary membrane	57	-0.000602724283723514	Up	0.749882759504716	0.625058620247642	0.264508935525188	FALSE
GSE287941	Carboxyterminal post-translational modifications of tubulin	35	-0.0101411780313799	Up	0.888505632566014	0.555747183716993	0.170550670096146	FALSE
GSE287941	Hedgehog 'off' state	91	0.0122837054423776	Up	0.224893354095212	0.887553322952394	0.870677287740107	FALSE
