accession	GSM	group	library_size_after_filter	TMM_normalization_factor
GSE229460	GSM7163946	control	31874420	1.17669060718914
GSE229460	GSM7163947	control	29889528	1.16990010549463
GSE229460	GSM7163948	control	27973874	1.18266840286512
GSE229460	GSM7163949	MPP	28092396	0.809452896782613
GSE229460	GSM7163950	MPP	29112321	0.862543722960279
GSE229460	GSM7163951	MPP	27024471	0.879737770915143
GSE287941	GSM8755842	control	6641042	0.949420258123626
GSE287941	GSM8755843	control	6323529	0.910054326395541
GSE287941	GSM8755844	control	5987442	0.923288076134565
GSE287941	GSM8755845	control	10405892	0.924999149764675
GSE287941	GSM8755850	SixOHDA	12340300	1.0699317080058
GSE287941	GSM8755851	SixOHDA	3042386	1.07820830739333
GSE287941	GSM8755852	SixOHDA	1986178	1.07401180442349
GSE287941	GSM8755853	SixOHDA	1813676	1.09377461588907
