beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	confirmatory	n_PD	n_control	measured_genes_n	outcome	subtype
-0.6787770357850897	0.1502310665310882	-4.518220175482988	5.0	0.0031465828372938894	0.006293165674587779	-1.0649582865581757	-0.29259578501200373	pathway_score ~ PD + age + sex + pmi	GSE178265_subtype_CALB1_CALCR	GSE178265	False	3	7	45.0	CONFIRMED	CALB1_CALCR
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	6	NA	NOT_EVALUABLE	CALB1_CRYM_CCDC68
-0.5167652416190887	0.20448183299845957	-2.5271939029565607	5.0	0.026355005820588664	0.05271001164117733	-1.0424025272425472	0.008872044004369917	pathway_score ~ PD + age + sex + pmi	GSE178265_subtype_CALB1_GEM	GSE178265	False	3	7	44.0	CONFIRMED	CALB1_GEM
-0.5135764173352886	0.1631774859096461	-3.147348511176743	5.0	0.012727399818728679	0.025454799637457358	-0.9330374985994254	-0.09411533607115169	pathway_score ~ PD + age + sex + pmi	GSE178265_subtype_CALB1_PPP1R17	GSE178265	False	3	7	44.0	CONFIRMED	CALB1_PPP1R17
-0.7059598561583282	0.21293275995072902	-3.3154121344300513	4.0	0.014752368347374917	0.029504736694749834	-1.2971559752597865	-0.11476373705686993	pathway_score ~ PD + age + sex + pmi	GSE178265_subtype_CALB1_RBP4	GSE178265	False	3	6	44.0	CONFIRMED	CALB1_RBP4
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	6	NA	NOT_EVALUABLE	CALB1_TRHR
-0.3429882994542668	0.22113061978735749	-1.551066513466518	9.0	0.07764969073464506	0.15529938146929012	-0.843220514920244	0.1572439160117104	pathway_score ~ PD + age + sex + pmi	GSE178265_subtype_SOX6_AGTR1	GSE178265	False	6	8	46.0	PARTIAL_SUPPORT	SOX6_AGTR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	7	NA	NOT_EVALUABLE	SOX6_DDT
-0.5863099912643879	0.15959294349569442	-3.6737839306799027	5.0	0.0071932433468795244	0.014386486693759049	-0.9965567129101527	-0.17606326961862306	pathway_score ~ PD + age + sex + pmi	GSE178265_subtype_SOX6_GFRA2	GSE178265	False	3	7	44.0	CONFIRMED	SOX6_GFRA2
-0.3079809326089977	0.149565671753743	-2.0591685845939462	6.0	0.04257719297778601	0.08515438595557202	-0.6739549473476912	0.05799308212969578	pathway_score ~ PD + age + sex + pmi	GSE178265_subtype_SOX6_PART1	GSE178265	False	4	7	45.0	CONFIRMED	SOX6_PART1
