beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	gene	FDR_BH
-0.360880944641941	0.46385003676397646	-0.7780121074466362	9	0.22826336569387054	0.4565267313877411	-1.410182627771781	0.6884207384878991	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	ADRM1	0.5618790540156814
-0.9702820683962732	0.3163230327612561	-3.0673772312008363	9	0.006705361710576058	0.013410723421152116	-1.6858544827151998	-0.25470965407734647	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PAAF1	0.11029153229905472
-0.5483025675970561	0.5591979172872956	-0.9805161118212071	9	0.17622610100801173	0.35245220201602345	-1.81329614161035	0.7166910064162377	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	POMP	0.49169928333298496
-0.4238210816308765	0.1917174062638848	-2.210655202832852	9	0.0271935370434797	0.0543870740869594	-0.857515985443817	0.009873822182063952	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA3	0.16322654411029158
-0.45735407422207697	0.20690917252616414	-2.210409855871631	9	0.02720442401838193	0.05440884803676386	-0.9254151409007887	0.010706992456634812	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA4	0.16322654411029158
-0.9783104013363637	0.32245145384838636	-3.0339773310383524	9	0.007077618401612466	0.014155236803224933	-1.7077462673141857	-0.24887453535854176	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA5	0.11029153229905472
-0.6225718386329282	0.13308667272843183	-4.677942771199251	9	0.0005777780163911738	0.0011555560327823477	-0.9236348086185308	-0.32150886864732564	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA6	0.05546668957355269
-0.6704953833171468	0.28335320437977246	-2.3662883389117972	9	0.021082325919458758	0.042164651838917516	-1.3114848642066728	-0.029505902427620745	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA7	0.16322654411029158
0.3729978289625055	0.18769619322852826	1.9872423758129418	9	0.9609285246181761	0.07814295076364779	-0.05160045897936566	0.7975961169043766	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA8	0.19804059210779515
-0.4527632035800475	0.23238361393054205	-1.9483439297719825	9	0.041593826507105885	0.08318765301421177	-0.9784514603499559	0.07292505318986087	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB1	0.19804059210779515
