beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	excluded_gene
-0.4008723533551266	0.1909628270723636	-2.09921668788041	9	0.0326005545867406	0.0652011091734812	-0.8328602804450689	0.03111557373481566	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	ADRM1
-0.3879063719986515	0.19759624190389802	-1.9631262632379003	9	0.040617568984578245	0.08123513796915649	-0.8349001259635612	0.05908738196625818	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PAAF1
-0.39688465924969885	0.18933516356487753	-2.09620152842714	9	0.03276043963514867	0.06552087927029734	-0.8251905556775563	0.03142123717815859	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	POMP
-0.3995332015042985	0.19745127126190748	-2.023452160884501	9	0.03685497787383415	0.0737099557476683	-0.8461990090930338	0.04713260608443687	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA3
-0.39881973357682643	0.19734952234017605	-2.020880156423036	9	0.03700836789227224	0.07401673578454449	-0.8452553691134601	0.047615901959807194	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA4
-0.387735556404182	0.19583043486335877	-1.9799555501918054	9	0.03953263130397925	0.0790652626079585	-0.8307347773242164	0.05526366451585235	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA5
-0.3953044619936166	0.1988241901826159	-1.9882111006238103	9	0.039010555699386947	0.07802111139877389	-0.8450760279527737	0.05446710396554055	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA6
-0.3942848121067182	0.19383672589970105	-2.034107882686468	9	0.03622594686087467	0.07245189372174934	-0.8327739500140792	0.044204325800642874	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA7
-0.4164867953467106	0.19844760500352954	-2.0987242216367545	9	0.03262661708663929	0.06525323417327858	-0.8654064664455938	0.032432875752172574	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA8
-0.3989174116755927	0.19597125927485884	-2.0355914084120488	9	0.03613919069072934	0.07227838138145869	-0.8422351995467987	0.04440037619561338	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB1
-0.3808902725277279	0.1990121491688005	-1.9139046240069486	9	0.04395521588648242	0.08791043177296484	-0.8310870312537948	0.06930648619833896	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB10
-0.3946815114358002	0.1972412375627894	-2.00100910089939	9	0.038214187002795774	0.07642837400559155	-0.8408721897876466	0.05150916691604618	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB2
-0.4017479909623609	0.19356471763780914	-2.0755228321831685	9	0.03387751762828149	0.06775503525656298	-0.8396218034317429	0.03612582150702104	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB3
-0.4210520603724488	0.1905211316871114	-2.2100018861106348	9	0.027222536599481054	0.05444507319896211	-0.8520408030828679	0.009936682337970293	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB4
-0.4031777617591028	0.19249498174535143	-2.0944845320303482	9	0.03285182464683502	0.06570364929367004	-0.8386316635170592	0.03227613999885365	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB5
-0.39666504945959513	0.19112114974692737	-2.0754639137784503	9	0.03388075225197305	0.0677615045039461	-0.8290111273218352	0.03568102840264492	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB6
-0.39786496184741216	0.19630088115381447	-2.0268118997166353	9	0.03665552486872844	0.07331104973745688	-0.8419284062131127	0.0461984825182884	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB7
-0.3917807835470484	0.20315419012186978	-1.928489800343393	9	0.042940081407074775	0.08588016281414955	-0.8513474898837043	0.06778592278960766	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB8
-0.39318261238258145	0.20277868217521616	-1.9389740980900638	9	0.04222411025693758	0.08444822051387516	-0.8518998607280274	0.06553463596286446	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB9
-0.3851187044680593	0.19144262668011924	-2.0116664253230954	9	0.037562885734416705	0.07512577146883341	-0.8181920136773937	0.047954604741275164	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMC1
-0.39259682141443397	0.19649005513642445	-1.9980493218440556	9	0.03839697208371579	0.07679394416743159	-0.8370882070599108	0.05189456423104283	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMC2
-0.3988973713390225	0.18661879148445423	-2.1374984167778814	9	0.030634994605068886	0.06126998921013777	-0.8210584072083252	0.02326366453028028	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMC3
-0.39982472164861704	0.19190087022983562	-2.0834961361548565	9	0.033442514454973093	0.06688502890994619	-0.8339346497862485	0.0342852064890144	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMC4
