analysis	cohort	gene	measured	donors_with_at_least_10_counts	total_raw_count
GSE178265_primary_adjusted	GSE178265	ADRM1	True	12	11806
GSE178265_primary_adjusted	GSE178265	PAAF1	True	12	19199
GSE178265_primary_adjusted	GSE178265	POMP	True	12	27273
GSE178265_primary_adjusted	GSE178265	PSMA1	False	0	0
GSE178265_primary_adjusted	GSE178265	PSMA2	False	0	0
GSE178265_primary_adjusted	GSE178265	PSMA3	True	13	21112
GSE178265_primary_adjusted	GSE178265	PSMA4	True	13	18789
GSE178265_primary_adjusted	GSE178265	PSMA5	True	12	20890
GSE178265_primary_adjusted	GSE178265	PSMA6	True	14	33363
GSE178265_primary_adjusted	GSE178265	PSMA7	True	12	28510
GSE178265_primary_adjusted	GSE178265	PSMA8	True	9	555
GSE178265_primary_adjusted	GSE178265	PSMB1	True	13	26304
GSE178265_primary_adjusted	GSE178265	PSMB10	True	7	158
GSE178265_primary_adjusted	GSE178265	PSMB11	False	0	4
GSE178265_primary_adjusted	GSE178265	PSMB2	True	13	20951
GSE178265_primary_adjusted	GSE178265	PSMB3	True	11	9292
GSE178265_primary_adjusted	GSE178265	PSMB4	True	11	11566
GSE178265_primary_adjusted	GSE178265	PSMB5	True	12	22306
GSE178265_primary_adjusted	GSE178265	PSMB6	True	11	11878
GSE178265_primary_adjusted	GSE178265	PSMB7	True	14	38472
GSE178265_primary_adjusted	GSE178265	PSMB8	True	7	163
GSE178265_primary_adjusted	GSE178265	PSMB9	True	6	189
GSE178265_primary_adjusted	GSE178265	PSMC1	True	12	22594
GSE178265_primary_adjusted	GSE178265	PSMC2	True	12	16161
GSE178265_primary_adjusted	GSE178265	PSMC3	True	12	21441
GSE178265_primary_adjusted	GSE178265	PSMC4	True	12	11523
GSE178265_primary_adjusted	GSE178265	PSMC5	True	11	15470
GSE178265_primary_adjusted	GSE178265	PSMC6	True	14	33523
GSE178265_primary_adjusted	GSE178265	PSMD1	True	14	104953
GSE178265_primary_adjusted	GSE178265	PSMD10	True	11	5282
GSE178265_primary_adjusted	GSE178265	PSMD11	True	14	51450
GSE178265_primary_adjusted	GSE178265	PSMD12	True	14	43951
