logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	contrast
-0.118861201	0.0187552572777778	-0.709401402704332	0.488372314635366	0.989586732123899	-5.00317403094716	0610005C13RIK	SN_MPTP10_vs_control
-0.0574234306666667	0.0005629995	-0.331042625476124	0.744944987414105	0.995548550606111	-5.1444801272934	0610006L08RIK	SN_MPTP10_vs_control
-0.101800918	0.0331669657777778	-0.518912419027666	0.610985444218859	0.995548550606111	-5.08661722237559	0610007P14RIK	SN_MPTP10_vs_control
-0.00835323333333338	-0.0317370887222222	-0.0493429139163634	0.961261968805762	0.998880421415518	-5.18373562780851	0610009B22RIK	SN_MPTP10_vs_control
0.5822444	-0.0730758516666667	1.72085523090303	0.104719288258032	0.929869715610594	-4.21222772820347	0610009L18RIK	SN_MPTP10_vs_control
0.328921560333333	-0.01869643575	2.18152809154792	0.0445443526547239	0.906059736516783	-3.71664258344835	0610009O20RIK	SN_MPTP10_vs_control
-0.0992461861666667	-0.0413757824444444	-0.513781866905959	0.614486757895563	0.995548550606111	-5.08852508719559	0610010F05RIK	SN_MPTP10_vs_control
0.0973238935	0.0110121823888889	0.536923499511851	0.598771362335525	0.995548550606111	-5.07977623288996	0610011F06RIK	SN_MPTP10_vs_control
-0.019835157	-0.00324349972222222	-0.0746729803230401	0.94140848881372	0.998880421415518	-5.18257988729123	0610012G03RIK	SN_MPTP10_vs_control
0.0197567143333333	0.0199346408333333	0.17729024180092	0.86152443138968	0.996000964650736	-5.17307853016806	0610025J13RIK	SN_MPTP10_vs_control
0.198507469833333	0.00198857013888889	1.08129392992193	0.295731532026074	0.977781559790243	-4.77402686804991	0610030E20RIK	SN_MPTP10_vs_control
-0.0294579653333334	0.0501131214444444	-0.170497121327877	0.866774861687753	0.996000964650736	-5.17394587355651	0610033M10RIK	SN_MPTP10_vs_control
0.173232833666667	-0.00787823122222223	1.20972917195598	0.244103183743744	0.971061967769675	-4.67651614406922	0610037L13RIK	SN_MPTP10_vs_control
0.0909150436666667	0.0213974965	0.371577267654942	0.715124114690263	0.995548550606111	-5.13410440302695	0610038B21RIK	SN_MPTP10_vs_control
0.0929887333333334	-0.040588181	0.489755383733739	0.631010974833996	0.995548550606111	-5.09721779059264	0610039K10RIK	SN_MPTP10_vs_control
-0.31966098	0.0269963262222222	-2.14478007717571	0.0478091807725556	0.906059736516783	-3.75806680298748	0610040A22RIK	SN_MPTP10_vs_control
0.2405166395	0.0559915256388889	0.963642908220358	0.349686394024199	0.985827928738414	-4.85542690049932	0610040B10RIK	SN_MPTP10_vs_control
0.29922739	0.115627461333333	0.923678264513148	0.369491626894701	0.988454252214096	-4.88126401824539	0610040F04RIK	SN_MPTP10_vs_control
0.334583597666667	0.0119472874444444	1.8570176434725	0.0819756652255043	0.921899796767281	-4.07178316906547	0610040J01RIK	SN_MPTP10_vs_control
0.0155692896666667	-0.0211699356111111	0.092924028510832	0.927127413991768	0.998850116055579	-5.1814547907512	0610042E11RIK	SN_MPTP10_vs_control
-0.246553417333333	-0.00093909011111111	-1.20639540147111	0.245349871601642	0.971199993526082	-4.67915613586139	0710001A04RIK	SN_MPTP10_vs_control
0.231705188666667	0.00561213733333334	0.916093593345721	0.373335217306682	0.988454252214096	-4.88606082410999	0710001D07RIK	SN_MPTP10_vs_control
-0.271977506666667	0.076382425	-0.89056713570084	0.38646963409591	0.988454252214096	-4.90195175087038	1010001B22RIK	SN_MPTP10_vs_control
-0.124603748666667	0.010667113	-0.780196066454716	0.446761693538153	0.989203133655289	-4.96607659784047	1010001I08RIK	SN_MPTP10_vs_control
-0.312600781333333	0.0165839216666667	-1.47973206558723	0.158530242307973	0.948421876384959	-4.4450084580016	1110002L01RIK	SN_MPTP10_vs_control
-0.33163111	0.119261199444444	-1.16669718669796	0.260573399671908	0.972248985763761	-4.71015440904446	1110003F02RIK	SN_MPTP10_vs_control
-0.0758670558333333	0.0161649648611111	-0.673612698388914	0.510254191727465	0.989844531758761	-5.02069448913611	1110004E09RIK	SN_MPTP10_vs_control
-0.0756095256666667	-0.0447979502222222	-0.362961554981746	0.721424758558193	0.995548550606111	-5.13640787866641	1110004F10RIK	SN_MPTP10_vs_control
0.359951623333333	0.0139734914166667	1.58045362852397	0.133734331875373	0.940779237952412	-4.35046588380214	1110004M10RIK	SN_MPTP10_vs_control
0.37864368	-0.0743266516666667	1.0018194438825	0.331468884774718	0.983907808439945	-4.82987545612366	1110006E14RIK	SN_MPTP10_vs_control
0.158470392	0.116291482166667	0.538464648943944	0.597731903126783	0.995548550606111	-5.07918053227595	1110006O24RIK	SN_MPTP10_vs_control
-0.117893219	0.0170617099444444	-0.749157663935683	0.464727416797374	0.989203133655289	-4.98273649532966	1110008E08RIK	SN_MPTP10_vs_control
