gene	logFC_20141	P.Value_20141	adj.P.Val_20141	logFC_7621	P.Value_7621	adj.P.Val_7621	z_20141	z_7621	meta_z	meta_p	meta_FDR
A1BG	0.723552819288246	0.288596525879112	0.641640509651419	-0.106168282243528	0.751223185955397	0.937215032403169	1.06120548800076	-0.317026906654729	0.526213721283565	0.598739721492602	0.818362881903395
A1BG-AS1	0.919283343871667	0.199047164991329	0.566149025643324	0.277384963725144	0.504875332163109	0.838831624227235	1.28427095743985	0.666838446132119	1.37964269010258	0.167696686448642	0.48162326802797
A1CF	1.2787597649172	0.109365217223415	0.471490427708384	0.192388623594103	0.584960439979683	0.875672135748451	1.60105283570794	0.54615348087186	1.51830414706017	0.128937742722608	0.435338210128125
A2M	0.0731892601622343	0.92504956902848	0.973810066590559	-0.106675849754448	0.604299047170513	0.883927546498852	0.0940750130580488	-0.518228220651527	-0.299921609351374	0.764236950801602	0.901551257248834
A2M-AS1	0.424311637894188	0.524379191058907	0.797315761323686	0.295549895510347	0.2331026686616	0.668469166106654	0.636609568393073	1.19240452044269	1.2933082651015	0.195904463207631	0.512677207388498
A2ML1	0.563170406525485	0.422465912091031	0.734277602210921	0.256425233066199	0.441874414574031	0.807997927269916	0.802150489331998	0.769031830730063	1.1109936729963	0.266571072696559	0.580487623597145
A2MP1	0.766866042657082	0.264367686783629	0.6226232424442	0.163212381186656	0.711252485825743	0.923815295436397	1.11612720922822	0.370174485782981	1.05097400743148	0.293270527909064	0.602832252485608
A4GALT	1.76111450327826	0.00746659096841087	0.301601076656178	-0.146367266969973	0.651008183829826	0.903162224751605	2.67528426984071	-0.452362046877529	1.57184337790754	0.115986878737181	0.418651573936045
A4GNT	1.12941568461161	0.182061886911748	0.549640195379716	0.121566636855663	0.648611691810705	0.902207322611135	1.33443331782982	0.455691699328607	1.26580953880441	0.205581279193311	0.521310606280222
AA06	1.7081594726825	0.0293151376344126	0.357776324785414	0.181238335861314	0.461939806239345	0.816264746572593	2.17922257551592	0.73565643856082	2.06113071719202	0.0392905710342001	0.287937804536456
