analysis	gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
equal_backbones_at_least_8_runs	DLG4	7	5	5	-0.686021082102	0.621565751446	0.245345503631	4.36760956029	-1.34518310462	-0.0268590595809	0.0443718766171	0.136886500021
equal_backbones_at_least_8_runs	MAP2	9	5	5	0.733441331711	1.66260024784	0.33603521865	4.07018236406	-0.193231543541	1.66011420696	0.0932915923776	0.213677573486
equal_backbones_at_least_8_runs	NAA25	3	5	4	-1.16809970193	0.445007111963	0.159518347759	5.9030658433	-1.55998600888	-0.776213394981	0.000356996137658	0.0213345590209
equal_backbones_at_least_8_runs	SNAP25	5	5	5	-0.461443653178	0.726259153443	0.252432644945	6.58570897655	-1.06604910776	0.143161801406	0.112934287809	0.240324707411
equal_backbones_at_least_8_runs	SNCG	6	5	5	0.110617126166	1.07968998513	0.265519083319	4.92761897677	-0.574947961316	0.796182213649	0.694490173903	0.799073848646
equal_backbones_at_least_8_runs	SYN1	8	5	5	-0.528345690206	0.693349328321	0.348946155387	4.29570631916	-1.47143192987	0.41474054946	0.199738187687	0.343330614194
equal_backbones_at_least_8_runs	SYP	4	5	5	-1.52357064072	0.347823993137	0.146658729746	6.91907398976	-1.87118737381	-1.17595390763	1.80255527968e-05	0.0139943337384
equal_backbones_at_least_8_runs	SYT1	17	5	5	-1.2434733127	0.422354605335	0.256589312677	6.41123524498	-1.86169065952	-0.625255965873	0.00238335575663	0.0356095474017
equal_backbones_at_least_8_runs	TUBB3	10	5	5	-0.459887908463	0.72704274473	0.333192916752	4.10418334126	-1.37579165406	0.456015837134	0.237928519699	0.384529844022
equal_backbones_complete_10_runs	DLG4	4	5	5	-0.70950117334	0.611531545622	0.233791984026	4.27774638625	-1.34232350938	-0.076678837296	0.0353756608444	0.119358682571
equal_backbones_complete_10_runs	MAP2	4	5	5	0.312767487263	1.24208808385	0.480228094371	4.19670422209	-0.996270826946	1.62180580147	0.548809357047	0.683016364239
equal_backbones_complete_10_runs	SNCG	2	5	5	0.262924089127	1.19990824465	0.313865537938	5.52640812274	-0.521316578761	1.04716475702	0.436921347952	0.587676711386
equal_backbones_complete_10_runs	SYN1	4	5	5	-0.92235130461	0.527648357739	0.499230681336	4.34418141948	-2.26618407162	0.421481462399	0.13269210019	0.266237917937
equal_backbones_complete_10_runs	SYT1	14	5	5	-1.4404770936	0.36844544071	0.279622463936	7.02646342107	-2.10117466889	-0.779779518307	0.0013065258561	0.0375301045884
equal_backbones_complete_10_runs	TUBB3	8	5	5	-0.729394280839	0.603157097724	0.307139978247	4.23432232171	-1.56385910568	0.105070544001	0.0728468144156	0.183419372398
