gene	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
NAA25	5	4	-1.17757295563	0.442094608204	0.160831085396	5.95685801951	-1.57180436739	-0.783341543871	0.000342682877313	0.0215757164464	3	3	9	5	4
PSMA4	5	5	-0.220374126492	0.85834281806	0.158242374722	4.42958824378	-0.643420814617	0.202672561634	0.229574726682	0.375085690714	11	7	10	5	5
PSMB4	5	5	-0.617536084321	0.651783129573	0.378968777853	4.95361299213	-1.59445655652	0.359384387875	0.164678596987	0.302503795596	11	6	10	5	5
PSMC5	5	5	0.433568396027	1.35056998072	0.144592982754	7.59551379363	0.0970202125847	0.770116579468	0.018161730634	0.0848475025655	20	15	10	5	5
PSMD1	5	5	0.0596048976564	1.04218030601	0.0773175637795	7.63098591795	-0.120201681922	0.239411477235	0.463957453726	0.601312901845	32	25	10	5	5
PSMD2	5	5	-0.131227078538	0.91305452497	0.0642532451062	5.24649232052	-0.294088343623	0.0316341865464	0.0939266071087	0.213344876469	43	26	10	5	5
PSMD4	5	5	0.48896028483	1.40343309116	0.276049861645	5.02181647589	-0.219722246456	1.19764281612	0.136468341406	0.269649009235	7	5	10	5	5
PSMG1	5	4	1.0450682463	2.0634639679	0.509741056151	6.99140832865	-0.160578155642	2.25071464824	0.0795570141376	0.193154838953	2	2	9	5	4
SNCA	5	4	-0.852912454952	0.553665888557	0.340355621399	4.06312209277	-1.79212948334	0.0863045734406	0.06538147426	0.173084407504	1	1	9	5	4
SNCG	5	5	0.0504383810379	1.03557954991	0.313043175371	4.2505144603	-0.798874557689	0.899751319765	0.879367767824	0.922303650466	8	6	10	5	5
