excluded_run	contrast	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided
NTC_01	NAA25_manipulation	4	4	-1.24944788561	0.42060914249	0.153425768675	5.18307787098	-1.63968790099	-0.859207870237	0.000381829113026
NTC_01	SNCA_relative_to_proteasome	4	4	-0.716416780884	0.608607163108	0.407271615342	4.47210200558	-1.80162723066	0.368793668897	0.145773168913
NTC_01	SNCA_relative_to_neuronal_identity	4	4	-0.373020190446	0.772164326614	0.385434367907	4.81150932087	-1.37559980227	0.629559421381	0.379240006897
NTC_02	NAA25_manipulation	4	4	-1.18569653106	0.439612242568	0.178995777317	5.99582675828	-1.62375732682	-0.747635735298	0.000572028872846
NTC_02	SNCA_relative_to_proteasome	4	4	-0.838655557782	0.559164409577	0.420103074951	4.84140008743	-1.92929269532	0.251981579755	0.104287819522
NTC_02	SNCA_relative_to_neuronal_identity	4	4	-0.399822090801	0.757951746024	0.38628466858	4.83672214135	-1.40296596126	0.60332177966	0.349597453826
NTC_03	NAA25_manipulation	4	4	-1.16944357355	0.444592780476	0.178995337943	5.99582516511	-1.60750332226	-0.731383824839	0.00061590571037
NTC_03	SNCA_relative_to_proteasome	4	4	-0.693899995029	0.618180480111	0.398098235154	4.18568648655	-1.78012602802	0.392326037963	0.153095562862
NTC_03	SNCA_relative_to_neuronal_identity	4	4	-0.262677165294	0.833539709111	0.347327613326	3.50569525054	-1.28307927233	0.757724941742	0.497095306652
NTC_04	NAA25_manipulation	4	4	-1.18579521908	0.439582171778	0.178988267026	5.99579948258	-1.62383811816	-0.747752320008	0.000571655644485
NTC_04	SNCA_relative_to_proteasome	4	4	-0.858105485508	0.551676531623	0.416632643129	4.74568803847	-1.94658842962	0.2303774586	0.0974910989447
NTC_04	SNCA_relative_to_neuronal_identity	4	4	-0.454761930763	0.729630563648	0.378254074782	4.58950223988	-1.45384452378	0.544320662258	0.287595923269
NTC_05	NAA25_manipulation	4	4	-1.09748156884	0.467331578452	0.146486946052	4.67456223173	-1.48206156055	-0.712901577124	0.000895138992413
NTC_05	SNCA_relative_to_proteasome	4	4	-0.910877869742	0.531861358862	0.399188816741	4.22052734091	-1.9967340093	0.174978269814	0.0811470086036
NTC_05	SNCA_relative_to_neuronal_identity	4	4	-0.478548953947	0.717699114616	0.370535748377	4.33476468139	-1.47673258022	0.51963467233	0.261095008412
NAA25_06	NAA25_manipulation	5	3	-1.10968215009	0.463396113635	0.181908483884	3.62275753451	-1.63617423286	-0.583190067318	0.00501304758644
NAA25_06	SNCA_relative_to_proteasome	5	3	-0.936459817409	0.522513487466	0.505756127103	2.50862119166	-2.73992591749	0.867006282668	0.178906285808
NAA25_06	SNCA_relative_to_neuronal_identity	5	3	-0.442554723496	0.735830446177	0.490388901916	2.42859550734	-2.23295649252	1.34784704553	0.447217526432
NAA25_07	NAA25_manipulation	5	4	-1.17757295563	0.442094608204	0.160831085396	5.95685801951	-1.57180436739	-0.783341543871	0.000342682877313
NAA25_07	SNCA_relative_to_proteasome	5	3	-1.02710078039	0.490695252897	0.437246282406	2.71361555141	-2.50549689794	0.451295337161	0.109573628946
NAA25_07	SNCA_relative_to_neuronal_identity	5	3	-0.646239682836	0.638943521593	0.343156068182	2.99215741886	-1.73993654037	0.447457174698	0.156437563528
NAA25_08	NAA25_manipulation	5	3	-1.10060364574	0.466321338939	0.174529281597	3.81097539175	-1.5948022277	-0.606405063791	0.00379919706397
NAA25_08	SNCA_relative_to_proteasome	5	4	-0.803591137789	0.572921292847	0.399607345278	4.28120332693	-1.88492122322	0.27773894764	0.11004248497
NAA25_08	SNCA_relative_to_neuronal_identity	5	4	-0.39376606625	0.761140099676	0.366121524566	4.22569291587	-1.38922463454	0.601692502035	0.33968163097
NAA25_09	NAA25_manipulation	5	3	-1.22881914468	0.426666532344	0.192501105654	3.39917594427	-1.80268850379	-0.654949785577	0.00528499305542
NAA25_09	SNCA_relative_to_proteasome	5	3	-0.773897434014	0.584835408441	0.53789775986	2.44236498446	-2.72955172508	1.18175685705	0.265091454888
NAA25_09	SNCA_relative_to_neuronal_identity	5	3	-0.378707582182	0.769126292958	0.494760978038	2.42015776191	-2.18975918547	1.4323440211	0.511651096651
NAA25_10	NAA25_manipulation	5	3	-1.271186882	0.414318779267	0.157422631921	4.38257862994	-1.6936182414	-0.848755522604	0.000860652800618
NAA25_10	SNCA_relative_to_proteasome	5	3	-0.476906519341	0.718516643664	0.278660640009	4.24958480488	-1.23299724223	0.279184203548	0.157951889407
NAA25_10	SNCA_relative_to_neuronal_identity	5	3	-0.107562276488	0.928155042323	0.285336157409	3.59150614862	-0.936615820792	0.721491267816	0.727397610926
