gene	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
1-Mar	5	5	-0.013845148561	0.99044917593	0.185158097329	7.43361894288	-0.446549966997	0.418859669875	0.942366697498	0.966381624774	1	1	10	5	5
11-Sep	5	5	-0.466400753877	0.723768008958	0.185236819592	4.41969277517	-0.962000851805	0.0291993440501	0.0596744476917	0.163542790727	10	7	10	5	5
14-Sep	4	5	1.55015569334	2.92848741251	0.98936650953	5.70437677324	-0.901476527438	4.00178791412	0.170740161687	0.309445106216	1	1	9	4	5
2-Sep	5	5	-0.25592971136	0.837447287258	0.0641787610646	6.17952186084	-0.411870200273	-0.0999892224473	0.00679791842173	0.0530326203137	18	11	10	5	5
3-Sep	5	5	0.109099106485	1.07855452086	0.172400494796	4.48852866131	-0.349699052467	0.567897265437	0.557668699526	0.682115917451	17	9	10	5	5
4-Sep	5	4	0.00228557487648	1.00158549535	0.324298506221	4.11198845261	-0.88852241246	0.893093562213	0.994705483736	0.997358621278	1	1	9	5	4
5-Mar	5	5	-2.00386812714	0.249330602434	0.689597811007	4.56228744942	-3.82893180336	-0.178804450922	0.0374322173549	0.125637449768	8	6	10	5	5
5-Sep	5	5	-0.230806707402	0.852158259777	0.11442098224	5.31326776625	-0.519794974115	0.0581815593113	0.0963802120463	0.216519490309	11	7	10	5	5
6-Sep	5	5	0.146750405544	1.10707303798	0.270501773521	4.27442742569	-0.585643616758	0.879144427847	0.614521977273	0.731467830078	18	12	10	5	5
7-Sep	5	5	-0.338795493612	0.790701192947	0.100416066909	7.38274032882	-0.573768978629	-0.103822008596	0.0109517993803	0.0666714804381	16	13	10	5	5
9-Sep	5	5	-0.00670909469035	0.995360406253	0.0733259390044	5.75311473674	-0.188014238675	0.174596049294	0.930199979944	0.958677658105	20	11	10	5	5
A2M	5	5	-1.64886808692	0.318890254375	0.299572228741	7.87860722837	-2.34154000985	-0.956196163984	0.000602052765208	0.0249161470078	13	8	10	5	5
AAAS	5	5	0.406326040426	1.32530649452	0.2490980085	5.98785550926	-0.203494617631	1.01614669848	0.154071754308	0.29043781182	3	3	10	5	5
AADAT	5	4	-1.16609541934	0.445625773444	0.137842917506	3.81755539351	-1.55613106822	-0.776059770448	0.00131063787544	0.0322170818477	2	2	9	5	4
AAGAB	5	5	-0.126192204098	0.916246568927	0.0991595450175	7.05563367533	-0.360292996783	0.107908588586	0.243483655136	0.389211469992	1	1	10	5	5
AAMP	5	5	-1.16876274053	0.444802641099	0.183733574882	6.39719219245	-1.61166214577	-0.725863335287	0.00054925497254	0.0238239344339	1	1	10	5	5
AAR2	5	5	0.171213738101	1.12600539369	0.107649457408	6.40506367307	-0.0882091971295	0.430636673331	0.15970818507	0.297090153753	1	1	10	5	5
AARS	5	5	-0.118855345722	0.920918029992	0.0491070417296	5.83058319617	-0.239867382432	0.0021566909879	0.0530272168217	0.15303403806	30	23	10	5	5
AARS2	5	5	0.312963135593	1.24225653867	0.0781184529617	7.94230814055	0.132593639582	0.493332631603	0.00397376671412	0.0422775038854	11	9	10	5	5
AARSD1	5	5	0.630015287376	1.54758139225	0.349162989846	4.26856401614	-0.315829320896	1.57585989565	0.140975184476	0.274348169616	4	3	10	5	5
AASDHPPT	5	5	0.0663315251641	1.04705086215	0.136775129778	5.85888249498	-0.270308926474	0.402971976802	0.645296794634	0.754518880402	22	13	10	5	5
AASS	5	5	-0.371841204772	0.772795605393	0.310250415055	4.33342446225	-1.20771498755	0.464032578001	0.292123261318	0.443394357943	6	5	10	5	5
ABAT	5	5	-0.995864047704	0.501435468471	0.235457397374	7.9458001526	-1.53947513009	-0.452252965319	0.00292284005699	0.0375639073991	23	16	10	5	5
ABCA3	5	5	-0.288846146787	0.818556470189	0.17646666466	7.16166721514	-0.704221550402	0.126529256828	0.144710415977	0.279134190466	9	9	10	5	5
ABCB10	5	4	-1.09634054854	0.467701334864	0.403165008138	6.77655909329	-2.05608369039	-0.136597406685	0.0307433362045	0.112842302375	1	1	9	5	4
ABCB6	5	4	-0.146386433049	0.903510684501	0.167735712531	4.92156956231	-0.579639754761	0.286866888662	0.423341722565	0.566674928929	1	1	9	5	4
ABCB7	5	5	-0.340680239052	0.789668890624	0.155936093043	4.99747101647	-0.741587747528	0.0602272694237	0.0806568038518	0.194985445968	16	13	10	5	5
ABCB8	5	4	-0.596115785965	0.661532625388	0.203662986429	6.71813639924	-1.0818286258	-0.110402946127	0.0231712981829	0.0967867665005	1	1	9	5	4
ABCC10	5	4	-0.553752742878	0.681245763014	0.577822528015	3.8567264142	-2.18182506338	1.07431957763	0.394031447006	0.54027875196	1	1	9	5	4
ABCD3	5	4	-0.400475495428	0.757608543179	0.117181979898	5.53092754883	-0.693208580095	-0.10774241076	0.0161150953915	0.0793503827416	7	6	9	5	4
ABCE1	5	5	0.214897746165	1.16062165014	0.109932539835	4.87906813831	-0.0698126143121	0.499608106643	0.109425500842	0.234944518942	12	11	10	5	5
ABCF1	5	5	1.54024251057	2.90843388826	0.408739688626	5.01497237011	0.490486498071	2.58999852307	0.0129742087711	0.0719000685092	5	5	10	5	5
ABCF2	5	5	0.706946732839	1.63234582175	0.227381900888	7.66221342337	0.178552175248	1.23534129043	0.0152613071848	0.0777017570096	2	2	10	5	5
ABCF3	5	5	0.329216236422	1.25633067048	0.191023431576	7.86399743053	-0.112614160742	0.771046633587	0.123754535738	0.254563023581	1	1	10	5	5
ABHD10	5	5	-0.664945031608	0.630712734861	0.301826953032	4.98597310292	-1.44147289168	0.11158282846	0.0789411459689	0.19228051267	16	9	10	5	5
ABHD11	5	4	0.404001107406	1.32317245557	0.213542796014	4.352874946	-0.170405967301	0.978408182112	0.125657989713	0.256606243367	3	3	9	5	4
ABHD12	5	5	-0.14689685958	0.903191078321	0.169352739629	6.14674508656	-0.558901764031	0.26510804487	0.418292779622	0.561884807619	14	10	10	5	5
ABHD14A	5	5	-0.600117670384	0.659700146138	0.376903545201	6.16118083897	-1.51655049693	0.316315156163	0.161149032758	0.298733905326	1	1	10	5	5
ABHD16A	5	5	-0.747039573289	0.595824943517	0.645058245598	4.21250947496	-2.50293293943	1.00885379285	0.308237665208	0.459049226726	8	8	10	5	5
ABHD6	5	5	0.674454944466	1.59599368647	0.387386896763	4.04858278791	-0.396032455668	1.7449423446	0.155787694627	0.292572144239	8	7	10	5	5
ABI2	5	5	-0.133527677513	0.911599679496	0.147860092105	5.96374485314	-0.495862118182	0.228806763156	0.401492267103	0.546344379156	8	6	10	5	5
ABL2	5	4	-0.475564120862	0.71918551997	0.3242517073	5.81592880478	-1.2751064242	0.323978182473	0.194357670928	0.335918564582	1	1	9	5	4
ABLIM1	4	5	0.466943201138	1.38217778916	0.442918585788	5.93408771741	-0.61976427919	1.55365068147	0.33279299643	0.485520442076	1	1	9	4	5
ABR	5	5	-0.117048494054	0.922072123305	0.171420783385	7.00202771435	-0.522370441056	0.288273452949	0.51667145718	0.648921123439	4	3	10	5	5
ABRACL	5	4	-2.59118191374	0.165949718381	0.963512349012	3.29267077111	-5.50894062266	0.326576795172	0.0673501280502	0.17473737578	1	1	9	5	4
ACAA1	5	5	-0.136060942696	0.910000382798	0.221333224559	5.00002077632	-0.70501539829	0.432893512898	0.565625296889	0.689615854304	13	7	10	5	5
ACAA2	5	5	0.0432408600957	1.03042597042	0.164489933878	7.21603549567	-0.343367841341	0.429849561533	0.799992315464	0.867700248872	21	13	10	5	5
ACACA	5	5	0.0742103011966	1.0527846076	0.0793107700757	7.38525069901	-0.111364782062	0.259785384455	0.379013034324	0.52493945282	28	25	10	5	5
ACAD10	5	4	-0.325007940261	0.798293992719	0.099885166386	3.98544058671	-0.60273363022	-0.0472822503006	0.0314290630897	0.114335889998	2	2	9	5	4
ACAD8	5	5	0.17366574097	1.12792077842	0.387484861486	7.31852911101	-0.734567850809	1.08189933275	0.666986926201	0.772554467986	4	4	10	5	5
