gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
11-Sep	7	5	5	-0.464464979241	0.724739795846	0.20993096199	4.39207465463	-1.02736909993	0.0984391414432	0.0853381830725	0.203157110291
2-Sep	11	5	5	-0.316578014164	0.802972222374	0.0719350887508	5.87932370559	-0.493476327741	-0.139679700588	0.00479023379733	0.0459680701256
3-Sep	9	5	5	0.103323654774	1.07424544123	0.220069829737	4.25627862006	-0.493448764477	0.700096074025	0.661759585098	0.773646406923
5-Mar	6	5	5	-1.91764126363	0.264686906816	0.686792466039	4.40054885244	-3.75794439241	-0.0773381348431	0.04418941758	0.136886500021
5-Sep	7	5	5	-0.207409267582	0.866091126503	0.15672238986	5.72459759759	-0.595411929904	0.180593394739	0.23609148914	0.382987930306
6-Sep	12	5	5	-0.0169751328603	0.98830268632	0.184358777109	5.37515626559	-0.481106579799	0.447156314079	0.929971410564	0.953671811412
7-Sep	13	5	5	-0.322359638006	0.799760737469	0.108819075892	6.3538867863	-0.5850764165	-0.0596428595121	0.0235501758026	0.0982228180414
9-Sep	11	5	5	-0.104294166179	0.930259957933	0.0911102127209	5.57653209921	-0.331401584099	0.122813251742	0.299073791694	0.446099515734
A2M	8	5	5	-1.48056372473	0.35834876194	0.302097330278	7.62811710337	-2.1831575089	-0.777969940564	0.0013682381715	0.0290115650615
AAAS	3	5	5	0.423638533999	1.34130611968	0.254610641886	5.8834306225	-0.202375700405	1.0496527684	0.148176480524	0.283158617126
AADAT	2	5	4	-1.15662216563	0.448561540395	0.138709250301	3.78885727452	-1.55035428797	-0.762890043304	0.00142646898014	0.0298883234241
AARS	23	5	5	-0.135123547925	0.910591849993	0.0705427395288	4.68511839338	-0.320187161925	0.0499400660741	0.117462543201	0.246845617493
AARS2	9	5	5	0.278890806413	1.21326172836	0.0668387700332	7.97601672812	0.124679617865	0.433101994961	0.00313166526437	0.0384894502012
AARSD1	3	5	5	0.437439986892	1.3541992139	0.215060962018	5.68194743233	-0.0960187275067	0.970898701291	0.0908135507454	0.210866087337
AASDHPPT	13	5	5	0.0288555690113	1.02020251969	0.144133313833	5.16156835659	-0.338189622671	0.395900760694	0.848973768387	0.901823427078
AASS	5	5	5	-0.380273972975	0.768291675438	0.32145810388	4.17774439176	-1.25800683029	0.497458884339	0.299739656107	0.446525892167
ABAT	16	5	5	-0.937176561956	0.522253962294	0.209307372567	7.71803545865	-1.42292682837	-0.451426295543	0.00225541359531	0.0350281558816
ABCA3	9	5	5	-0.271533653214	0.828438408255	0.181572008978	7.08243881685	-0.699872203515	0.156804897087	0.177957832771	0.31873985121
ABCB7	13	5	5	-0.306130835089	0.808807995878	0.147119391726	5.23064140446	-0.67935222198	0.0670905518032	0.089497194733	0.209181232046
ABCD3	6	5	4	-0.392216195328	0.761958223226	0.124178191331	6.50811165024	-0.690410384046	-0.0940220066106	0.0175777828299	0.0843400121961
ABCE1	11	5	5	0.237160154682	1.17867024564	0.118150277944	6.26874812689	-0.0489651922746	0.523285501638	0.0894605974458	0.209181232046
ABCF1	5	5	5	1.55755500414	2.94354565464	0.411707073487	4.98271610404	0.498123144696	2.61698686359	0.0129310816585	0.0731453037585
ABCF2	2	5	5	0.724259226412	1.65205214733	0.228427888118	7.6042864418	0.192693880334	1.25582457249	0.0140767914962	0.0756387233508
ABHD10	9	5	5	-0.503662557058	0.705313932203	0.312476423267	4.5322289333	-1.33249632889	0.325171214778	0.173894513169	0.314484408136
ABHD11	3	5	4	0.413474361106	1.33188946925	0.21533771268	4.38168542217	-0.164409143918	0.991357866131	0.121032526549	0.251125053419
ABHD12	10	5	5	-0.215021836604	0.861533119465	0.160713753093	6.0057973884	-0.60818222453	0.178138551322	0.22935363579	0.37670197127
ABHD16A	8	5	5	-0.729727079715	0.603017978334	0.637215209942	4.2142135964	-2.46401160012	1.00455744069	0.312975441492	0.456632071827
ABHD6	7	5	5	0.661715241479	1.58196232452	0.400677219179	4.05848739284	-0.444448880964	1.76787936392	0.172954709875	0.31388363641
ABI2	6	5	5	-0.11556098924	0.923023325063	0.156744416106	5.99504596669	-0.49917759875	0.26805562027	0.48880421401	0.623507104399
ABR	3	5	5	-0.258321440679	0.836060100204	0.149095782511	7.99998810815	-0.60213702065	0.0854941392918	0.121404042425	0.251545766077
ACAA1	7	5	5	-0.0748630380107	0.949432250849	0.293401477276	4.20964183148	-0.87372363983	0.723997563809	0.810587887814	0.877228517955
ACAA2	13	5	5	0.0441263742894	1.03105863143	0.157123845919	7.99174958861	-0.318266983827	0.406519732406	0.785968021947	0.863784222755
ACACA	25	5	5	0.0995010690669	1.07140287245	0.0814496387056	7.66858785773	-0.0897444547681	0.288746592902	0.258070128997	0.406868355645
ACAD10	2	5	4	-0.31553468656	0.803553125518	0.0993427719815	3.90375990048	-0.594056967294	-0.037012405826	0.0348240058345	0.119836544859
ACAD8	4	5	5	0.190978234544	1.141537485	0.392156342055	7.218955009	-0.730652942975	1.11260941206	0.640700904205	0.75478760756
ACAD9	17	5	5	-0.656779459314	0.634292654765	0.163671699624	5.922280792	-1.05854713497	-0.255011783659	0.00720696179308	0.0542737825985
ACADM	15	5	5	0.0198512648143	1.01385495065	0.282725287037	5.05912460553	-0.704369972487	0.744072502116	0.946714456944	0.964140319827
ACADS	2	5	5	0.349349848197	1.27398637484	0.25493247425	7.9975291645	-0.238557107218	0.937256803611	0.20780247077	0.353254224194
ACADSB	10	5	5	-0.431346399505	0.741569390401	0.170137934853	4.70396763105	-0.877109498752	0.0144166997419	0.0552064298385	0.154773643774
ACADVL	21	5	5	-0.132487197562	0.912257367557	0.199715521676	4.76878986792	-0.653450036688	0.388475641563	0.537800641298	0.667704157074
ACAT1	17	5	5	-0.258143626724	0.836163152	0.179609064294	4.8133284032	-0.72528140179	0.208994148342	0.21232878656	0.357774948741
ACAT2	10	5	5	0.132249998738	1.09600167165	0.129188223946	7.86633247186	-0.166542022846	0.431042020322	0.336423968143	0.483265636006
ACBD3	6	5	5	0.07631326433	1.05432033175	0.197170892771	5.84587803301	-0.409246650754	0.561873179414	0.712422141363	0.811153312722
