gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
11-Sep	5	5	5	-0.539158949929	0.688171976792	0.185180550218	5.00523340528	-1.01503104412	-0.0632868557344	0.0332988471177	0.116679587894
2-Sep	8	5	5	-0.192397843754	0.87514996132	0.056662928531	6.92178329022	-0.326691917496	-0.058103770012	0.0117111071892	0.0722184943336
3-Sep	9	5	5	0.0904976169604	1.06473737025	0.257684999763	4.33093623289	-0.603897540665	0.784892774586	0.741868540219	0.821425830392
5-Sep	6	5	5	-0.0485271673355	0.966922947008	0.164136599422	6.56631917467	-0.441905982235	0.344851647564	0.776625490203	0.847225365398
6-Sep	7	5	5	0.0880026260295	1.06289760907	0.202104503011	4.42586169915	-0.452463898179	0.628469150238	0.683653806237	0.780324665225
7-Sep	11	5	5	-0.288201391482	0.818922373282	0.11762061035	5.90300979082	-0.577158839946	0.000756056982844	0.0504344847753	0.144587195866
9-Sep	9	5	5	-0.132628699358	0.912167896309	0.0840151579332	7.89165770765	-0.326831951223	0.0615745525076	0.153591050289	0.293598303661
A2M	2	5	5	-2.08216454552	0.236159823679	0.293161991754	6.08193738048	-2.79716996886	-1.36715912217	0.00036835233431	0.0267501523223
AAAS	2	5	5	0.788550915348	1.7273386021	0.22808357029	7.12914662661	0.251193254746	1.32590857595	0.0102872384428	0.068675967953
AARS	11	5	5	-0.0322895284222	0.977867209682	0.0806293559292	6.73549945652	-0.224475974917	0.159896918073	0.701208266907	0.790262078812
AARS2	4	5	5	0.439887601427	1.35649864021	0.141800245184	6.15371743905	0.0950050727088	0.784770130146	0.0203763102038	0.089680413659
AARSD1	2	5	5	0.605171814489	1.52115990154	0.226482415973	4.41572627384	-0.000970687641512	1.21131431662	0.0502382953618	0.144587195866
AASDHPPT	8	5	5	0.21629021651	1.16174240773	0.200418540976	4.67341830298	-0.30992127243	0.74250170545	0.333022149663	0.487256938817
AASS	2	5	5	-0.630457971435	0.645971324592	0.232482879131	5.46919404282	-1.21297813732	-0.0479378055522	0.0384562753618	0.126240675361
ABAT	5	5	5	-1.06790459011	0.477011320467	0.248088591372	7.76090947568	-1.64308025585	-0.492728924367	0.00278998373161	0.0444037879337
ABCA3	2	5	5	0.215205596705	1.16086933667	0.180638953626	7.23417527186	-0.209150606412	0.639561799822	0.271129081086	0.424282999291
ABCB7	7	5	5	-0.311029936214	0.806066105285	0.1544142687	4.40137283001	-0.724765394329	0.102705521901	0.10781130977	0.233484215505
ABCE1	3	5	5	0.71513097949	1.64163225147	0.285207523929	5.12278113417	-0.012764472204	1.44302643118	0.0528447222372	0.148659830727
ABCF1	2	5	5	1.76016929384	3.38737871994	0.463549395772	7.46614156304	0.677770816568	2.84256777111	0.00597635259785	0.055633091729
ABCF2	2	5	5	0.727199448479	1.65542247378	0.237861827051	7.31152298001	0.169567379561	1.2848315174	0.0174398782968	0.0852369316967
ABHD10	6	5	5	-0.712465160292	0.610276456501	0.289491136486	4.99024748276	-1.4570634579	0.0321331373178	0.0572478507036	0.157793002634
ABHD12	3	5	5	-0.173209578416	0.886867461721	0.272241516914	7.52924990991	-0.807897923668	0.461478766835	0.543473995198	0.679109176598
ABI2	4	5	5	-0.0397944398604	0.9727935445	0.110189283249	6.35250531794	-0.305832362893	0.226243483172	0.729698936305	0.812720805078
