run	condition	valid_precursors_before_filter	loading_offset_log2	valid_precursors_after_filter
NTC_01	NTC	39466	0	36167
NTC_02	NTC	39883	0.00507580421738	36435
NTC_03	NTC	38670	0.00926760100104	35747
NTC_04	NTC	39235	0.0270432667086	35604
NTC_05	NTC	40932	0.00260938112976	36324
NAA25_06	NAA25_KD	41199	-0.0258505012952	36505
NAA25_07	NAA25_KD	25496	0.249586162082	20366
NAA25_08	NAA25_KD	42982	-0.00158959001776	36213
NAA25_09	NAA25_KD	41925	-0.0383718098928	36549
NAA25_10	NAA25_KD	42622	-0.013236743532	36594
