beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	gene	FDR_BH
-0.548302567597	0.559197917287	-0.980516111821	9	0.176226101008	0.352452202016	-1.81329614161	0.716691006416	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	POMP	0.491699283333
-0.457354074222	0.206909172526	-2.21040985587	9	0.0272044240184	0.0544088480368	-0.925415140901	0.0107069924566	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMA4	0.16322654411
0.587565285172	0.510261304885	1.15149880962	9	0.860400970266	0.279198059469	-0.566725980573	1.74185655092	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMB4	0.418930762982
-0.369567128021	0.661437323737	-0.558733404901	9	0.294986307955	0.589972615911	-1.86584230766	1.12670805161	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMC5	0.639052591424
-0.21618238222	0.156341597262	-1.38275664318	9	0.100040290663	0.200080581327	-0.569851646311	0.13748688187	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD1	0.320128930123
-0.217733680033	0.399785420854	-0.544626363733	9	0.299621701072	0.599243402143	-1.1221111334	0.686643773334	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD2	0.639052591424
-0.561821229697	0.252818562817	-2.22223092892	9	0.0266846836984	0.0533693673968	-1.13373655246	0.0100940930667	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMD4	0.16322654411
-0.283193735363	0.314645536705	-0.900040529189	9	0.195772437354	0.391544874709	-0.994971389962	0.428583919236	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	PSMG1	0.494582999632
-0.833270108136	0.523840738057	-1.5906935975	12	0.0688317799745	0.137663559949	-1.97462102892	0.308080812645	pathway_score ~ PD	GSE178265_primary_unadjusted	GSE178265	POMP	0.28635554398
-0.751604070535	0.369534515597	-2.03392115976	12	0.0323400676738	0.0646801353477	-1.55675061412	0.053542473053	pathway_score ~ PD	GSE178265_primary_unadjusted	GSE178265	PSMA4	0.172480360927
0.382237264385	0.562737761799	0.679245805654	12	0.745064115216	0.509871769569	-0.843862990761	1.60833751953	pathway_score ~ PD	GSE178265_primary_unadjusted	GSE178265	PSMB4	0.5969230473
-0.451385866089	0.643101594412	-0.701888892846	12	0.248068481723	0.496136963447	-1.85258387077	0.949812138595	pathway_score ~ PD	GSE178265_primary_unadjusted	GSE178265	PSMC5	0.595364356136
-0.283254726999	0.149333541688	-1.8967924004	12	0.0410895012957	0.0821790025914	-0.608624563528	0.0421151095308	pathway_score ~ PD	GSE178265_primary_unadjusted	GSE178265	PSMD1	0.197229606219
-0.0754777593241	0.432641126836	-0.174458123933	12	0.432207085865	0.864414171729	-1.01812179712	0.867166278468	pathway_score ~ PD	GSE178265_primary_unadjusted	GSE178265	PSMD2	0.882805962617
-0.44230191908	0.282325952247	-1.56663571152	12	0.071588885995	0.14317777199	-1.05743732598	0.172833487824	pathway_score ~ PD	GSE178265_primary_unadjusted	GSE178265	PSMD4	0.28635554398
-0.362845064624	0.286912764742	-1.26465291619	12	0.115002711961	0.230005423922	-0.98797427744	0.262284148192	pathway_score ~ PD	GSE178265_primary_unadjusted	GSE178265	PSMG1	0.364986840733
-0.262888437459	0.252139020107	-1.0426328989	10	0.160834314342	0.321668628683	-0.82468918426	0.298912309343	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	POMP	0.97319945097
0.288411137729	0.153200182365	1.88257698703	10	0.955427557952	0.0891448840967	-0.0529401407301	0.629762416188	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMA4	0.95830750404
-0.229081532222	0.340108065917	-0.673555129028	10	0.257929619848	0.515859239697	-0.986889527765	0.528726463321	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMB4	0.97319945097
-0.463622574189	0.514556538673	-0.901013862121	10	0.194382705926	0.388765411851	-1.61012598955	0.682880841171	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMC5	0.97319945097
-0.714273028802	0.203813640091	-3.50453987516	10	0.00284162080815	0.00568324161629	-1.16839811885	-0.26014793875	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD1	0.244379389501
-0.253234568908	0.124683681047	-2.03101614246	10	0.0348430850627	0.0696861701254	-0.531047122858	0.0245779850415	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD2	0.95830750404
-0.0388196446113	0.371125896907	-0.104599665329	10	0.459380859404	0.918761718808	-0.865739674489	0.788100385266	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMD4	0.97319945097
0.498280299513	0.616802977524	0.80784353784	10	0.781012467566	0.437975064869	-0.876042378729	1.87260297775	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMG1	0.97319945097
-0.294871361137	0.240635006665	-1.22538846373	13	0.121083426668	0.242166853335	-0.814731687184	0.224988964911	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	POMP	0.797015615331
0.326457834033	0.135351544463	2.41192544443	13	0.984311802253	0.0313763954948	0.0340485997718	0.618867068295	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMA4	0.674592503139
-0.272465375321	0.302629666664	-0.90032605965	13	0.192161017815	0.384322035631	-0.926257021697	0.381326271055	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMB4	0.797015615331
-0.527458271149	0.451454470114	-1.16835319189	13	0.13182223427	0.263644468541	-1.5027663582	0.447849815905	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMC5	0.797015615331
-0.675398352521	0.224550027263	-3.00778566252	13	0.00504336673426	0.0100867334685	-1.16050919323	-0.190287511813	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD1	0.433729539147
-0.239225152549	0.125708059821	-1.90302159536	13	0.0397084786684	0.0794169573369	-0.51080090485	0.0323505997517	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD2	0.797015615331
-0.192567656363	0.336989966683	-0.571434390935	13	0.288725869409	0.577451738817	-0.920590217928	0.535454905202	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMD4	0.800981444166
0.650612801892	0.541096980447	1.20239592051	13	0.874672913423	0.250654173155	-0.518356154773	1.81958175856	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	PSMG1	0.797015615331
-0.121443325763	0.557229521546	-0.217941298992	13	0.415429272663	0.830858545325	-1.32526451857	1.08237786704	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	POMP	0.999796867074
-0.114567763012	0.444864921935	-0.257533820635	13	0.400399137755	0.80079827551	-1.07563999672	0.846504470695	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMA4	0.999796867074
0.822142970536	0.516442442572	1.59193533057	13	0.932293352116	0.135413295768	-0.293563095262	1.93784903633	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMB4	0.741002039626
0.0286576621648	0.614702474047	0.04662037876	13	0.518237816367	0.963524367266	-1.29932629582	1.35664162015	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMC5	0.999796867074
-0.107842439252	0.132824848752	-0.811914639957	13	0.215728438545	0.43145687709	-0.394793079294	0.179108200791	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD1	0.86291375418
0.0881964931676	0.42308299772	0.208461445255	13	0.580950337757	0.838099324487	-0.82581875419	1.00221174053	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD2	0.999796867074
-0.358512256088	0.31515046746	-1.13759074825	13	0.137912196356	0.275824392712	-1.03935344806	0.322328935882	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD4	0.741002039626
-0.169736340977	0.270506511194	-0.627475990237	13	0.27060621195	0.541212423899	-0.754130129129	0.414657447175	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMG1	0.925550144855
-0.469947819344	0.363830226759	-1.29166788458	19	0.105982303547	0.211964607093	-1.23145323567	0.291557596983	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	POMP	0.925721266988
-0.0254308938171	0.400235218336	-0.0635398701865	19	0.475000166685	0.950000333369	-0.863132833216	0.812271045581	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	PSMA4	0.950000333369
-0.341184715338	0.458291915783	-0.74447028976	19	0.232850477381	0.465700954762	-1.30040071901	0.618031288337	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	PSMB4	0.925721266988
-0.390443872496	0.497139581021	-0.785380781177	19	0.220957296892	0.441914593783	-1.43096897397	0.650081228979	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	PSMC5	0.925721266988
-0.860341362323	0.235093668961	-3.65956840151	19	0.000833208407094	0.00166641681419	-1.3523980665	-0.368284658149	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	PSMD1	0.0716559230101
-0.50750788167	0.295378867417	-1.71815907518	19	0.0510106559333	0.102021311867	-1.12574295634	0.110727192998	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	PSMD2	0.925721266988
-0.514306440259	0.520907155975	-0.987328421887	19	0.167944539423	0.335889078847	-1.60457764783	0.575964767311	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	PSMD4	0.925721266988
0.547708416165	0.810633611564	0.67565470806	19	0.746299608269	0.507400783463	-1.14896723215	2.24438406448	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	PSMG1	0.925721266988
