dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE17542_SN_MPTP10	prerank	MHC class II antigen presentation	-0.4965636168223675	-2.049783139066837	0.0	0.06817213463996592	0.04	52/99	26.33%	ACTR1A;CTSO;CTSF;LGMN;TUBB3;ACTR1B;KLC1;CTSK;TUBB2A;AP2A1;DYNLL2;TUBA1A;CANX;CAPZA1;CTSD;TUBB6;KLC2;DYNC1LI2;TUBB4B;DNM2;TUBA4A;DCTN2;AP2M1;SEC31A;AP1S3;KIF5A;SAR1B;AP2S1;RACGAP1;AP1G1;KIF23;AP1B1;KIF3C;KLC4;TUBB2B;KIF11;SEC24A;AP2B1;LAG3;AP1S1;KIF2C;CTSE;CTSB;CAPZB;DCTN3;TUBB4A;SEC23A;DYNC1I1;KIF3A;KIF18A;SEC13;KLC3
GSE17542_SN_MPTP10	prerank	Prefoldin mediated transfer of substrate  to CCT/TriC	-0.6311934375081126	-1.9913492179036558	0.0	0.0916063059224542	0.109	13/25	16.94%	PFDN6;TUBB3;PFDN2;TUBB2A;TUBA1A;TUBB6;TUBB4B;PFDN5;TUBA4A;ACTB;PFDN1;TUBB2B;VBP1
GSE17542_SN_MPTP10	prerank	Processing of antigen in germinal center B cells	-0.5094014439460122	-1.9815577908075892	0.0	0.0678170714387161	0.122	35/68	26.33%	ACTR1A;CTSO;CTSF;TUBB3;ACTR1B;KLC1;CTSK;TUBB2A;DYNLL2;TUBA1A;CAPZA1;CTSD;TUBB6;KLC2;DYNC1LI2;TUBB4B;TUBA4A;DCTN2;KIF5A;RACGAP1;KIF23;KIF3C;KLC4;TUBB2B;KIF11;KIF2C;CTSE;CTSB;CAPZB;DCTN3;TUBB4A;DYNC1I1;KIF3A;KIF18A;KLC3
GSE17542_SN_MPTP10	prerank	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	-0.6206888481195305	-1.9813523339533123	0.0	0.05112910097997444	0.122	13/26	16.94%	PFDN6;TUBB3;PFDN2;TUBB2A;TUBA1A;TUBB6;TUBB4B;PFDN5;TUBA4A;ACTB;PFDN1;TUBB2B;VBP1
GSE17542_SN_MPTP10	prerank	The role of GTSE1 in G2/M progression after G2 checkpoint	-0.5214249617061916	-1.9654017570191997	0.0	0.04963783553472518	0.15	23/53	21.69%	CDKN1A;TUBB3;FKBPL;TUBB2A;PSMA6;PSMC4;TUBA1A;PSMD2;PSMB3;TUBB6;TUBB4B;CDK1;TUBA4A;PSMB2;GTSE1;HSP90AB1;TUBB2B;PSMB4;PSMB1;PSMA4;HSP90AA1;PSMC2;PSMC5
GSE17542_SN_MPTP10	prerank	Presynaptic function of Kainate receptors	-0.6455847576224307	-1.9503113379986856	0.0	0.049708848174975145	0.179	8/20	13.79%	GRIK3;GNB3;GNB2;GNG7;GNB1;GNG8;GNG3;GNB5
GSE17542_SN_MPTP10	prerank	Expression of BMAL (ARNTL), CLOCK, and NPAS2	0.5384378530572361	1.931218834532192	0.0024096385542168677	0.5150357498550682	0.333	18/34	20.86%	NRIP1;RAI1;RORC;PPARGC1A;HDAC3;NCOA1;CREB1;RORB;EP300;MEF2C;CRTC2;TGS1;NPAS2;MED1;NR1D1;HELZ2;CLOCK;NCOR1
GSE17542_SN_MPTP10	prerank	Establishment of Sister Chromatid Cohesion	0.7061787359844308	1.9210140561314515	0.008350730688935281	0.29424137469712963	0.367	7/11	14.05%	SMC1A;CDCA5;STAG1;PDS5B;PDS5A;ESCO1;STAG2
GSE17542_SN_MPTP10	prerank	Interleukin-20 family signaling	-0.6428622344258668	-1.9178658266613586	0.0	0.06862864447014426	0.272	10/20	14.35%	IFNLR1;STAT4;STAT1;STAT5B;IL24;IL20;IL20RA;JAK3;STAT2;PTPN11
GSE17542_SN_MPTP10	prerank	Meiotic synapsis	0.538283402986946	1.9001035073085912	0.0024096385542168677	0.25268185849697	0.447	12/32	14.05%	TINF2;SMC1A;STAG3;ATR;DIDO1;STAG1;UBE2I;SYNE1;TEX12;SYCE2;ACD;STAG2
GSE17542_SN_MPTP10	prerank	Signaling by FLT3 ITD and TKD mutants	-0.6596673872015435	-1.8969948205895415	0.0	0.07735939497230507	0.335	9/16	21.57%	CDKN1A;BCL2L1;STAT5B;PIM1;NOX4;PTPN11;FLT3;GAB2;NRAS
GSE17542_SN_MPTP10	prerank	RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression	0.5622990467158547	1.8627706399087587	0.0	0.28970760929347583	0.587	13/25	20.86%	NRIP1;RORC;PPARGC1A;HDAC3;SREBF1;NCOA1;EP300;TGS1;MED1;NR1D1;CPT1A;HELZ2;NCOR1
GSE17542_SN_MPTP10	prerank	RUNX2 regulates bone development	0.5418750002970328	1.8515243995913209	0.0	0.2569738230790956	0.62	10/29	10.04%	GLI2;MAPK1;UCMA;HEY2;AR;CBFB;GLI3;HDAC3;HDAC6;HES1
GSE17542_SN_MPTP10	prerank	STAT5 activation downstream of FLT3 ITD mutants	-0.7358351929025263	-1.8420063020807294	0.0	0.13942148369076363	0.565	8/10	21.03%	CDKN1A;BCL2L1;STAT5B;PIM1;NOX4;PTPN11;FLT3;GAB2
GSE17542_SN_MPTP10	prerank	G beta:gamma signalling through BTK	-0.6316779176105495	-1.8350521869629137	0.0036231884057971015	0.1365573072006817	0.596	7/17	13.79%	GNB3;GNB2;GNG7;GNB1;GNG8;GNG3;GNB5
GSE17542_SN_MPTP10	prerank	RUNX2 regulates osteoblast differentiation	0.5657342830005088	1.831978036052319	0.0	0.2614471382773673	0.693	9/22	10.04%	MAPK1;UCMA;HEY2;AR;CBFB;GLI3;HDAC3;HDAC6;HES1
GSE17542_SN_MPTP10	prerank	Cohesin Loading onto Chromatin	0.6950342297691743	1.8223544800167648	0.011061946902654867	0.24611869334120462	0.729	6/10	14.05%	SMC1A;STAG1;NIPBL;PDS5B;PDS5A;STAG2
GSE17542_SN_MPTP10	prerank	COPI-independent Golgi-to-ER retrograde traffic	-0.5102300311175001	-1.821766705613158	0.0	0.145640469458109	0.655	13/44	10.89%	ACTR1A;TUBB3;TUBB2A;DYNLL2;TUBA1A;CAPZA1;TUBB6;DYNC1LI2;TUBB4B;RAB6B;TUBA4A;DCTN2;PAFAH1B2
GSE17542_SN_MPTP10	prerank	Gap junction trafficking	-0.5322807827694165	-1.8118017938012745	0.0	0.15125692373242436	0.686	13/36	10.66%	GJA5;TUBB3;CLTB;TUBB2A;GJC2;TUBA1A;TUBB6;TUBB4B;DNM2;GJA4;TUBA4A;ACTB;AP2M1
GSE17542_SN_MPTP10	prerank	G beta:gamma signalling through PLC beta	-0.6069343322531814	-1.805740405398852	0.0035714285714285713	0.14961817049588672	0.703	7/19	13.79%	GNB3;GNB2;GNG7;GNB1;GNG8;GNG3;GNB5
GSE17542_SN_MPTP10	prerank	Maturation of nucleoprotein_9694631	0.6306862282442935	1.804119502716276	0.004424778761061947	0.2600114458995436	0.791	6/14	14.42%	PARP6;SRPK2;UBE2I;CSNK1A1;SRPK1;PARP16
GSE17542_SN_MPTP10	prerank	Uptake and actions of bacterial toxins	-0.5623032337917332	-1.7982186240817724	0.003436426116838488	0.15201777344938827	0.732	14/27	24.59%	TXNRD1;EEF2;SV2A;SV2C;SYT1;HSP90AB1;VAMP2;PDCD6IP;HSP90AA1;MAP2K3;VAMP1;MAP2K4;MAP2K6;SNAP25
GSE17542_SN_MPTP10	prerank	Post-chaperonin tubulin folding pathway	-0.6414654096440064	-1.7970080381526696	0.007312614259597806	0.14387160914642808	0.739	10/16	16.38%	ARL2;TUBB3;TUBB2A;TUBA1A;TUBB6;TUBB4B;TUBA4A;TBCD;TBCB;TUBB2B
GSE17542_SN_MPTP10	prerank	Transport of connexons to the plasma membrane	-0.6977417480874898	-1.79190724545795	0.001893939393939394	0.1438005965061781	0.763	7/12	16.38%	TUBB3;TUBB2A;TUBA1A;TUBB6;TUBB4B;TUBA4A;TUBB2B
GSE17542_SN_MPTP10	prerank	Gap junction trafficking and regulation	-0.5195582360992173	-1.788000912967373	0.0	0.1422967994185318	0.776	13/38	10.66%	GJA5;TUBB3;CLTB;TUBB2A;GJC2;TUBA1A;TUBB6;TUBB4B;DNM2;GJA4;TUBA4A;ACTB;AP2M1
