dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE17542_SN_MPTP10_limma	prerank	Presynaptic function of Kainate receptors	-0.646606783046181	-2.0172344570372194	0.0	0.153523304616744	0.105	8/20	13.49%	GRIK3;GNB3;GNB2;GNG8;GNG7;GNB1;GNG3;GNB5
GSE17542_SN_MPTP10_limma	prerank	Interleukin-20 family signaling	-0.6427005159673538	-1.938652153990551	0.0018214936247723133	0.22144908327810914	0.262	10/20	12.80%	IFNLR1;STAT4;STAT5B;IL24;IL20RA;STAT1;JAK3;IL20;STAT2;PTPN11
GSE17542_SN_MPTP10_limma	prerank	MHC class II antigen presentation	-0.4517479126834019	-1.9096302902787363	0.0	0.217215227155585	0.358	48/99	26.01%	CTSO;TUBB3;LGMN;CTSF;CTSK;AP2A1;ACTR1B;ACTR1A;DYNLL2;CTSD;TUBB6;KLC2;CAPZA1;KLC1;CANX;SEC31A;AP1S3;DCTN2;AP2S1;SAR1B;LAG3;RACGAP1;DYNC1LI2;AP1B1;KIF23;AP1S1;SEC24A;KIF3C;TUBB2A;TUBB2B;AP1G1;KLC4;DNM2;AP2B1;KIF11;TUBA1A;KIF5A;CTSE;DCTN3;TUBB4B;KLC3;TUBA4A;KIF2C;CTSB;SEC13;CAPZB;DYNC1I1;AP2M1
GSE17542_SN_MPTP10_limma	prerank	RUNX2 regulates bone development	0.5546855993093313	1.8966733867642334	0.002105263157894737	0.7178301134467102	0.466	10/29	9.02%	GLI2;UCMA;MAPK1;HEY2;CBFB;AR;GLI3;HDAC3;HDAC6;HES1
GSE17542_SN_MPTP10_limma	prerank	G beta:gamma signalling through BTK	-0.6330913858816625	-1.8784334602601989	0.0018450184501845018	0.24022531477799872	0.473	7/17	13.49%	GNB3;GNB2;GNG8;GNG7;GNB1;GNG3;GNB5
GSE17542_SN_MPTP10_limma	prerank	STAT5 activation downstream of FLT3 ITD mutants	-0.7612795480610621	-1.873143855258514	0.0	0.20278330019880716	0.49	8/10	19.14%	CDKN1A;BCL2L1;STAT5B;NOX4;PIM1;PTPN11;FLT3;GAB2
GSE17542_SN_MPTP10_limma	prerank	Signaling by FLT3 ITD and TKD mutants	-0.6563613064486508	-1.8681970161907953	0.0018083182640144665	0.18076724836168176	0.522	9/16	22.89%	CDKN1A;BCL2L1;STAT5B;NOX4;PIM1;PTPN11;FLT3;GAB2;NRAS
GSE17542_SN_MPTP10_limma	prerank	Establishment of Sister Chromatid Cohesion	0.7061741892084948	1.8564458576824119	0.0022026431718061676	0.5611024288461619	0.599	7/11	14.58%	CDCA5;SMC1A;PDS5B;STAG1;PDS5A;STAG2;ESCO1
GSE17542_SN_MPTP10_limma	prerank	Meiotic synapsis	0.5264512561032155	1.8558776768403527	0.0	0.3752228176440383	0.6	12/32	14.09%	TINF2;ATR;STAG3;DIDO1;SMC1A;STAG1;UBE2I;SYNE1;TEX12;SYCE2;ACD;STAG2
GSE17542_SN_MPTP10_limma	prerank	G beta:gamma signalling through PLC beta	-0.6079131170222808	-1.8446055289789003	0.003745318352059925	0.20811638107860772	0.616	7/19	13.49%	GNB3;GNB2;GNG8;GNG7;GNB1;GNG3;GNB5
GSE17542_SN_MPTP10_limma	prerank	Prostacyclin signalling through prostacyclin receptor	-0.6129129341087413	-1.8430415435296676	0.0035842293906810036	0.18513916500994038	0.621	7/18	13.49%	GNB3;GNB2;GNG8;GNG7;GNB1;GNG3;GNB5
GSE17542_SN_MPTP10_limma	prerank	G beta:gamma signalling through CDC42	-0.6068584285184634	-1.8413733890133406	0.0	0.16812704022776917	0.63	7/19	13.49%	GNB3;GNB2;GNG8;GNG7;GNB1;GNG3;GNB5
GSE17542_SN_MPTP10_limma	prerank	Processing of antigen in germinal center B cells	-0.45621326520067296	-1.8303401901897893	0.0017211703958691911	0.16998011928429424	0.662	32/68	25.44%	CTSO;TUBB3;CTSF;CTSK;ACTR1B;ACTR1A;DYNLL2;CTSD;TUBB6;KLC2;CAPZA1;KLC1;DCTN2;RACGAP1;DYNC1LI2;KIF23;KIF3C;TUBB2A;TUBB2B;KLC4;KIF11;TUBA1A;KIF5A;CTSE;DCTN3;TUBB4B;KLC3;TUBA4A;KIF2C;CTSB;CAPZB;DYNC1I1
GSE17542_SN_MPTP10_limma	prerank	RUNX2 regulates osteoblast differentiation	0.5738574517529629	1.8232490259110605	0.006224066390041493	0.4048076936505875	0.73	9/22	9.02%	UCMA;MAPK1;HEY2;CBFB;AR;GLI3;HDAC3;HDAC6;HES1
GSE17542_SN_MPTP10_limma	prerank	HDR through MMEJ (alt-NHEJ)	0.6895401811275059	1.820562173023515	0.004140786749482402	0.33215878349596867	0.741	5/11	11.39%	RAD50;XRCC1;LIG3;RAD52;NBN
GSE17542_SN_MPTP10_limma	prerank	ADP signalling through P2Y purinoceptor 1	-0.553626666892	-1.79946444854855	0.0053285968028419185	0.22210173303612668	0.784	8/24	13.49%	GNB3;GNB2;GNA14;GNG8;GNG7;GNB1;GNG3;GNB5
GSE17542_SN_MPTP10_limma	prerank	The role of GTSE1 in G2/M progression after G2 checkpoint	-0.4722232530315392	-1.7877269652520145	0.0017543859649122807	0.2322178042853987	0.82	31/53	34.09%	CDKN1A;FKBPL;TUBB3;TUBB6;PSMB3;PSMC4;CDK1;PSMD2;PSMB2;PSMA6;GTSE1;TUBB2A;TUBB2B;TUBA1A;TUBB4B;PSMC5;PSMA4;PSMB4;PSMB1;HSP90AB1;TUBA4A;PSMD1;PSMC2;HSP90AA1;TUBB4A;CCNB2;ADRM1;PSMD8;PSMC3;PSMB7;CCNB1
GSE17542_SN_MPTP10_limma	prerank	Prefoldin mediated transfer of substrate  to CCT/TriC	-0.5529579281318874	-1.7869932453232007	0.003663003663003663	0.2158841820869654	0.822	12/25	21.34%	PFDN6;TUBB3;PFDN2;TUBB6;ACTB;PFDN1;TUBB2A;TUBB2B;VBP1;TUBA1A;TUBB4B;PFDN5
GSE17542_SN_MPTP10_limma	prerank	Cohesin Loading onto Chromatin	0.6916400543071233	1.7777399488041146	0.006521739130434782	0.417074593458181	0.852	6/10	14.09%	SMC1A;PDS5B;STAG1;NIPBL;PDS5A;STAG2
GSE17542_SN_MPTP10_limma	prerank	Presynaptic nicotinic acetylcholine receptors	-0.6698710022664722	-1.7731874757640929	0.005385996409335727	0.23170500804695637	0.847	7/12	21.13%	CHRNA5;CHRNA3;CHRNA4;CHRNB2;CHRNA6;CHRNG;CHRNB3
GSE17542_SN_MPTP10_limma	prerank	G-protein activation	-0.5501641443943526	-1.7710208490851378	0.007246376811594203	0.22111773801634638	0.851	9/23	15.10%	GNB3;GNB2;GNA14;GNG8;GNG7;GNB1;GNG3;GNB5;PDYN
GSE17542_SN_MPTP10_limma	prerank	Mitotic Telophase/Cytokinesis	0.6227741523580719	1.7502586208436508	0.012711864406779662	0.46313216349207015	0.905	7/13	14.09%	SMC1A;PDS5B;STAG1;NIPBL;PDS5A;KIF20A;STAG2
