pathway	meta_z	meta_p	meta_FDR	same_NES_direction	NES_GSE17542_SN_MPTP10_limma	nominal_p_GSE17542_SN_MPTP10_limma	NES_GSE46798_exposure_corrected_limma	nominal_p_GSE46798_exposure_corrected_limma	NES_human_PD_postmortem_meta_limma	nominal_p_human_PD_postmortem_meta_limma
Signaling by WNT	-4.702832137076164	2.565773591672061e-06	0.002029077321127518	True	-1.1791666753333987	0.1178343949044586	-1.45164467535364	0.0	-1.4518531299480013	0.0
The role of GTSE1 in G2/M progression after G2 checkpoint	-4.642327890545351	3.4450557543531603e-06	0.002029077321127518	True	-1.7877269652520145	0.0017543859649122807	-1.276408887770632	0.10501750291715285	-2.5596100814657103	0.0
Processing of antigen in germinal center B cells	-4.586388254302338	4.509796026070434e-06	0.002029077321127518	True	-1.8303401901897893	0.0017211703958691911	-1.235588267530276	0.1288888888888889	-2.32168357706674	0.0
RHO GTPase Effectors	-4.540434387432221	5.613844729797312e-06	0.002029077321127518	True	-1.4156754372031444	0.007911392405063292	-1.2493105023470372	0.05515832482124617	-1.7289051703508131	0.0
ABC transporter disorders	-4.482694089652433	7.370655303734952e-06	0.002029077321127518	True	-1.5523909148146582	0.01054481546572935	-1.349633153539839	0.05536332179930796	-2.191949165676943	0.0
PCP/CE pathway	-4.4770484966801956	7.568206221759657e-06	0.002029077321127518	True	-1.3899769337831163	0.030560271646859084	-1.4523357419422511	0.021396396396396396	-1.8783483207548641	0.0
Proteasome assembly	-4.402482145271585	1.0701939967787074e-05	0.002029077321127518	True	-1.4221014334295696	0.03826086956521739	-1.4957496141831643	0.023668639053254437	-3.154687032856224	0.0
HIV Infection	-4.3923530699772	1.121304076034092e-05	0.002029077321127518	True	-1.123701300923057	0.21550387596899226	-1.447634494891217	0.002081165452653486	-2.4869022267874232	0.0
ABC-family protein mediated transport	-4.384359399954946	1.1632758557353839e-05	0.002029077321127518	True	-1.4316687039364362	0.02413793103448276	-1.392658448969314	0.04054054054054054	-2.0548861182978158	0.0
Metabolism of carbohydrates and carbohydrate derivatives	-4.31618386731946	1.5874976221446966e-05	0.002029077321127518	True	-1.4852237133074597	0.0	-1.0463448085647677	0.3711967545638945	-1.4057476062652061	0.0
GABA synthesis, release, reuptake and degradation	-4.30999470636225	1.6325845401761925e-05	0.002029077321127518	True	-1.4919079295629034	0.05132743362831858	-1.5450369511398803	0.026041666666666668	-2.141317539866625	0.0
Regulation of Homotypic Cell-Cell Adhesion	-4.303869406950393	1.678406219007371e-05	0.002029077321127518	True	-1.0420352963025428	0.37360890302066774	-1.5223053058859395	0.0010604453870625664	-1.5481474485638225	0.0
Disorders of transmembrane transporters	-4.292671321135523	1.765362389878595e-05	0.002029077321127518	True	-1.5589657825275614	0.003305785123966942	-1.1297965763667674	0.22760800842992623	-1.6407334527062216	0.0
Defective CFTR causes cystic fibrosis	-4.28569960993331	1.8216499790588174e-05	0.002029077321127518	True	-1.4338944103548639	0.04448398576512456	-1.4414837766132838	0.033775633293124246	-2.661017793472465	0.0
Regulation of CDH1 Expression and Function	-4.252827701899793	2.1108798873099947e-05	0.002029077321127518	True	-1.1028868652176176	0.2604501607717042	-1.5338531194528395	0.0031779661016949155	-1.6599001090777228	0.0
Regulation of Expression and Function of Type I Classical Cadherins	-4.252827701899793	2.1108798873099947e-05	0.002029077321127518	True	-1.1028868652176176	0.2604501607717042	-1.5338531194528395	0.0031779661016949155	-1.6599001090777228	0.0
Aggrephagy	-4.250746310907917	2.130593851708944e-05	0.002029077321127518	True	-1.5051826713937695	0.02819548872180451	-1.3769782324383584	0.060498220640569395	-1.5889713618464927	0.0
MHC class II antigen presentation	-4.20704424269531	2.5873250250209408e-05	0.0023271551197271683	True	-1.9096302902787363	0.0	-1.001697058551825	0.48068669527896996	-2.2687201028628934	0.0
Regulation of Apoptosis	-4.191903190935582	2.7662404085336275e-05	0.002357128011271549	True	-1.2829852157794845	0.13479052823315119	-1.586151132891632	0.013349514563106795	-2.9409932026998495	0.0
Asparagine N-linked glycosylation	-4.177290620267374	2.9500200675447097e-05	0.0023880412446774424	True	-1.2870696095204963	0.023696682464454975	-1.1827493845280403	0.09247967479674797	-2.4433952727234236	0.0
Degradation of DVL	-4.130724614701155	3.6162156931646535e-05	0.0026977300629620216	True	-1.172743081269756	0.21853146853146854	-1.6049872002878438	0.008454106280193236	-2.726618499483245	0.0
Beta-catenin independent WNT signaling	-4.12759017756298	3.665846904580882e-05	0.0026977300629620216	True	-1.3068301710514965	0.051839464882943144	-1.4471299394662203	0.009513742071881607	-1.5341250174117902	0.009009009009009009
UCH proteinases	-4.1161353304456165	3.852781391452554e-05	0.002712023075113776	True	-1.1580760080308334	0.20404721753794267	-1.5488628685063244	0.01021566401816118	-2.315458226865874	0.0
HCMV Infection	-4.041508467240019	5.3108463087379885e-05	0.003520489647840055	True	-1.3649152650270668	0.04081632653061224	-1.2692586735432823	0.09613259668508287	-1.9538902239506095	0.0
Host Interactions of HIV factors	-4.0360350393355375	5.4362100800494984e-05	0.003520489647840055	True	-1.0699975289325723	0.3024390243902439	-1.5198641700770703	0.007616974972796518	-2.3836498215914563	0.0
Kinesins	-3.999805780287802	6.339448880000438e-05	0.0038608976497133698	True	-1.430756195556689	0.04063604240282685	-1.2889506140047087	0.11187214611872145	-1.867945667330422	0.0
Hh mutants abrogate ligand secretion	-3.9678878318629813	7.251244677028215e-05	0.0038608976497133698	True	-1.167294952274316	0.21453287197231835	-1.508238076391409	0.019253910950661854	-2.861196682495461	0.0
AUF1 (hnRNP D0) binds and destabilizes mRNA	-3.9646228752842356	7.351207300829598e-05	0.0038608976497133698	True	-1.2333057089218589	0.15495495495495495	-1.4887735881299873	0.03125	-2.796402197179182	0.0
COPI-independent Golgi-to-ER retrograde traffic	-3.9571958940770804	7.583473883054464e-05	0.0038608976497133698	True	-1.4890116496747425	0.03825136612021858	-1.2661536146088028	0.1359338061465721	-2.6549152837534957	0.0
Hh mutants are degraded by ERAD	-3.9563436358149455	7.610566341309179e-05	0.0038608976497133698	True	-1.179451493139597	0.18485915492957747	-1.4738917237398619	0.025362318840579712	-2.9518732611518077	0.0
SPOP-mediated proteasomal degradation of PD-L1(CD274)	-3.9514026171844163	7.769448717778113e-05	0.0038608976497133698	True	-1.0656599703109182	0.33156028368794327	-1.5705534761436597	0.0098159509202454	-2.8956895685857473	0.0
Norepinephrine Neurotransmitter Release Cycle	-3.9431833358304234	8.040713937583244e-05	0.0038608976497133698	True	-1.4301769304419796	0.07272727272727272	-1.4116724379647678	0.08108108108108109	-2.017308593567963	0.0
Transmission across Chemical Synapses	-3.9378425188638198	8.221752297945988e-05	0.0038608976497133698	True	-1.0940095625405821	0.23366013071895425	-1.3134408744026467	0.019348268839103868	-2.1745278202963867	0.0
Regulation of ornithine decarboxylase (ODC)	-3.9351190490076373	8.315546670574591e-05	0.0038608976497133698	True	-1.1638752329084254	0.2158894645941278	-1.5288564718082616	0.022167487684729065	-3.1509638247737186	0.0
Neurotoxicity of clostridium toxins	-3.9342238247570656	8.346597760343913e-05	0.0038608976497133698	True	-1.5602753228621173	0.03189493433395872	-1.372503013339246	0.09232954545454546	-2.0845344019247665	0.0028328611898017
Regulation of activated PAK-2p34 by proteasome mediated degradation	-3.9229636189086023	8.746636324619554e-05	0.003933556724877516	True	-1.230333798101531	0.17921146953405018	-1.5087677116818337	0.030712530712530713	-2.959328290543573	0.0
Regulation of CDH1 Function	-3.880074543432716	0.00010442445631109491	0.004427221538330643	True	-1.2361674644613656	0.14383561643835616	-1.3985816674629867	0.04906542056074766	-2.1352111079202394	0.0
DNA Double Strand Break Response	-3.879977029675847	0.00010446632998592903	0.004427221538330643	True	-1.059290495655621	0.35638297872340424	-1.4904491487981273	0.012168141592920354	-2.1701701047310746	0.0
Autodegradation of the E3 ubiquitin ligase COP1	-3.874948867433087	0.00010664709079363502	0.004427221538330643	True	-1.1916377390412272	0.21391304347826087	-1.5187658605172099	0.029411764705882353	-2.79439709138583	0.0
Factors involved in megakaryocyte development and platelet production	-3.8540568737024605	0.00011617658952477083	0.0047022474610151	True	-1.4799229517004167	0.010471204188481676	-1.270154090304628	0.07052631578947369	-1.2696829456802852	0.021052631578947368
Rab regulation of trafficking	-3.842048269116201	0.00012201183324629132	0.004817979464042577	True	-1.1832025060348286	0.1646655231560892	-1.3395331894199518	0.04835164835164835	-1.670855002608422	0.0
Vif-mediated degradation of APOBEC3G	-3.815747413843679	0.00013577133641902927	0.005170524743468387	True	-1.0669744853398444	0.33568904593639576	-1.5563415040764979	0.018495684340320593	-3.0668977205544494	0.0
Antigen processing: Ubiquitination & Proteasome degradation	-3.8119221359441475	0.00013789031772658955	0.005170524743468387	True	-0.7670137321546928	0.9833836858006042	-1.4224328593451274	0.0	-2.07925828819574	0.0
TCF dependent signaling in response to WNT	-3.8072498733917497	0.00014052074657974615	0.005170524743468387	True	-0.8875085148279407	0.7256198347107438	-1.4664615109420012	0.0031512605042016808	-1.5040399492650112	0.0
Class I MHC mediated antigen processing & presentation	-3.7687640241658453	0.00016405789272449776	0.005810271387385635	True	-0.8966823538439183	0.7849624060150376	-1.3666179485225023	0.003036437246963563	-1.8433210936650966	0.0
Translocation of SLC2A4 (GLUT4) to the plasma membrane	-3.767205783592954	0.00016508491897451464	0.005810271387385635	True	-1.4728864739344583	0.02276707530647986	-1.0786447014608684	0.3386363636363636	-1.9623214605126893	0.0
Neddylation	-3.7492331445626172	0.0001773761284892321	0.006110041532426952	True	-0.9496385701801997	0.5746031746031746	-1.4053874767487307	0.008247422680412371	-2.033977743023738	0.0
Degradation of beta-catenin by the destruction complex	-3.741569515983959	0.0001828745762183639	0.006168207060365232	True	-0.7600272766659792	0.8896551724137931	-1.5822306144045564	0.002280501710376283	-2.5193592965559217	0.0
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	-3.736155412450836	0.00018685520912891534	0.006173848644483958	True	-1.5446448032782896	0.019855595667870037	-1.0587689901326995	0.3945818610129564	-2.040944159419088	0.0
Cholesterol biosynthesis	-3.723167063172125	0.00019673924525810845	0.006297643404240665	True	-1.5129058986677888	0.029982363315696647	-1.2466686539205216	0.17023959646910466	-2.05280327553102	0.0036496350364963502
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	-3.720161830197879	0.00019909516389128907	0.006297643404240665	True	-1.0060177867567544	0.45087719298245615	-1.5155813787650474	0.01645123384253819	-2.462302418688474	0.0
Ub-specific processing proteases	-3.716162602398805	0.00020227143731965078	0.006297643404240665	True	-0.8936965668748567	0.7228714524207012	-1.4666652935100932	0.005252100840336135	-1.7873083017222533	0.0
Neurotransmitter release cycle	-3.6964139184319253	0.00021866635531304676	0.00667963828777024	True	-1.2018950027998054	0.17192982456140352	-1.3129395445231387	0.08089097303634232	-2.091248673498249	0.0
RHO GTPases Activate Formins	-3.69115122029419	0.00022324135912431056	0.006693106674486274	True	-1.3149283523759911	0.048903878583473864	-1.1165955534531116	0.25720384204909286	-1.6609450108731885	0.0
Stabilization of p53	-3.6763048899878497	0.00023663668576209574	0.006965723531796963	True	-1.1239331289050858	0.30796460176991153	-1.4886680351993178	0.039663461538461536	-2.397711680860266	0.0
Reduction of cytosolic Ca++ levels	-3.6617784774227107	0.0002504703990142612	0.00724127814293016	True	-1.508892213708327	0.04780114722753346	-1.1616941657217836	0.2835195530726257	-2.0610375802252903	0.0
Translation	-3.651367068276019	0.00026084810462860195	0.007282570769480733	True	-0.9809929972041185	0.5015673981191222	-1.3030390117462254	0.01820020222446916	-3.061393109858613	0.0
Uptake and actions of bacterial toxins	-3.6499714483157684	0.0002622694596294108	0.007282570769480733	True	-1.7274087235368638	0.0035778175313059034	-1.0255483234670748	0.4476067270375162	-1.6738429169117923	0.008064516129032258
MAPK6/MAPK4 signaling	-3.6469289663106825	0.00026539325225408475	0.007282570769480733	True	-1.0132400048142065	0.4454225352112676	-1.452853243718134	0.02364864864864865	-1.7992312500221512	0.0
Golgi-to-ER retrograde transport	-3.640231043036514	0.00027239350858170486	0.007350084839896336	True	-1.1502679495274302	0.1892361111111111	-1.2611035784765399	0.08886509635974305	-2.738737555856513	0.0
Dengue Virus Infection	-3.6140124381606804	0.00030149458819979873	0.007540439397747969	True	-0.9518473793844608	0.6056547619047619	-1.3095842971760443	0.014184397163120567	-1.5021846448513014	0.0
p53-Dependent G1 DNA Damage Response	-3.612784753403586	0.0003029261557914537	0.007540439397747969	True	-1.2188426461503161	0.18021201413427562	-1.2910397785435435	0.10381861575178998	-2.158949633136908	0.0
p53-Dependent G1/S DNA damage checkpoint	-3.612784753403586	0.0003029261557914537	0.007540439397747969	True	-1.2188426461503161	0.18021201413427562	-1.2910397785435435	0.10381861575178998	-2.158949633136908	0.0
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	-3.6082504432615976	0.00030826884181095015	0.007540439397747969	True	-1.1004308063237023	0.3063063063063063	-1.403016664537649	0.052884615384615384	-2.8560697520074148	0.0
Prefoldin mediated transfer of substrate  to CCT/TriC	-3.6077464169961466	0.00030886814408282836	0.007540439397747969	True	-1.7869932453232007	0.003663003663003663	-0.623639915092749	0.9583858764186634	-2.524522087018085	0.0
RAB GEFs exchange GTP for GDP on RABs	-3.6031252495278143	0.00031441392920179704	0.007540439397747969	True	-1.2099448634136436	0.1616871704745167	-1.4204838327763196	0.030508474576271188	-1.6110532614083846	0.007407407407407408
Degradation of AXIN	-3.603094719781399	0.00031445087547000907	0.007540439397747969	True	-1.01278523160858	0.44324324324324327	-1.4566652056945504	0.02902055622732769	-2.6616111538213367	0.0
Regulation of PTEN stability and activity	-3.601195161075018	0.0003167576799856153	0.007540439397747969	True	-1.0572445967995878	0.35650623885918004	-1.397746736348457	0.04290822407628129	-2.692704091775908	0.0
Hedgehog ligand biogenesis	-3.596691991437856	0.0003222897280680447	0.007540439397747969	True	-0.8955455676735968	0.6309523809523809	-1.580380054594734	0.013953488372093023	-2.7813730387950852	0.0
Mitochondrial translation initiation	-3.5936939965241463	0.00032602270404098694	0.007540439397747969	True	-1.4593985278334873	0.023172905525846704	-0.9816508924394131	0.5072788353863382	-2.6955180092383855	0.0
Cross-presentation of soluble exogenous antigens (endosomes)	-3.5893931746060384	0.0003314486192201587	0.0075579621763019285	True	-1.24914995210815	0.152753108348135	-1.2784538989980232	0.1345679012345679	-2.976582524283044	0.0
