pathway	meta_z	meta_p	meta_FDR	same_NES_direction	NES_GSE17542_SN_MPTP10	nominal_p_GSE17542_SN_MPTP10	NES_GSE46798_exposure_corrected	nominal_p_GSE46798_exposure_corrected	NES_human_PD_postmortem_meta	nominal_p_human_PD_postmortem_meta	shared_leading_genes_all_3	leading_gene_union_n
Processing of antigen in germinal center B cells	-4.973748656787277	6.567044382325618e-07	0.0004832838683378064	True	-1.9815577908075888	0.0	-1.381228006254985	0.0420353982300885	-2.2676364143909997	0.0	CAPZA1;CTSF;DCTN2;DYNC1I1;KIF3A;KIF5A;TUBA1A;TUBB2B	66
ABC-family protein mediated transport	-4.809632751498831	1.5120784724177945e-06	0.0004832838683378064	True	-1.598909523646192	0.0063897763578274	-1.4255028888609365	0.0207423580786026	-2.116968748029195	0.0	ABCA3;ABCF1;PSMA4;PSMB4;PSMC5	66
RHO GTPase Effectors	-4.804380226398527	1.552315910528002e-06	0.0004832838683378064	True	-1.478807527425168	0.0028571428571428	-1.2520565593852666	0.0405679513184584	-1.7491846026871734	0.0	BRK1;ITGB1;KIF5A;KLC1;PIK3C3;RHOA;RTKN;SCAI;TUBA1A;TUBB2B;YWHAG;YWHAH;ZWINT	192
Kinesins	-4.739585714209468	2.141556294263429e-06	0.0004832838683378064	True	-1.5910471757021811	0.0050761421319796	-1.439816296978892	0.034324942791762	-1.802285851250488	0.0	KIF21A;KIF21B;KIF3A;TUBA1A	41
PCP/CE pathway	-4.686828769792879	2.774709258587779e-06	0.0004832838683378064	True	-1.4998441999335623	0.0163132137030995	-1.4793117885204945	0.0153005464480874	-1.928138587280451	0.0	AP2M1;PFN1;PSMA4;PSMB4;PSMC5;PSMD2	63
Defective CFTR causes cystic fibrosis	-4.667380226542163	3.050644747878754e-06	0.0004832838683378064	True	-1.5528237684275563	0.0085616438356164	-1.4630846743649213	0.0304449648711943	-2.7325256204488606	0.0	PSMA4;PSMB4;PSMC5;PSMD2	40
Affinity selection of immunoglobulins	-4.617420258615206	3.885399065177169e-06	0.0004832838683378064	True	-1.326766909486078	0.0188405797101449	-1.3021087933637656	0.0183673469387755	-1.2589297098698626	0.0	CAPZA1;CTSF;DCTN2;DYNC1I1;KIF3A;KIF5A;POLR2G;SMARCA4;TUBA1A;TUBB2B	175
Immunoglobulin maturation	-4.617420258615206	3.885399065177169e-06	0.0004832838683378064	True	-1.326766909486078	0.0188405797101449	-1.3021087933637656	0.0183673469387755	-1.2589297098698626	0.0	CAPZA1;CTSF;DCTN2;DYNC1I1;KIF3A;KIF5A;POLR2G;SMARCA4;TUBA1A;TUBB2B	175
Proteasome assembly	-4.590121256117609	4.429885891522163e-06	0.0005116518204708098	True	-1.4751237564822943	0.0305084745762711	-1.5460060450383113	0.0125570776255707	-3.2308265860207057	0.0	POMP;PSMA4;PSMB4;PSMC5;PSMD1;PSMD2;PSMD4;PSME3;PSMG1	44
Beta-catenin independent WNT signaling	-4.357820506414436	1.313640460463532e-05	0.0009235463585084919	True	-1.4170483632406037	0.0166919575113808	-1.4446692718069354	0.0117647058823529	-1.540962374847782	0.0084033613445378	AP2M1;GNB1;PFN1;PSMA4;PSMB4;PSMD2	97
Aggrephagy	-4.178419006427326	2.9354249362601068e-05	0.0013709452429690899	True	-1.7108772177425828	0.0054844606946983	-1.4386301649286406	0.0367734282325029	-1.662183319059143	0.0176991150442477	TUBA1A	34
Factors involved in megakaryocyte development and platelet production	-4.051131735244185	5.0970499078287643e-05	0.001713526572275319	True	-1.5875741110035149	0.0031595576619273	-1.325543853730322	0.0432489451476793	-1.253217927935323	0.040983606557377	CAPZA1;DOCK10;KIF21A;KIF21B;KIF3A;KIF5A;MFN1;PRKAR1A;TUBA1A	102
RAB GEFs exchange GTP for GDP on RABs	-3.90335522630727	9.486830631899697e-05	0.002200101040846826	True	-1.3378560726159934	0.0494417862838915	-1.4559591991072067	0.0165745856353591	-1.482319076154533	0.0163934426229508	CHML;DENND2A;RAB6B	58
Interconversion of nucleotide di- and triphosphates	-3.7990495323817193	0.00014525206339047975	0.0028911111309720596	True	-1.5149776241814166	0.0311958405545927	-1.5272448318681056	0.0248756218905472	-1.5202570340243269	0.029090909090909	NME1	24
