pathway	meta_z	meta_p	meta_FDR	same_NES_direction	NES_GSE17542_SN_MPTP10_limma	nominal_p_GSE17542_SN_MPTP10_limma	NES_GSE46798_exposure_corrected_limma	nominal_p_GSE46798_exposure_corrected_limma	NES_human_PD_postmortem_meta_limma	nominal_p_human_PD_postmortem_meta_limma	prespecified_order
Aerobic respiration and respiratory electron transport	-2.940267149282773	0.0032792937504274216	0.025524887413182668	True	-1.1229801670156294	0.178060413354531	-0.9286632574684636	0.6490134994807892	-3.279798926843701	0.0	0
Respiratory electron transport	-3.091585556624335	0.0019909059985761613	0.018631657871068238	True	-1.237229813460192	0.11129032258064517	-0.9215551084204368	0.6372443487621098	-3.6478563986013173	0.0	1
Complex I biogenesis	-3.0486252823226474	0.002298910343680667	0.019726144442811327	True	-1.0204474702471793	0.4239316239316239	-1.1655748933308794	0.23406720741599074	-3.257626308520153	0.0	2
Mitochondrial biogenesis	-0.8618862997349084	0.3887500887993286	0.5994156131105839	False	1.0807993427711362	0.2967289719626168	-0.8348261242965187	0.7605956471935853	-1.4598674618830203	0.02564102564102564	3
Mitophagy	-3.131876126469851	0.0017369314313541652	0.017285137388607808	True	-0.5148978094013097	0.9927536231884058	-1.4850454911729316	0.03361344537815126	-2.4550146279422123	0.0	5
PINK1-PRKN Mediated Mitophagy	-3.0619138513385313	0.0021992673853995608	0.019233187603909605	True	-0.6216239497623773	0.9384328358208955	-1.456813134658678	0.052948255114320095	-2.5553530842949876	0.0	6
Autophagy	-3.3434863408350233	0.0008273276677636975	0.011130708799889739	True	-1.0387588364197684	0.36054421768707484	-1.2198307247920137	0.11275026343519494	-2.4956301724554715	0.0	7
Macroautophagy	-3.332530938019694	0.0008605990138857035	0.01127489656259689	True	-1.029546880399267	0.38671209540034074	-1.2332265049401319	0.10615711252653928	-2.564846204141987	0.0	8
Chaperone Mediated Autophagy	0.0013397361384646308	0.9989310455393459	0.9989310455393459	False	0.8499849882902418	0.6659528907922913	-1.1410031493947843	0.30176767676767674	0.9414991580334701	0.5463347164591977	9
Lysosome Vesicle Biogenesis	-2.275070914225179	0.022901676143541556	0.09434558187377552	False	-1.5474532149410323	0.025179856115107913	0.9107235264509697	0.5819209039548022	-1.5099639135858531	0.024291497975708502	10
Endosomal Sorting Complex Required For Transport (ESCRT)	-3.164761011512565	0.0015521038019360631	0.01664143083002971	True	-1.3112208494064348	0.13682432432432431	-1.0020136131504878	0.4820574162679426	-2.391254080238121	0.0	11
Golgi Associated Vesicle Biogenesis	-2.4234532015686034	0.015373733940387093	0.07320610367496089	True	-0.9227107866157763	0.5778175313059034	-0.8565461661412005	0.7262180974477959	-1.877303858608425	0.0	13
Protein ubiquitination	-2.6077809611965654	0.009113124821531125	0.052173451297758036	False	0.8791667312822125	0.6953488372093023	-1.3039046122342048	0.10574712643678161	-2.1669448086464813	0.0	14
Proteasome assembly	-4.402482145271585	1.0701939967787074e-05	0.002029077321127518	True	-1.4221014334295696	0.03826086956521739	-1.4957496141831643	0.023668639053254437	-3.154687032856224	0.0	15
Neurotransmitter release cycle	-3.6964139184319253	0.00021866635531304676	0.00667963828777024	True	-1.2018950027998054	0.17192982456140352	-1.3129395445231387	0.08089097303634232	-2.091248673498249	0.0	16
Dopamine Neurotransmitter Release Cycle	-2.7370928770729175	0.006198479027143245	0.040257338691454224	True	-1.0425991676517197	0.42395437262357416	-0.9803383493218835	0.5154362416107383	-2.0974005988458617	0.0	17
