dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE46798_exposure_corrected_limma	prerank	Miscellaneous substrates	0.6702987182244176	1.9922157793347974	0.006872852233676976	0.7939412299303241	0.491	7/12	17.93%	CYP4F3;CYP4A22;CYP2U1;CYP2W1;CYP4B1;CYP4F11;CYP4A11
GSE46798_exposure_corrected_limma	prerank	Regulation of gene expression by Hypoxia-inducible Factor	0.7181447683255714	1.9864974334386554	0.0	0.4155104513783702	0.508	1/11	0.00%	EPO
GSE46798_exposure_corrected_limma	prerank	RA biosynthesis pathway	0.5711512938048495	1.9812004820135956	0.0	0.28767040290820967	0.521	6/22	8.53%	CYP26C1;RDH10;RDH5;CYP26A1;AKR1C3;ADH4
GSE46798_exposure_corrected_limma	prerank	Fatty acids	0.5959870031955492	1.8524203007486293	0.015151515151515152	0.50766434413814	0.814	12/16	21.93%	CYP4F3;CYP4A22;CYP4F8;CYP4B1;CYP2B6;CYP2A13;CYP4F11;CYP2F1;CYP4A11;CYP2J2;CYP4F12;CYP2D6
GSE46798_exposure_corrected_limma	prerank	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	0.6429579982667394	1.8523786379501663	0.011152416356877323	0.4064222962738564	0.814	1/12	0.00%	EPO
GSE46798_exposure_corrected_limma	prerank	Erythropoietin activates RAS	0.5983014725256496	1.830850194587434	0.01568627450980392	0.38352014541048174	0.849	1/14	0.00%	EPO
GSE46798_exposure_corrected_limma	prerank	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	0.6283472080162875	1.822054566707921	0.018050541516245487	0.3477387804561389	0.86	1/12	0.03%	RNF135
GSE46798_exposure_corrected_limma	prerank	NOTCH2 intracellular domain regulates transcription	-0.7513837029010118	-1.8018029168556378	0.0	1.0	0.59	6/12	12.64%	HES1;CREB1;FCER2;MAMLD1;NOTCH2;HES5
GSE46798_exposure_corrected_limma	prerank	NOTCH1 Intracellular Domain Regulates Transcription	-0.5403113088701909	-1.7569991451466114	0.002336448598130841	1.0	0.76	23/48	22.46%	HES1;HEYL;HDAC4;MAMLD1;NBEA;TLE1;HDAC10;HDAC3;RPS27A;CREBBP;MYC;HDAC2;TLE4;HES5;TBL1XR1;NCOR2;KAT2B;HIF1A;SKP1;TLE2;HDAC6;RBX1;SNW1
GSE46798_exposure_corrected_limma	prerank	RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression	-0.6051166258687773	-1.749181547445024	0.0	1.0	0.793	14/25	23.66%	RORC;HDAC3;NCOA6;RORA;CREBBP;CPT1A;CHD9;TBL1XR1;NCOA2;SMARCD3;NR1D1;MED1;NRIP1;CARM1
GSE46798_exposure_corrected_limma	prerank	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	-0.6998311036312386	-1.7387915247512111	0.004070556309362279	0.8693238741649737	0.833	8/14	17.49%	SEMA3A;FYN;PLXNA4;FARP2;NRP1;PLXNA3;PLXNA1;PLXNA2
GSE46798_exposure_corrected_limma	prerank	Sema3A PAK dependent Axon repulsion	-0.6738138040636569	-1.730975663845344	0.006561679790026247	0.7544574605203495	0.853	9/16	17.49%	SEMA3A;FYN;PLXNA4;NRP1;PAK2;PLXNA3;PLXNA1;PAK1;PLXNA2
GSE46798_exposure_corrected_limma	prerank	Purinergic signaling in leishmaniasis infection	-0.5990635905695837	-1.7275870259741757	0.007380073800738007	0.5570888421563762	0.863	9/26	13.17%	IL1B;PSTPIP1;ENTPD1;NFKB2;P2RX7;NLRP3;IL18;SUGT1;NT5E
GSE46798_exposure_corrected_limma	prerank	Cell recruitment (pro-inflammatory response)	-0.5990635905695837	-1.7275870259741757	0.007380073800738007	0.5570888421563762	0.863	9/26	13.17%	IL1B;PSTPIP1;ENTPD1;NFKB2;P2RX7;NLRP3;IL18;SUGT1;NT5E
GSE46798_exposure_corrected_limma	prerank	Eicosanoids	0.5927411293174468	1.7015096731034065	0.03806228373702422	0.5716449560739171	0.965	8/12	20.88%	CYP4F3;CYP4A22;CYP4F8;CYP8B1;CYP4B1;CYP4F11;CYP4A11;CYP4F12
GSE46798_exposure_corrected_limma	prerank	Signaling by NOTCH1	-0.48986334969823836	-1.6940663668635685	0.0022727272727272726	0.6868109582585038	0.948	32/74	22.46%	HES1;HEYL;ARRB1;HDAC4;ITCH;MAMLD1;NBEA;TLE1;HDAC10;HDAC3;RPS27A;CREBBP;MYC;HDAC2;NEURL1;TLE4;NEURL1B;HES5;TBL1XR1;ADAM17;NCOR2;DTX2;JAG1;KAT2B;CNTN1;HIF1A;SKP1;PSENEN;TLE2;HDAC6;RBX1;SNW1
