dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
human_PD_postmortem_meta	prerank	Respiratory electron transport	-0.6462835902952492	-3.5597353240251994	0.0	0.0	0.0	97/134	21.69%	COX16;COX7A2L;NDUFAF5;SCO1;NDUFA2;NDUFA10;NDUFS4;NDUFA5;NDUFB5;NDUFA13;TMEM126B;HIGD1A;ISCU;NDUFB1;COX11;TTC19;BCS1L;NDUFA9;SDHB;NDUFA7;SCO2;MDH2;COA1;UQCR11;SFXN4;NDUFA3;UQCRQ;NDUFB3;NDUFA11;SURF1;SLC25A13;COX8A;COX18;NDUFB9;FOXRED1;UQCRC2;OXA1L;NDUFB6;NDUFV2;GOT2;LYRM4;COX7B;CYCS;PET100;NDUFS6;COX6C;COX6B1;NDUFS3;COA3;MDH1;ETFB;NDUFA1;PET117;CYC1;NDUFB2;NDUFS1;NDUFB4;COX5A;NDUFA6;ACAD9;NDUFAB1;NDUFB10;UQCR10;NDUFB8;NDUFAF1;UQCRB;SDHD;NDUFAF4;CMC1;COQ10A;SDHC;COX7A2;NDUFA8;SDHA;COX4I1;NDUFV1;ETFA;COQ10B;SLC25A11;COX5B;PNKD;UQCRFS1;TRAP1;NDUFV3;SMIM20;HCCS;UQCC1;LETM1;UQCRC1;COX15;COX6A1;SLC25A12;NUBPL;NDUFA12;COX7C;TACO1;NDUFAF3
human_PD_postmortem_meta	prerank	Aerobic respiration and respiratory electron transport	-0.5687712135964597	-3.351780636849907	0.0	0.0	0.0	129/213	21.69%	COX16;COX7A2L;NDUFAF5;ACAT1;SCO1;NDUFA2;DLD;NDUFA10;NDUFS4;NDUFA5;NDUFB5;NDUFA13;TMEM126B;HIGD1A;ISCU;NDUFB1;COX11;TTC19;BCS1L;NDUFA9;SDHB;NDUFA7;SCO2;GLO1;ME3;MDH2;FH;COA1;UQCR11;SFXN4;NDUFA3;UQCRQ;NDUFB3;NDUFA11;SURF1;SLC25A4;SLC25A13;COX8A;COX18;NDUFB9;ISCA1;FOXRED1;DLAT;SLC25A27;UQCRC2;OXA1L;NDUFB6;GSTZ1;SDHAF4;NDUFV2;GOT2;LYRM4;COX7B;CYCS;PDHX;PET100;NDUFS6;RANBP9;SUCLA2;COX6C;COX6B1;NDUFS3;PDHB;COA3;MDH1;ETFB;NDUFA1;PET117;CYC1;NDUFB2;IDH3B;NDUFS1;NDUFB4;PDK3;COX5A;NDUFA6;IDH3G;ACAD9;ME2;NDUFAB1;NDUFB10;UQCR10;NDUFB8;NDUFAF1;UQCRB;SDHD;LDHA;NDUFAF4;MPC2;CMC1;COQ10A;SDHC;SUCLG1;COX7A2;NDUFA8;SDHA;COX4I1;LDHB;ME1;NDUFV1;ETFA;COQ10B;SLC25A11;COX5B;PNKD;UQCRFS1;NNT;SDHAF1;SLC25A14;TRAP1;NDUFV3;SMIM20;HCCS;RPS27A;UQCC1;UBB;LETM1;UQCRC1;COX15;COX6A1;SLC25A12;NUBPL;NDUFA12;COX7C;ADHFE1;DLST;TACO1;PKLR;NDUFAF3
human_PD_postmortem_meta	prerank	Complex I biogenesis	-0.7131651583184767	-3.285602239052294	0.0	0.0	0.0	34/54	12.49%	NDUFAF5;NDUFA2;NDUFA10;NDUFS4;NDUFA5;NDUFB5;NDUFA13;TMEM126B;NDUFB1;NDUFA9;NDUFA7;COA1;SFXN4;NDUFA3;NDUFB3;NDUFA11;NDUFB9;FOXRED1;OXA1L;NDUFB6;NDUFV2;NDUFS6;NDUFS3;NDUFA1;NDUFB2;NDUFS1;NDUFB4;NDUFA6;ACAD9;NDUFAB1;NDUFB10;NDUFB8;NDUFAF1;NDUFAF4
human_PD_postmortem_meta	prerank	Proteasome assembly	-0.718540299373992	-3.2308265860207057	0.0	0.0	0.0	32/48	15.17%	PSMG1;POMP;PSMD14;PSMC1;PSMD8;PSMA4;PSMB7;PSMF1;PSMA3;PSMD10;PSMC5;PSMD12;PSMB10;PSMD9;PSMD4;PAAF1;PSMC6;PSMB6;PSMD2;PSMD13;PSMA2;PSME3;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMB5;PSMA5;PSMD7;PSMD6;PSME1
human_PD_postmortem_meta	prerank	COPI-mediated anterograde transport	-0.6126235922713006	-3.1550076764643245	0.0	0.0	0.0	56/96	17.63%	ACTR10;NAPG;DYNC1I1;ANK1;COG6;COPG2;ARFGAP2;TUBB3;DCTN6;CAPZA1;DCTN2;ARF3;BET1;ARCN1;TMEM115;TUBB4B;CAPZA2;COPE;COG1;NAPA;DCTN3;TUBA1B;DYNLL2;GORASP1;TUBA1A;DYNC1LI1;TUBB2A;GOSR1;ANK2;GOLGB1;DYNC1I2;YKT6;NAPB;GBF1;USO1;CAPZB;COPG1;DCTN5;ARF4;DYNC1H1;DYNLL1;TMED2;ANK3;TUBA1C;COPB2;RAB1A;ACTR1A;TMED3;DCTN4;TUBA4A;CD55;SPTAN1;KDELR3;SPTBN2;TUBB2B;DCTN1
human_PD_postmortem_meta	prerank	Regulation of ornithine decarboxylase (ODC)	-0.7656676375596067	-3.1359498076967562	0.0	0.0	0.0	25/36	13.85%	PSMD14;PSMC1;PSMD8;PSMA4;PSMB7;AZIN1;PSMA3;PSMC5;PSMD12;PSMC6;OAZ3;PSMB6;PSMD2;PSMD13;PSMA2;PSMA1;PSMD1;PSMC2;OAZ2;PSMB4;PSMC3;PSMB5;PSMA5;PSMD7;PSMD6
human_PD_postmortem_meta	prerank	Autodegradation of Cdh1 by Cdh1:APC/C	-0.6780925447463323	-3.1321328439146545	0.0	0.0	0.0	27/51	13.85%	PSMD14;PSMC1;ANAPC10;PSMD8;PSMA4;PSMB7;PSMA3;CDC27;UBE2E1;ANAPC15;PSMC5;PSMD12;PSMC6;PSMB6;PSMD2;PSMD13;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;UBE2D1;PSMC3;PSMB5;PSMA5;PSMD7;PSMD6
human_PD_postmortem_meta	prerank	Vif-mediated degradation of APOBEC3G	-0.7355055153830655	-3.120102987835142	0.0	0.0	0.0	24/37	13.85%	PSMD14;PSMC1;PSMD8;PSMA4;PSMB7;PSMA3;RBX1;PSMC5;PSMD12;PSMC6;PSMB6;PSMD2;PSMD13;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;APOBEC3G;PSMB5;PSMA5;PSMD7;PSMD6
human_PD_postmortem_meta	prerank	Cross-presentation of soluble exogenous antigens (endosomes)	-0.7105778513935134	-3.061499201229542	0.0	0.0	0.0	25/38	15.17%	PSMD14;PSMC1;PSMD8;PSMA4;PSMB7;PSMA3;PSMC5;PSMD12;PSMB10;PSMC6;PSMB6;PSMD2;PSMD13;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;MRC2;PSMB5;PSMA5;PSMD7;PSMD6;PSME1
human_PD_postmortem_meta	prerank	GLI3 is processed to GLI3R by the proteasome	-0.6797712199208045	-3.061247360409102	0.0	0.0	0.0	29/45	18.67%	PSMD14;PSMC1;PSMD8;PSMA4;PSMB7;PSMA3;SKP1;GSK3B;RBX1;PSMC5;PSMD12;PSMC6;PSMB6;PSMD2;PSMD13;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMB5;PSMA5;PSMD7;PSMD6;BTRC;PRKACB;RPS27A;UBB
