dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
human_PD_postmortem_meta_limma	prerank	Respiratory electron transport	-0.6496435056539633	-3.6478563986013173	0.0	0.0	0.0	98/134	21.73%	COX16;NDUFAF5;NDUFA2;NDUFA5;NDUFA13;COX7A2L;SCO1;NDUFA10;HIGD1A;NDUFB1;ISCU;NDUFA7;SDHB;NDUFA9;TTC19;NDUFB5;COX11;MDH2;COA1;BCS1L;SURF1;NDUFA3;UQCR11;NDUFA11;SFXN4;TMEM126B;SCO2;UQCRQ;NDUFS4;COX7B;COX18;NDUFB9;GOT2;COX8A;OXA1L;PET100;UQCRC2;NDUFB6;CYCS;SLC25A13;COX6B1;FOXRED1;NDUFB3;MDH1;NDUFV2;NDUFA1;COX6C;NDUFS3;LYRM4;NDUFS6;COA3;CYC1;ETFB;COX5A;NDUFB2;NDUFS1;NDUFA6;NDUFAB1;PET117;NDUFB10;NDUFB4;ACAD9;NDUFA8;UQCR10;NDUFB8;CMC1;COQ10A;COX7A2;UQCRB;SDHC;SDHA;SDHD;NDUFAF4;COX4I1;NDUFV1;ETFA;UQCRFS1;NDUFAF1;SLC25A11;COQ10B;COX5B;NDUFV3;LETM1;UQCC1;SLC25A12;PNKD;HCCS;UQCRC1;COX15;SMIM20;TRAP1;NDUFA12;LYRM2;NUBPL;COX7C;COX6A1;NDUFAF7;GOT1
human_PD_postmortem_meta_limma	prerank	Aerobic respiration and respiratory electron transport	-0.5660288567521651	-3.279798926843701	0.0	0.0	0.0	129/213	21.73%	COX16;DLD;NDUFAF5;NDUFA2;NDUFA5;NDUFA13;COX7A2L;SCO1;NDUFA10;ACAT1;HIGD1A;NDUFB1;ISCU;ME3;NDUFA7;SDHB;NDUFA9;TTC19;NDUFB5;FH;COX11;MDH2;GLO1;SLC25A4;COA1;BCS1L;SURF1;NDUFA3;UQCR11;NDUFA11;SFXN4;TMEM126B;SCO2;UQCRQ;NDUFS4;COX7B;COX18;NDUFB9;GOT2;GSTZ1;COX8A;SLC25A27;OXA1L;PET100;UQCRC2;DLAT;NDUFB6;ISCA1;CYCS;SDHAF4;SLC25A13;PDHX;COX6B1;SUCLA2;FOXRED1;NDUFB3;MDH1;NDUFV2;NDUFA1;COX6C;NDUFS3;PDHB;LYRM4;NDUFS6;RANBP9;COA3;CYC1;ETFB;COX5A;NDUFB2;NDUFS1;NDUFA6;NDUFAB1;PET117;NDUFB10;NDUFB4;IDH3B;IDH3G;ME2;ACAD9;NDUFA8;UQCR10;NDUFB8;LDHA;CMC1;MPC2;COQ10A;COX7A2;SUCLG1;PDK3;UQCRB;SDHC;SDHA;SDHD;NDUFAF4;COX4I1;NDUFV1;ETFA;UQCRFS1;NDUFAF1;LDHB;SLC25A11;COQ10B;COX5B;ME1;NNT;SLC25A14;NDUFV3;SDHAF1;LETM1;UQCC1;SLC25A12;PNKD;HCCS;DLST;UQCRC1;COX15;SMIM20;TRAP1;NDUFA12;LYRM2;PKLR;ADHFE1;UBB;NUBPL;COX7C;COX6A1;NDUFAF7;GOT1
human_PD_postmortem_meta_limma	prerank	Complex I biogenesis	-0.7001714698580745	-3.257626308520153	0.0	0.0	0.0	33/54	11.67%	NDUFAF5;NDUFA2;NDUFA5;NDUFA13;NDUFA10;NDUFB1;NDUFA7;NDUFA9;NDUFB5;COA1;NDUFA3;NDUFA11;SFXN4;TMEM126B;NDUFS4;NDUFB9;OXA1L;NDUFB6;FOXRED1;NDUFB3;NDUFV2;NDUFA1;NDUFS3;NDUFS6;NDUFB2;NDUFS1;NDUFA6;NDUFAB1;NDUFB10;NDUFB4;ACAD9;NDUFA8;NDUFB8
human_PD_postmortem_meta_limma	prerank	Proteasome assembly	-0.7063056127286779	-3.154687032856224	0.0	0.0	0.0	30/48	14.00%	PSMG1;POMP;PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;PSMF1;PSMD12;PAAF1;PSMC5;PSMB10;PSMD10;PSMD9;PSMD4;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSME3;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6
human_PD_postmortem_meta_limma	prerank	Regulation of ornithine decarboxylase (ODC)	-0.7527185937132509	-3.1509638247737186	0.0	0.0	0.0	25/36	15.70%	PSMD14;PSMD8;PSMB7;PSMA3;AZIN1;PSMA4;PSMC1;PSMD12;PSMC5;OAZ3;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;OAZ2;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6;PSMB5
human_PD_postmortem_meta_limma	prerank	Autodegradation of Cdh1 by Cdh1:APC/C	-0.6732449807653471	-3.0681987187758883	0.0	0.0	0.0	26/51	14.00%	PSMD14;ANAPC10;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;UBE2E1;CDC27;PSMD12;PSMC5;ANAPC15;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;UBE2D1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6
human_PD_postmortem_meta_limma	prerank	Vif-mediated degradation of APOBEC3G	-0.7343453522173538	-3.0668977205544494	0.0	0.0	0.0	24/37	15.70%	PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;PSMD12;RBX1;PSMC5;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;APOBEC3G;PSMC3;PSMD7;PSMA5;PSMD6;PSMB5
human_PD_postmortem_meta_limma	prerank	Translation	-0.4977899241608377	-3.061393109858613	0.0	0.0	0.0	163/302	24.89%	EIF3K;EIF4E;EIF3I;EIF2B3;PSMD14;MIEF1;MRPL20;PSMD8;FARSB;PSMB7;EIF1AX;HBS1L;PSMA3;PSMA4;PSMC1;MRPS33;GFM1;MRPS25;IARS2;MRPL50;KLHDC10;MRPS7;SPCS3;SPCS1;MRPL15;SRP9;PSMD12;MRPL32;RBX1;PSMC5;PPA2;OXA1L;MRPS16;EEF1E1;PSMC6;MRPS9;MRPL24;PSMD13;PSMD2;MRPS23;RPL15;PSMB6;MRPL1;SEC11C;MRPL2;AIMP1;MRPL13;MRPL37;PSMA2;MRPL47;MRPS15;MRPL52;PSMA1;MRPL3;PSMD1;MTRF1;SSR4;EEF2;EIF2B1;UBE2D1;SPCS2;AIMP2;CHCHD1;RPS9;NDUFAB1;PSMC2;MRPS18C;SRPRB;MRPL21;SRP19;MRPS28;MRPL14;PSMB4;MRPL19;MRPL54;APEH;SRPRA;SEC61A2;RCHY1;GFM2;RARS2;PSMC3;MRPS22;MRPL22;ERAL1;PSMD7;MRPL9;MRPL23;RPS14;RPS24;RPLP0;PSMA5;EIF3A;EIF4A2;PSMD6;MRPS10;EIF3M;SSR3;UBE2D2;TUFM;SRP54;MRPS21;MRPL42;MRPL12;MRPL49;RPL35;GSPT2;PSMB5;MRPS27;EIF4H;RPL27;RPS5;EIF5;RPL35A;TCF25;PARS2;NPLOC4;MRPL46;RPS25;SEC61G;ABCE1;FARSA;MRPL51;EIF3D;MRPS18A;EIF3G;YARS2;RPS8;PELO;RPS4X;MTFMT;SRP72;MRPL35;VCP;RPL9;SRP68;EIF2B4;MRPL55;UBB;RPS12;WARS2;MRPS11;RPL14;PSMB1;EIF3J;PSMD11;LTN1;RPS18;SSR1;RPS27A;RPL11;FAU;MRPL38;MALSU1;RPL29;RPL39L;MRPL48;PSMB3;MRPL41;ASCC3;EIF2S3;GADD45GIP1;MRPS35
human_PD_postmortem_meta_limma	prerank	COPI-mediated anterograde transport	-0.5948077558851956	-3.0560047991637487	0.0	0.0	0.0	54/96	17.29%	NAPG;ACTR10;DYNC1I1;ANK1;COPG2;TUBB3;COG6;ARFGAP2;DCTN6;DCTN2;TUBB4B;COG1;DCTN3;NAPA;COPE;ARCN1;ARF3;CAPZA2;CAPZA1;TUBA1B;TMEM115;DYNLL2;GORASP1;DYNC1LI1;BET1;TUBB2A;ANK2;TUBA1A;USO1;NAPB;YKT6;GOSR1;GBF1;DYNLL1;COPG1;GOLGB1;ANK3;DYNC1I2;DYNC1H1;DCTN5;TMED2;CAPZB;DCTN4;TUBA1C;ARF4;RAB1A;ACTR1A;TMED3;TUBA4A;COPB2;SPTAN1;KDELR3;SPTBN2;TUBB2B
human_PD_postmortem_meta_limma	prerank	Degradation of CRY and PER proteins	-0.6745808283012158	-3.0523931411555827	0.0	0.0	0.0	28/45	16.28%	PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;SKP1;PSMD12;RBX1;PSMC5;PSMC6;PSMD13;PSMD2;PSMB6;FBXL3;PSMA2;PSMA1;PSMD1;UBE2D1;PSMC2;PSMB4;PSMC3;PSMD7;CRY2;PSMA5;PSMD6;PSMB5;BTRC
