pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-72203	190	0.01	Up	7.90149349994981e-15	7.78297109745057e-12	omit_NAA25_07	fixed_0.01
R-HSA-72172	144	0.01	Up	4.41618532736064e-13	2.14668453494374e-10	omit_NAA25_07	fixed_0.01
R-HSA-72163	142	0.01	Up	6.53812548713829e-13	2.14668453494374e-10	omit_NAA25_07	fixed_0.01
R-HSA-9770562	100	0.01	Up	5.77953784437146e-12	1.42321119417647e-09	omit_NAA25_07	fixed_0.01
R-HSA-72187	113	0.01	Up	9.95836314370551e-12	1.96179753930999e-09	omit_NAA25_07	fixed_0.01
R-HSA-4839726	109	0.01	Up	6.10884836607272e-10	1.00286927343027e-07	omit_NAA25_07	fixed_0.01
R-HSA-425407	53	0.01	Down	8.67336923703089e-10	1.22046695692506e-07	omit_NAA25_07	fixed_0.01
R-HSA-6799198	57	0.01	Down	2.75124223970297e-09	3.38746700763429e-07	omit_NAA25_07	fixed_0.01
R-HSA-9918481	154	0.01	Up	3.51574368870702e-09	3.48276715995712e-07	omit_NAA25_07	fixed_0.01
R-HSA-3247509	66	0.01	Up	3.53580422330672e-09	3.48276715995712e-07	omit_NAA25_07	fixed_0.01
R-HSA-8953854	477	0.01	Up	9.78731386543738e-09	8.7640946885962e-07	omit_NAA25_07	fixed_0.01
R-HSA-5419276	92	0.01	Down	1.14733689730667e-08	9.41772369872556e-07	omit_NAA25_07	fixed_0.01
R-HSA-2990846	71	0.01	Up	1.36861271607722e-08	1.03698732718159e-06	omit_NAA25_07	fixed_0.01
R-HSA-5368286	92	0.01	Down	1.64416751378844e-08	1.12349750976027e-06	omit_NAA25_07	fixed_0.01
R-HSA-5389840	93	0.01	Down	1.71090991334051e-08	1.12349750976027e-06	omit_NAA25_07	fixed_0.01
R-HSA-9932444	66	0.01	Up	1.94074506846634e-08	1.19477118277459e-06	omit_NAA25_07	fixed_0.01
R-HSA-5368287	99	0.01	Down	2.06918436658518e-08	1.19890976534494e-06	omit_NAA25_07	fixed_0.01
R-HSA-3108232	69	0.01	Up	2.32469455807449e-08	1.27212452205743e-06	omit_NAA25_07	fixed_0.01
R-HSA-1428517	171	0.01	Down	2.5951716617297e-08	1.34539162463355e-06	omit_NAA25_07	fixed_0.01
R-HSA-611105	120	0.01	Down	9.49921001443253e-08	4.67836093210802e-06	omit_NAA25_07	fixed_0.01
R-HSA-212165	77	0.01	Up	1.26259485660557e-07	5.92217111312613e-06	omit_NAA25_07	fixed_0.01
R-HSA-9937383	82	0.01	Down	2.95360402015988e-07	1.32240907266249e-05	omit_NAA25_07	fixed_0.01
R-HSA-9842860	25	0.01	Up	3.86317381042319e-07	1.63058296293552e-05	omit_NAA25_07	fixed_0.01
R-HSA-9938024	68	0.01	Up	3.97299402136573e-07	1.63058296293552e-05	omit_NAA25_07	fixed_0.01
R-HSA-382551	234	0.01	Down	5.20204315943691e-07	2.04960500481814e-05	omit_NAA25_07	fixed_0.01
R-HSA-9843745	28	0.01	Up	2.06088324209439e-06	7.53117182247001e-05	omit_NAA25_07	fixed_0.01
R-HSA-3108214	40	0.01	Up	2.06438212392579e-06	7.53117182247001e-05	omit_NAA25_07	fixed_0.01
R-HSA-73894	143	0.01	Up	3.1596571261519e-06	0.000105438452458164	omit_NAA25_07	fixed_0.01
R-HSA-9958863	13	0.01	Down	3.22534176914787e-06	0.000105438452458164	omit_NAA25_07	fixed_0.01
R-HSA-3214858	21	0.01	Up	3.28612824487698e-06	0.000105438452458164	omit_NAA25_07	fixed_0.01
R-HSA-72202	54	0.01	Up	3.31836753929247e-06	0.000105438452458164	omit_NAA25_07	fixed_0.01
R-HSA-162587	80	0.01	Up	3.52387509039188e-06	0.000108469280126125	omit_NAA25_07	fixed_0.01
R-HSA-9845323	18	0.01	Up	4.41842159099473e-06	0.000131883189913025	omit_NAA25_07	fixed_0.01
R-HSA-9937848	51	0.01	Up	4.94542297302455e-06	0.000143271812600858	omit_NAA25_07	fixed_0.01
R-HSA-112316	122	0.01	Down	5.4185898778797e-06	0.0001524946008489	omit_NAA25_07	fixed_0.01
R-HSA-9837999	74	0.01	Down	7.62294766343215e-06	0.000207087506962396	omit_NAA25_07	fixed_0.01
R-HSA-112315	103	0.01	Down	7.77892158132857e-06	0.000207087506962396	omit_NAA25_07	fixed_0.01
R-HSA-9932451	16	0.01	Up	1.28866130166615e-05	0.000334034574247673	omit_NAA25_07	fixed_0.01
R-HSA-4570464	27	0.01	Up	1.32274629724839e-05	0.00033407823148453	omit_NAA25_07	fixed_0.01
R-HSA-9705671	41	0.01	Up	1.38424057477558e-05	0.000340869241538485	omit_NAA25_07	fixed_0.01
R-HSA-74160	367	0.01	Up	1.45043705665333e-05	0.000348458658732569	omit_NAA25_07	fixed_0.01
R-HSA-159231	30	0.01	Up	1.69749400211894e-05	0.000385980893979436	omit_NAA25_07	fixed_0.01
R-HSA-159234	30	0.01	Up	1.69749400211894e-05	0.000385980893979436	omit_NAA25_07	fixed_0.01
R-HSA-159236	48	0.01	Up	1.72417861270002e-05	0.000385980893979436	omit_NAA25_07	fixed_0.01
R-HSA-392518	13	0.01	Down	1.83139741987595e-05	0.000394144764296277	omit_NAA25_07	fixed_0.01
R-HSA-1169408	44	0.01	Up	1.84067605661205e-05	0.000394144764296277	omit_NAA25_07	fixed_0.01
R-HSA-9933939	11	0.01	Up	1.88800004995086e-05	0.000395676606213105	omit_NAA25_07	fixed_0.01
R-HSA-1474244	58	0.01	Down	2.06287676490666e-05	0.000423319502798555	omit_NAA25_07	fixed_0.01
R-HSA-8957275	42	0.01	Down	2.54942837362643e-05	0.000512487132249394	omit_NAA25_07	fixed_0.01
R-HSA-936837	24	0.01	Down	3.1190910058078e-05	0.000614460928144136	omit_NAA25_07	fixed_0.01
R-HSA-381426	43	0.01	Down	3.65576808426953e-05	0.000705254462477786	omit_NAA25_07	fixed_0.01
R-HSA-9839923	224	0.01	Up	3.72317076638019e-05	0.000705254462477786	omit_NAA25_07	fixed_0.01
R-HSA-3214847	24	0.01	Up	3.84522369142864e-05	0.000714631195482492	omit_NAA25_07	fixed_0.01
R-HSA-162599	70	0.01	Up	4.64967723483789e-05	0.000848135569688023	omit_NAA25_07	fixed_0.01
R-HSA-76002	95	0.01	Down	5.17636246368186e-05	0.000927039459404843	omit_NAA25_07	fixed_0.01
R-HSA-983712	52	0.01	Down	5.44910668430055e-05	0.000958458943577864	omit_NAA25_07	fixed_0.01
R-HSA-9934037	13	0.01	Up	5.79167598903815e-05	0.00098527756686633	omit_NAA25_07	fixed_0.01
R-HSA-6784531	35	0.01	Up	5.80163440388296e-05	0.00098527756686633	omit_NAA25_07	fixed_0.01
R-HSA-1169410	129	0.01	Up	7.66744265901961e-05	0.00128007305409056	omit_NAA25_07	fixed_0.01
R-HSA-5696399	45	0.01	Up	7.89298517720255e-05	0.00128328215516293	omit_NAA25_07	fixed_0.01
R-HSA-5696398	62	0.01	Up	7.9472295903491e-05	0.00128328215516293	omit_NAA25_07	fixed_0.01
R-HSA-352230	10	0.01	Down	8.69252179908425e-05	0.00138098935033838	omit_NAA25_07	fixed_0.01
R-HSA-381340	17	0.01	Up	9.24238765466746e-05	0.00144503997457896	omit_NAA25_07	fixed_0.01
R-HSA-9943965	16	0.01	Up	9.67619401301872e-05	0.00148922673481616	omit_NAA25_07	fixed_0.01
R-HSA-168276	26	0.01	Up	9.90426837045087e-05	0.00149013786725233	omit_NAA25_07	fixed_0.01
R-HSA-4551638	29	0.01	Up	0.000100936842003402	0.00149013786725233	omit_NAA25_07	fixed_0.01
R-HSA-73857	312	0.01	Up	0.000102389428175712	0.00149013786725233	omit_NAA25_07	fixed_0.01
R-HSA-159230	25	0.01	Up	0.000104725507151299	0.00149013786725233	omit_NAA25_07	fixed_0.01
R-HSA-159227	25	0.01	Up	0.000104725507151299	0.00149013786725233	omit_NAA25_07	fixed_0.01
R-HSA-3232142	25	0.01	Up	0.000105898122545851	0.00149013786725233	omit_NAA25_07	fixed_0.01
R-HSA-177243	27	0.01	Up	0.000117439769067338	0.00162444786350277	omit_NAA25_07	fixed_0.01
R-HSA-913531	146	0.01	Up	0.000120894799036853	0.00162444786350277	omit_NAA25_07	fixed_0.01
R-HSA-75067	18	0.01	Up	0.000122039737968736	0.00162444786350277	omit_NAA25_07	fixed_0.01
R-HSA-73856	18	0.01	Up	0.000122039737968736	0.00162444786350277	omit_NAA25_07	fixed_0.01
R-HSA-194441	35	0.01	Up	0.000128471175413628	0.00166505404976873	omit_NAA25_07	fixed_0.01
R-HSA-191859	35	0.01	Up	0.000128471175413628	0.00166505404976873	omit_NAA25_07	fixed_0.01
R-HSA-9930044	17	0.01	Up	0.000132031147658228	0.00168896987588772	omit_NAA25_07	fixed_0.01
R-HSA-2470946	10	0.01	Up	0.000136019620267473	0.00169594083498051	omit_NAA25_07	fixed_0.01
R-HSA-68884	10	0.01	Up	0.000136019620267473	0.00169594083498051	omit_NAA25_07	fixed_0.01
R-HSA-9943411	28	0.01	Up	0.000149182282199596	0.00183680684958252	omit_NAA25_07	fixed_0.01
