pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-112314	66	0.000756669971217905	Down	0.00219374859369322	0.626542587395541	primary	estimated
R-HSA-112315	87	0.0134136299110739	Down	0.00498393891932466	0.626542587395541	primary	estimated
R-HSA-5578775	20	-0.00734822977862282	Down	0.00554756183216453	0.626542587395541	primary	estimated
R-HSA-112316	104	0.025135794706505	Down	0.0146058290313953	0.626542587395541	primary	estimated
R-HSA-109582	171	0.0227230970867754	Down	0.0146890017060029	0.626542587395541	primary	estimated
R-HSA-9658195	49	-0.0115638374380617	Down	0.0156905586138754	0.626542587395541	primary	estimated
R-HSA-9824443	49	-0.0115638374380617	Down	0.0156905586138754	0.626542587395541	primary	estimated
R-HSA-163685	34	-0.00198233809415018	Down	0.0165982203157169	0.626542587395541	primary	estimated
R-HSA-917977	13	0.0394181505603444	Down	0.0179418656204729	0.626542587395541	primary	estimated
R-HSA-373760	64	0.00761247924134393	Down	0.0187149969676624	0.626542587395541	primary	estimated
R-HSA-76002	84	0.0395684439333302	Down	0.0189132656251739	0.626542587395541	primary	estimated
R-HSA-388396	78	0.00768329214861707	Down	0.0191695551065951	0.626542587395541	primary	estimated
R-HSA-399721	20	-0.00864505594783998	Down	0.0194488587846672	0.626542587395541	primary	estimated
R-HSA-399719	20	-0.00864505594783998	Down	0.0194488587846672	0.626542587395541	primary	estimated
R-HSA-372790	80	0.00908645093191603	Down	0.0222386542495213	0.626542587395541	primary	estimated
R-HSA-418594	44	0.0122079164170252	Down	0.02351376697049	0.626542587395541	primary	estimated
R-HSA-5576891	26	0.0313052641821838	Down	0.0242181484731238	0.626542587395541	primary	estimated
R-HSA-6806667	10	-0.0298447847512505	Down	0.0244042349532491	0.626542587395541	primary	estimated
R-HSA-2682334	41	-0.000414034020738557	Down	0.0246508606590424	0.626542587395541	primary	estimated
R-HSA-456926	12	-0.00349349499520104	Down	0.0246813744223976	0.626542587395541	primary	estimated
R-HSA-382551	184	0.0452386119582054	Down	0.0247586682633149	0.626542587395541	primary	estimated
R-HSA-77595	14	0.0555402281168159	Up	0.0261638286587445	0.626542587395541	primary	estimated
R-HSA-9660821	13	0.00336851413732886	Down	0.0262088149954726	0.626542587395541	primary	estimated
R-HSA-9634597	16	0.0405957462617277	Down	0.0263699625024624	0.626542587395541	primary	estimated
R-HSA-418346	17	0.0148685262050735	Down	0.0302643981775135	0.626542587395541	primary	estimated
R-HSA-9662851	18	-0.0103874368320502	Down	0.0305957922901334	0.626542587395541	primary	estimated
R-HSA-9664433	18	-0.0103874368320502	Down	0.0305957922901334	0.626542587395541	primary	estimated
R-HSA-983712	43	0.0594354299948533	Down	0.0310402402759942	0.626542587395541	primary	estimated
R-HSA-5218859	15	-0.0135267102367028	Up	0.0312096178156955	0.626542587395541	primary	estimated
R-HSA-5633007	40	0.0135314098245671	Up	0.0351236409535971	0.626542587395541	primary	estimated
R-HSA-9009391	20	-0.017379331850599	Down	0.0373708331651347	0.626542587395541	primary	estimated
R-HSA-212165	64	0.0972782052278151	Up	0.0395312046103582	0.626542587395541	primary	estimated
R-HSA-392518	11	0.232228350206358	Down	0.0398263126776214	0.626542587395541	primary	estimated
R-HSA-202733	30	0.0723480237786568	Down	0.0398702487033133	0.626542587395541	primary	estimated
R-HSA-6790901	38	0.0286707973470647	Up	0.0408716949114745	0.626542587395541	primary	estimated
R-HSA-936837	23	0.137005343746261	Down	0.041255832250037	0.626542587395541	primary	estimated
R-HSA-8953854	414	0.0541719632642944	Up	0.0435141623216665	0.626542587395541	primary	estimated
R-HSA-114608	47	0.0511221005926956	Down	0.0457767362318223	0.626542587395541	primary	estimated
R-HSA-375165	17	0.00674556811053638	Down	0.0459883851182698	0.626542587395541	primary	estimated
R-HSA-3928662	21	0.000494078325068648	Down	0.0460938187067416	0.626542587395541	primary	estimated
R-HSA-114604	11	0.0217876032880604	Down	0.0462041136890307	0.626542587395541	primary	estimated
R-HSA-74752	25	-0.0148304408071921	Down	0.0464093470529006	0.626542587395541	primary	estimated
R-HSA-397014	42	0.011168282878297	Down	0.0466517974271247	0.626542587395541	primary	estimated
R-HSA-75067	17	0.0393497231991977	Up	0.0470179975401586	0.626542587395541	primary	estimated
R-HSA-73856	17	0.0393497231991977	Up	0.0470179975401586	0.626542587395541	primary	estimated
R-HSA-9933939	10	0.2772514362125	Up	0.0474126556949782	0.626542587395541	primary	estimated
R-HSA-9664422	28	-0.00281256466284147	Down	0.0479222303392153	0.626542587395541	primary	estimated
R-HSA-9664417	28	-0.00281256466284147	Down	0.0479222303392153	0.626542587395541	primary	estimated
R-HSA-9664407	28	-0.00281256466284147	Down	0.0479222303392153	0.626542587395541	primary	estimated
R-HSA-76005	50	0.0540417801746742	Down	0.0491018501308079	0.626542587395541	primary	estimated
R-HSA-437239	28	0.0192552284440843	Down	0.0493064489738425	0.626542587395541	primary	estimated
R-HSA-422356	26	0.0587772743318138	Down	0.0500735024778448	0.626542587395541	primary	estimated
R-HSA-9932451	14	0.22191329440476	Up	0.0515644779609457	0.626542587395541	primary	estimated
R-HSA-9842860	21	0.325007289603135	Up	0.0529736176511309	0.626542587395541	primary	estimated
R-HSA-9937848	46	0.0766501298670803	Up	0.0546064209840641	0.626542587395541	primary	estimated
R-HSA-3214847	17	0.109340804269919	Up	0.0548615817638159	0.626542587395541	primary	estimated
R-HSA-556833	206	0.0183596346063392	Down	0.0550214842075418	0.626542587395541	primary	estimated
R-HSA-5250941	15	-0.028188630296253	Up	0.0563499004719555	0.626542587395541	primary	estimated
R-HSA-427413	15	-0.028188630296253	Up	0.0563499004719555	0.626542587395541	primary	estimated
R-HSA-9856530	20	0.0018893013570716	Down	0.0564323446488922	0.626542587395541	primary	estimated
R-HSA-9932444	59	0.126061335454784	Up	0.0570402247587262	0.626542587395541	primary	estimated
R-HSA-73864	18	0.0470830978654345	Up	0.05741632655172	0.626542587395541	primary	estimated
R-HSA-77387	16	-0.0290895150990347	Down	0.0576014736959893	0.626542587395541	primary	estimated
R-HSA-8856825	45	-0.00602709438014601	Down	0.0582243664244055	0.626542587395541	primary	estimated
R-HSA-9943965	14	0.20987535788222	Up	0.0583912589529641	0.626542587395541	primary	estimated
R-HSA-8939243	18	0.163229056192507	Up	0.0585711377986735	0.626542587395541	primary	estimated
R-HSA-9843940	11	0.286571160206669	Up	0.0602122185656004	0.626542587395541	primary	estimated
R-HSA-2559583	25	0.0595203301461965	Up	0.0603135028439549	0.626542587395541	primary	estimated
R-HSA-1474228	20	-0.00310443353392813	Down	0.0606814306253069	0.626542587395541	primary	estimated
R-HSA-3928665	17	0.0149861725085979	Down	0.0612134223843398	0.626542587395541	primary	estimated
R-HSA-9937850	11	0.186197967158623	Up	0.0636140205458326	0.626542587395541	primary	estimated
R-HSA-4839726	89	0.130052077765185	Up	0.0637732512515926	0.626542587395541	primary	estimated
R-HSA-196854	53	0.0209814688948414	Down	0.0642609398733876	0.626542587395541	primary	estimated
R-HSA-8856828	75	0.00332411157261353	Down	0.0647225348850573	0.626542587395541	primary	estimated
R-HSA-210991	10	0.138655756265223	Down	0.0685729156958421	0.626542587395541	primary	estimated
R-HSA-9843745	21	0.219345573343115	Up	0.0692637116391355	0.626542587395541	primary	estimated
R-HSA-9845323	15	0.419883141123452	Up	0.070385176671446	0.626542587395541	primary	estimated
R-HSA-9934037	11	0.311098681084591	Up	0.0710768187516977	0.626542587395541	primary	estimated
R-HSA-8964038	11	0.0319126386868103	Down	0.0712612029436867	0.626542587395541	primary	estimated
R-HSA-72203	169	0.180089681415114	Up	0.07165928971544	0.626542587395541	primary	estimated
R-HSA-418555	20	0.0595159753916296	Down	0.0717388738463156	0.626542587395541	primary	estimated
R-HSA-3247509	50	0.21518545872727	Up	0.072932628144096	0.626542587395541	primary	estimated
R-HSA-1834949	18	0.0223648095469554	Up	0.073367291948395	0.626542587395541	primary	estimated
R-HSA-5173105	15	0.186451101365787	Down	0.0733843458654225	0.626542587395541	primary	estimated
R-HSA-3108214	29	0.247554724064484	Up	0.0737098683313364	0.626542587395541	primary	estimated
R-HSA-199418	22	-0.0182520709132496	Down	0.0737919846872891	0.626542587395541	primary	estimated
R-HSA-3108232	53	0.231426359495404	Up	0.0757478196144823	0.626542587395541	primary	estimated
R-HSA-3214858	19	0.289698316956997	Up	0.0765713072925852	0.626542587395541	primary	estimated
R-HSA-4570464	23	0.262227258380398	Up	0.0787023394775349	0.626542587395541	primary	estimated
R-HSA-216083	15	0.273559774727896	Down	0.0796897923661984	0.626542587395541	primary	estimated
R-HSA-1474244	50	0.112931952449645	Down	0.0801031514019716	0.626542587395541	primary	estimated
R-HSA-9836573	15	0.118046506786223	Down	0.0805243872090054	0.626542587395541	primary	estimated
R-HSA-1483257	52	0.0598563728217239	Down	0.0806931668104003	0.626542587395541	primary	estimated
R-HSA-2990846	55	0.244389916904553	Up	0.0809391117315359	0.626542587395541	primary	estimated
R-HSA-9857377	12	0.112867878502469	Down	0.0814193204079444	0.626542587395541	primary	estimated
R-HSA-1483206	32	0.0669882550554829	Down	0.0815098658978049	0.626542587395541	primary	estimated
R-HSA-9824585	12	0.259096937757358	Up	0.0835999470117281	0.626542587395541	primary	estimated
R-HSA-72202	46	0.129929258898264	Up	0.0850979939494449	0.626542587395541	primary	estimated
R-HSA-381340	13	0.136020172413297	Up	0.0870601208425681	0.626542587395541	primary	estimated
R-HSA-5250913	21	0.0616255815445879	Up	0.0871912374857706	0.626542587395541	primary	estimated
R-HSA-5696394	19	0.121590944904422	Up	0.0875771964712526	0.626542587395541	primary	estimated
R-HSA-159231	26	0.21271523420833	Up	0.088737117539377	0.626542587395541	primary	estimated
R-HSA-159234	26	0.21271523420833	Up	0.088737117539377	0.626542587395541	primary	estimated
R-HSA-5693565	20	0.0899792265023137	Up	0.088744506785539	0.626542587395541	primary	estimated
R-HSA-416993	13	0.0960033949068711	Down	0.0892894657104047	0.626542587395541	primary	estimated
R-HSA-6799198	49	0.270469289417852	Down	0.089742388642005	0.626542587395541	primary	estimated
R-HSA-446203	137	0.01198641010937	Down	0.0907569213375663	0.626542587395541	primary	estimated
R-HSA-1500620	19	0.184180923908471	Up	0.091738864259221	0.626542587395541	primary	estimated
R-HSA-1474165	19	0.184180923908471	Up	0.091738864259221	0.626542587395541	primary	estimated
R-HSA-72172	132	0.183633808767462	Up	0.0924288328967135	0.626542587395541	primary	estimated
R-HSA-3781865	28	0.084418155606816	Down	0.0946622996877653	0.626542587395541	primary	estimated
R-HSA-194138	44	0.00863372858623953	Down	0.0950862165238841	0.626542587395541	primary	estimated
R-HSA-2173782	17	0.0505312845489066	Down	0.0958864967677916	0.626542587395541	primary	estimated
R-HSA-9937008	12	0.210068313783353	Down	0.0963998553611276	0.626542587395541	primary	estimated
R-HSA-72163	131	0.189985449704253	Up	0.0968827406358242	0.626542587395541	primary	estimated
R-HSA-6811558	20	-0.0297213789610533	Down	0.0980133914625061	0.626542587395541	primary	estimated
R-HSA-4551638	23	0.293879151349487	Up	0.0986800369466182	0.626542587395541	primary	estimated
R-HSA-977443	11	0.225704229159013	Down	0.101604823209881	0.626542587395541	primary	estimated
R-HSA-180910	20	0.220739705138305	Up	0.10407691318942	0.626542587395541	primary	estimated
R-HSA-9918481	138	0.147522631845317	Up	0.104202371048603	0.626542587395541	primary	estimated
R-HSA-418597	11	0.288806103670677	Down	0.105212100918966	0.626542587395541	primary	estimated
R-HSA-73762	15	0.0910511152496277	Up	0.105232971131759	0.626542587395541	primary	estimated
R-HSA-9917777	21	0.0643000538056737	Up	0.10663705711808	0.626542587395541	primary	estimated
R-HSA-159236	40	0.139891200747397	Up	0.106923354357119	0.626542587395541	primary	estimated
R-HSA-6809371	18	0.376106866410563	Down	0.108079838454192	0.626542587395541	primary	estimated
R-HSA-6805567	18	0.376106866410563	Down	0.108079838454192	0.626542587395541	primary	estimated
R-HSA-174824	22	0.0941352678954288	Down	0.108258972434152	0.626542587395541	primary	estimated
R-HSA-5213460	10	0.0573411736058488	Up	0.108370063904638	0.626542587395541	primary	estimated
R-HSA-5675482	10	0.0573411736058488	Up	0.108370063904638	0.626542587395541	primary	estimated
R-HSA-4085377	19	0.298473626940972	Up	0.109874460762208	0.626542587395541	primary	estimated
R-HSA-1222556	10	0.158714176645237	Down	0.110327931489264	0.626542587395541	primary	estimated
R-HSA-446193	24	0.0211572956155575	Down	0.112039226547427	0.626542587395541	primary	estimated
