pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-72203	123	0.01	Up	7.71302559305927e-11	5.29884858243172e-08	strict_backbones	fixed_0.01
R-HSA-2990846	44	0.01	Up	1.27919752364426e-09	4.39404349371804e-07	strict_backbones	fixed_0.01
R-HSA-9918481	99	0.01	Up	2.4305542434078e-09	5.35829477986916e-07	strict_backbones	fixed_0.01
R-HSA-9770562	74	0.01	Up	3.83626411483659e-09	5.35829477986916e-07	strict_backbones	fixed_0.01
R-HSA-3108232	42	0.01	Up	3.89977786016678e-09	5.35829477986916e-07	strict_backbones	fixed_0.01
R-HSA-72172	94	0.01	Up	1.02994207518791e-08	1.01081457950585e-06	strict_backbones	fixed_0.01
R-HSA-72163	94	0.01	Up	1.02994207518791e-08	1.01081457950585e-06	strict_backbones	fixed_0.01
R-HSA-72187	82	0.01	Up	2.19926492538561e-08	1.88861875467489e-06	strict_backbones	fixed_0.01
R-HSA-611105	75	0.01	Down	1.94543126302847e-07	1.21508865670582e-05	strict_backbones	fixed_0.01
R-HSA-1428517	111	0.01	Down	1.9571862084225e-07	1.21508865670582e-05	strict_backbones	fixed_0.01
R-HSA-6799198	37	0.01	Down	2.04202420506635e-07	1.21508865670582e-05	strict_backbones	fixed_0.01
R-HSA-212165	41	0.01	Up	2.12242560123287e-07	1.21508865670582e-05	strict_backbones	fixed_0.01
R-HSA-9932444	38	0.01	Up	8.34482924529539e-07	4.40992130116764e-05	strict_backbones	fixed_0.01
R-HSA-9842860	16	0.01	Up	1.06450183707373e-06	4.90132423842729e-05	strict_backbones	fixed_0.01
R-HSA-4839726	55	0.01	Up	1.07015813066098e-06	4.90132423842729e-05	strict_backbones	fixed_0.01
R-HSA-6809371	12	0.01	Down	4.02403464478208e-06	0.000162618341233252	strict_backbones	fixed_0.01
R-HSA-6805567	12	0.01	Down	4.02403464478208e-06	0.000162618341233252	strict_backbones	fixed_0.01
R-HSA-76002	63	0.01	Down	4.75511278626718e-06	0.000181486804675864	strict_backbones	fixed_0.01
R-HSA-8953854	306	0.01	Up	6.11757943408641e-06	0.000221198793221966	strict_backbones	fixed_0.01
R-HSA-3108214	23	0.01	Up	6.92922242290068e-06	0.000238018790226638	strict_backbones	fixed_0.01
R-HSA-3247509	31	0.01	Up	1.3478122746425e-05	0.00044092715841876	strict_backbones	fixed_0.01
R-HSA-5368287	64	0.01	Down	2.95483829559806e-05	0.000922715413216302	strict_backbones	fixed_0.01
R-HSA-5368286	60	0.01	Down	3.33890963688686e-05	0.000970861317022874	strict_backbones	fixed_0.01
R-HSA-9845323	11	0.01	Up	3.39165525597511e-05	0.000970861317022874	strict_backbones	fixed_0.01
R-HSA-72202	35	0.01	Up	3.88050655007056e-05	0.00103033990592352	strict_backbones	fixed_0.01
R-HSA-4551638	18	0.01	Up	3.94707245807078e-05	0.00103033990592352	strict_backbones	fixed_0.01
R-HSA-9837999	57	0.01	Down	4.23414255872815e-05	0.00103033990592352	strict_backbones	fixed_0.01
